Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3188299,2018-12-02 09:18:11,0,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.875491935975,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.806,127292.039324707,359223.143413361,24.15,57.3,FALSE
3188304,2018-12-02 09:18:12,0.0127004633333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.891971027578,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.805,127259.643717448,359140.708326095,24.15,57.3,FALSE
3188312,2018-12-02 09:18:13,0.02951895,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.943202672194,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.804,127253.388992192,359107.161987247,24.15,57.3,FALSE
3188318,2018-12-02 09:18:14,0.0463035216666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.91023704091,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.806,127243.308729099,359076.615789337,24.15,57.3,FALSE
3188327,2018-12-02 09:18:15,0.0632015083333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.926719030518,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.805,127239.92389709,359076.813936585,24.15,57.3,FALSE
3188339,2018-12-02 09:18:16,0.080021435,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.926719030518,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.805,127233.884027373,359049.520759564,24.15,57.3,FALSE
3188348,2018-12-02 09:18:17,0.0968097016666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.908451770958,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.804,127233.715773722,359040.629646544,24.15,57.3,FALSE
3188354,2018-12-02 09:18:18,0.112807526666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.893756703142,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.807,127239.134645055,359027.569857836,24.15,57.3,FALSE
3188364,2018-12-02 09:18:19,0.129628876666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.926719030518,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.805,127237.026855841,359032.554302349,24.15,57.3,FALSE
3188374,2018-12-02 09:18:20,0.146420181666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.91023704091,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.806,127237.035588014,359025.491989332,24.15,57.3,FALSE
3188381,2018-12-02 09:18:21,0.163242481666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.891971027578,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.805,127237.586404148,359015.464289327,24.15,57.3,FALSE
3188392,2018-12-02 09:18:22,0.18006273,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.842538707197,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.808,127238.390508974,359022.05590534,24.15,57.3,FALSE
3188399,2018-12-02 09:18:23,0.196014156666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.926719030518,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.805,127240.655015341,359016.119153577,24.15,57.3,FALSE
3188410,2018-12-02 09:18:24,0.212781398333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.943202672194,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.804,127247.07945752,359013.561400484,24.15,57.3,FALSE
3188421,2018-12-02 09:18:25,0.229569923333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.893756703142,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.807,127237.228345428,358999.60515811,24.15,57.3,FALSE
3188429,2018-12-02 09:18:26,0.246359045,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.875491935975,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.806,127240.486816302,359012.209913565,24.15,57.3,FALSE
3188439,2018-12-02 09:18:27,0.2631711,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.826064569567,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.809,127241.001685077,359006.719972539,24.15,57.3,FALSE
3188449,2018-12-02 09:18:28,0.280015985,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.859014495924,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.807,127255.618271184,359006.22686544,24.15,57.3,FALSE
3188454,2018-12-02 09:18:29,0.296004258333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.943202672194,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.804,127250.977363143,359003.333440816,24.15,57.3,FALSE
3188463,2018-12-02 09:18:30,0.312884786666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.877278016988,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.808,127252.880728654,359000.576897408,24.15,57.3,FALSE
3188474,2018-12-02 09:18:31,0.329660158333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.893756703142,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.807,127253.04035345,358994.581996247,24.15,57.3,FALSE
3188484,2018-12-02 09:18:32,0.34647855,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.859014495924,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.807,127249.696886089,359005.914629344,24.15,57.3,FALSE
3188493,2018-12-02 09:18:33,0.36325053,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.826064569567,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.809,127257.555868713,359002.445055074,24.15,57.3,FALSE
3188503,2018-12-02 09:18:34,0.380029741666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.92850623547,μmol/L,19.2642348576801,°C,1024,hPa,Humid,36,0,0,23.807,127252.116797414,358992.936794873,24.15,57.3,FALSE
3188508,2018-12-02 09:18:35,0.396009795,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.875491935975,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.806,127251.088177143,358994.483473107,24.15,57.3,FALSE
3188519,2018-12-02 09:18:36,0.4129134,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.912024651279,μmol/L,19.2642348576801,°C,1024,hPa,Humid,36,0,0,23.808,127250.776358215,359013.240732575,24.15,57.3,FALSE
3188526,2018-12-02 09:18:37,0.429688728333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.844325598615,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.81,127256.047426428,359001.937873961,24.15,57.3,FALSE
3188534,2018-12-02 09:18:38,0.446510071666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.860800982221,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.809,127255.847019352,359007.114341199,24.15,57.3,FALSE
3188546,2018-12-02 09:18:39,0.46333998,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.844325598615,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.81,127256.031516899,358996.615542805,24.15,57.3,FALSE
3188558,2018-12-02 09:18:40,0.480128095,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.893756703142,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.807,127257.355127035,358998.224493664,24.15,57.3,FALSE
3188565,2018-12-02 09:18:41,0.496116563333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.877278016988,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.808,127249.971443303,358993.347399101,24.15,57.3,FALSE
3188572,2018-12-02 09:18:42,0.512985826666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.92850623547,μmol/L,19.2642348576801,°C,1024,hPa,Humid,36,0,0,23.807,127256.722009103,358994.429872795,24.15,57.3,FALSE
3188581,2018-12-02 09:18:43,0.529935636666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.943202672194,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.804,127246.231837382,358984.343094934,24.15,57.3,FALSE
3188594,2018-12-02 09:18:44,0.546717943333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.826064569567,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.809,127259.875418614,358996.737022176,24.15,57.3,FALSE
3188599,2018-12-02 09:18:45,0.562677953333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.826064569567,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.809,127254.299245767,358981.301772505,24.15,57.3,FALSE
3188612,2018-12-02 09:18:46,0.579486163333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.826064569567,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.809,127243.391004073,358955.963420749,24.15,57.3,FALSE
3188623,2018-12-02 09:18:47,0.596525225,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.776652061002,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.812,127249.632704332,358985.056057276,24.15,57.3,FALSE
3188632,2018-12-02 09:18:48,0.613298515,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.877278016988,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.808,127249.630312142,358958.37211093,24.15,57.3,FALSE
3188640,2018-12-02 09:18:49,0.630088865,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.860800982221,μmol/L,19.2703447647218,°C,1024,hPa,Humid,36,0,0,23.809,127254.962249159,358981.96087844,24.15,57.3,FALSE
3188645,2018-12-02 09:18:50,0.646050611666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.842538707197,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.808,127261.990140008,358981.033771205,24.15,57.3,FALSE
3188652,2018-12-02 09:18:51,0.662876303333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,195.826064569567,μmol/L,19.2764546828585,°C,1024,hPa,Humid,36,0,0,23.809,127266.010856045,358976.033079785,24.15,57.3,FALSE
