Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3180068,2018-12-02 09:00:55,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.59307198429,μmol/L,19.4492539098296,°C,1024,hPa,Humid,36,0,0,21.1,117093.435281784,192495.619419011,26.25,55.3,FALSE
3180070,2018-12-02 09:00:54,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.534009310034,μmol/L,19.4553380061348,°C,1025,hPa,Humid,36,0,0,21.101,117131.399203804,192543.417346167,26.25,55.3,FALSE
3180073,2018-12-02 09:00:56,0.02605911,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.442609377182,μmol/L,19.4614221134416,°C,1024,hPa,Humid,36,0,0,21.103,117086.297651037,192472.927776499,26.25,55.3,FALSE
3180077,2018-12-02 09:00:57,0.0428495983333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.507024638283,μmol/L,19.4553380061348,°C,1024,hPa,Humid,36,0,0,21.102,117079.003939665,192464.645093328,26.25,55.3,FALSE
3180087,2018-12-02 09:00:58,0.0596513133333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.576835141588,μmol/L,19.4492539098296,°C,1025,hPa,Humid,36,0,0,21.101,117065.905652268,192442.820888756,26.25,55.3,FALSE
3180096,2018-12-02 09:00:59,0.0764209016666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.528239364707,μmol/L,19.4492539098296,°C,1024,hPa,Humid,36,0,0,21.103,117064.404848086,192443.647764799,26.25,55.3,FALSE
3180105,2018-12-02 09:01:00,0.0932253483333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.463817640863,μmol/L,19.4553380061348,°C,1024,hPa,Humid,36,0,0,21.104,117059.500584756,192431.21692163,26.25,55.3,FALSE
3180115,2018-12-02 09:01:01,0.109995925,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.576442009309,μmol/L,19.4431698245271,°C,1025,hPa,Humid,36,0,0,21.103,117058.332097543,192437.700010704,26.25,55.3,FALSE
3180123,2018-12-02 09:01:02,0.126762928333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.549847834036,μmol/L,19.4492539098296,°C,1024,hPa,Humid,36,0,0,21.102,117060.968879096,192427.050895899,26.25,55.3,FALSE
3180130,2018-12-02 09:01:03,0.142737041666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,243.463428375551,μmol/L,19.4492539098296,°C,1024,hPa,Humid,36,0,0,21.106,117061.596420132,192431.673286389,26.25,55.3,FALSE
