Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3180088,2018-12-02 09:00:58,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.96693725384,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.488,120819.355812768,259841.75949628,23.1,41.6,FALSE
3180092,2018-12-02 09:00:59,0.0151020333333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.908954054516,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.489,120777.656794078,259773.780815173,23.1,41.6,FALSE
3180103,2018-12-02 09:01:00,0.0319031683333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.985803802562,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.487,120773.27897952,259741.160856486,23.1,41.6,FALSE
3180112,2018-12-02 09:01:01,0.0486667166666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.850987850353,μmol/L,19.2529962831486,°C,1024,hPa,Humid,36,0,0,22.49,120756.716579584,259708.85783241,23.1,41.6,FALSE
3180116,2018-12-02 09:01:02,0.06461535,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.908954054516,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.489,120744.070548572,259700.252373836,23.1,41.6,FALSE
3180125,2018-12-02 09:01:03,0.0814094633333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.907561479852,μmol/L,19.2529962831486,°C,1024,hPa,Humid,36,0,0,22.487,120752.29185153,259689.416265755,23.1,41.6,FALSE
3180135,2018-12-02 09:01:04,0.09821922,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.908954054516,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.489,120738.854961037,259679.298803476,23.1,41.6,FALSE
3180145,2018-12-02 09:01:05,0.11500602,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.910349531106,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.491,120745.671455396,259657.870133892,23.1,41.6,FALSE
3180159,2018-12-02 09:01:06,0.131793665,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.985803802562,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.487,120737.236301436,259658.056276366,23.1,41.6,FALSE
3180167,2018-12-02 09:01:07,0.14857414,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.910349531106,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.491,120727.64060538,259649.89556572,23.1,41.6,FALSE
3180170,2018-12-02 09:01:08,0.164563728333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.871237577622,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.491,120719.23480864,259634.100921474,23.1,41.6,FALSE
3180181,2018-12-02 09:01:09,0.181369501666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.92781527301,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.488,120736.177224581,259642.065013235,23.1,41.6,FALSE
3180190,2018-12-02 09:01:10,0.198176836666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.907561479852,μmol/L,19.2529962831486,°C,1024,hPa,Humid,36,0,0,22.487,120724.270107136,259630.621426926,23.1,41.6,FALSE
3180204,2018-12-02 09:01:11,0.214967388333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.834927044823,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.495,120714.825948269,259638.370171882,23.1,41.6,FALSE
3180212,2018-12-02 09:01:12,0.23184156,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.795828456226,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.495,120716.743199496,259629.42846018,23.1,41.6,FALSE
3180222,2018-12-02 09:01:13,0.24865172,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.73789420991,μmol/L,19.2529962831486,°C,1024,hPa,Humid,36,0,0,22.496,120708.541988283,259615.134135628,23.1,41.6,FALSE
3180224,2018-12-02 09:01:14,0.264619596666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.871237577622,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.491,120710.190494768,259604.470880716,23.1,41.6,FALSE
3180236,2018-12-02 09:01:15,0.281414106666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.910349531106,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.491,120704.349570793,259627.346038385,23.1,41.6,FALSE
3180247,2018-12-02 09:01:16,0.298325181666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.73789420991,μmol/L,19.2529962831486,°C,1024,hPa,Humid,36,0,0,22.496,120703.484632151,259610.562634438,23.1,41.6,FALSE
3180254,2018-12-02 09:01:17,0.315114393333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.853779687532,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.494,120699.906350092,259603.347918488,23.1,41.6,FALSE
3180266,2018-12-02 09:01:18,0.331885951666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.758135807163,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.497,120695.3427713,259603.423413312,23.1,41.6,FALSE
3180276,2018-12-02 09:01:19,0.348664263333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.719052217064,μmol/L,19.2529962831486,°C,1024,hPa,Humid,36,0,0,22.497,120684.443851519,259602.209631752,23.1,41.6,FALSE
3180280,2018-12-02 09:01:20,0.364620956666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.758135807163,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.497,120702.00193161,259595.959182679,23.1,41.6,FALSE
3180289,2018-12-02 09:01:21,0.381419846666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.739292459543,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.498,120691.817607092,259589.065411012,23.1,41.6,FALSE
3180302,2018-12-02 09:01:22,0.398245518333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.758135807163,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.497,120680.478789593,259582.87671464,23.1,41.6,FALSE
3180313,2018-12-02 09:01:23,0.415042318333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.776981139296,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.496,120683.707194077,259587.070598519,23.1,41.6,FALSE
3180321,2018-12-02 09:01:24,0.431842051666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.775584149229,μmol/L,19.2529962831486,°C,1024,hPa,Humid,36,0,0,22.494,120676.303548633,259568.947812466,23.1,41.6,FALSE
3180330,2018-12-02 09:01:25,0.447919061666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.795828456226,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.495,120679.143508497,259570.88296623,23.1,41.6,FALSE
3180339,2018-12-02 09:01:26,0.464866226666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.720451096151,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.499,120671.315629079,259564.400473078,23.1,41.6,FALSE
3180349,2018-12-02 09:01:27,0.481517318333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.814677758239,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.494,120667.474243862,259566.923271704,23.1,41.6,FALSE
3180352,2018-12-02 09:01:28,0.498297391666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.776981139296,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.496,120653.724905639,259557.773225485,23.1,41.6,FALSE
3180366,2018-12-02 09:01:29,0.515138041666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.758135807163,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.497,120663.906341793,259561.984033173,23.1,41.6,FALSE
3180374,2018-12-02 09:01:30,0.531992203333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.740693607071,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.5,120657.649871677,259562.522539898,23.1,41.6,FALSE
3180385,2018-12-02 09:01:31,0.548038138333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.720451096151,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.499,120647.886527511,259555.089666748,23.1,41.6,FALSE
3180392,2018-12-02 09:01:32,0.5648943,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.834927044823,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.495,120645.135749643,259530.689491282,23.1,41.6,FALSE
3180401,2018-12-02 09:01:33,0.581740683333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.739292459543,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.498,120652.45908638,259543.553642938,23.1,41.6,FALSE
3180412,2018-12-02 09:01:34,0.59854114,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.776981139296,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.496,120645.713311901,259529.706933912,23.1,41.6,FALSE
3180419,2018-12-02 09:01:35,0.615315611666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.776981139296,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.496,120639.157890599,259539.097242595,23.1,41.6,FALSE
3180422,2018-12-02 09:01:36,0.631282066666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.739292459543,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.498,120639.194447065,259527.233056975,23.1,41.6,FALSE
3180431,2018-12-02 09:01:37,0.648064525,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.795828456226,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.495,120640.731214343,259524.138739587,23.1,41.6,FALSE
3180446,2018-12-02 09:01:38,0.664932303333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.797227715418,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.497,120640.772608835,259528.280958979,23.1,41.6,FALSE
3180449,2018-12-02 09:01:39,0.681705555,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.758135807163,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.497,120637.425993545,259521.418958905,23.1,41.6,FALSE
3180459,2018-12-02 09:01:40,0.698488296666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.720451096151,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.499,120637.964732321,259518.515995201,23.1,41.6,FALSE
3180469,2018-12-02 09:01:41,0.715281945,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.701611716702,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.5,120644.664417527,259525.007127897,23.1,41.6,FALSE
3180478,2018-12-02 09:01:42,0.731290398333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.759536325465,μmol/L,19.2406823991555,°C,1024,hPa,Humid,36,0,0,22.499,120641.509483013,259515.112471604,23.1,41.6,FALSE
3180489,2018-12-02 09:01:43,0.748074575,OXY9 (PSt7-10),2018-06-22 13:46:20,default,218.776981139296,μmol/L,19.2468393355189,°C,1024,hPa,Humid,36,0,0,22.496,120643.11240023,259513.763630462,23.1,41.6,FALSE
