Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3188276,2018-12-02 09:18:08,0,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.363386817251,μmol/L,19.4124543491243,°C,1024,hPa,Humid,36,0,0,22.705,125879.313819857,275587.861064355,31.5,36,FALSE
3188282,2018-12-02 09:18:09,0.0243480116666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.27091740585,μmol/L,19.4186055656178,°C,1024,hPa,Humid,36,0,0,22.708,125866.204010756,275572.866316821,31.5,36,FALSE
3188289,2018-12-02 09:18:10,0.0411727716666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.178492359872,μmol/L,19.4247567933585,°C,1024,hPa,Humid,36,0,0,22.711,125847.250193413,275537.22779638,31.5,36,FALSE
3188295,2018-12-02 09:18:11,0.0571409,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.216272556706,μmol/L,19.4186055656178,°C,1024,hPa,Humid,36,0,0,22.711,125824.412164506,275506.758265928,31.5,36,FALSE
3188308,2018-12-02 09:18:12,0.0740178166666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.252700553059,μmol/L,19.4186055656178,°C,1024,hPa,Humid,36,0,0,22.709,125815.789577824,275503.168805944,31.5,36,FALSE
3188310,2018-12-02 09:18:13,0.09096171,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.254060686095,μmol/L,19.4124543491243,°C,1024,hPa,Humid,36,0,0,22.711,125806.154835305,275488.490611259,31.5,36,FALSE
3188326,2018-12-02 09:18:14,0.107763305,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.179852170853,μmol/L,19.4186055656178,°C,1024,hPa,Humid,36,0,0,22.713,125800.570227628,275495.923058452,31.5,36,FALSE
3188330,2018-12-02 09:18:15,0.124531025,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.234485603435,μmol/L,19.4186055656178,°C,1024,hPa,Humid,36,0,0,22.71,125790.422289006,275469.937167525,31.5,36,FALSE
3188336,2018-12-02 09:18:16,0.14046171,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.272276948974,μmol/L,19.4124543491243,°C,1024,hPa,Humid,36,0,0,22.71,125791.664785048,275473.063601339,31.5,36,FALSE
3188345,2018-12-02 09:18:17,0.15727506,OXY3 (PSt7-10),2018-06-27 09:55:59,default,212.160284430911,μmol/L,19.4247567933585,°C,1024,hPa,Humid,36,0,0,22.712,125786.807719526,275474.149728148,31.5,36,FALSE
