Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3188290,2018-12-02 09:18:10,0,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.600523868837,μmol/L,19.2265529537262,°C,1024,hPa,Humid,36,0,0,22.816,127460.432918,263882.024206588,27.3,49.2,FALSE
3188298,2018-12-02 09:18:11,0.0134221666666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.692736201068,μmol/L,19.2204588977852,°C,1024,hPa,Humid,36,0,0,22.813,127429.733298196,263833.551604785,27.3,49.2,FALSE
3188307,2018-12-02 09:18:12,0.0303945166666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.821436320928,μmol/L,19.2143648528813,°C,1024,hPa,Humid,36,0,0,22.808,127414.245348997,263824.000949739,27.3,49.2,FALSE
3188317,2018-12-02 09:18:13,0.047271055,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.582322639775,μmol/L,19.2265529537262,°C,1024,hPa,Humid,36,0,0,22.817,127422.42146659,263812.011220138,27.3,49.2,FALSE
3188323,2018-12-02 09:18:14,0.0632271333333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.618726991531,μmol/L,19.2265529537262,°C,1024,hPa,Humid,36,0,0,22.815,127408.578772359,263797.639557984,27.3,49.2,FALSE
3188331,2018-12-02 09:18:15,0.0800073383333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.692736201068,μmol/L,19.2204588977852,°C,1024,hPa,Humid,36,0,0,22.813,127411.725302451,263801.845429968,27.3,49.2,FALSE
3188340,2018-12-02 09:18:16,0.0967967133333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.692736201068,μmol/L,19.2204588977852,°C,1024,hPa,Humid,36,0,0,22.813,127412.889775432,263795.720526227,27.3,49.2,FALSE
3188351,2018-12-02 09:18:17,0.113591071666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.674526098033,μmol/L,19.2204588977852,°C,1024,hPa,Humid,36,0,0,22.814,127422.672102006,263803.885546215,27.3,49.2,FALSE
3188362,2018-12-02 09:18:18,0.130376688333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.691558424003,μmol/L,19.2265529537262,°C,1024,hPa,Humid,36,0,0,22.811,127416.691253207,263793.572213635,27.3,49.2,FALSE
3188371,2018-12-02 09:18:19,0.1471753,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.766773686681,μmol/L,19.2143648528813,°C,1024,hPa,Humid,36,0,0,22.811,127430.2986582,263794.023118652,27.3,49.2,FALSE
3188380,2018-12-02 09:18:20,0.163936633333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.674526098033,μmol/L,19.2204588977852,°C,1024,hPa,Humid,36,0,0,22.814,127443.076251758,263796.967141197,27.3,49.2,FALSE
3188386,2018-12-02 09:18:21,0.179898606666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,212.601704628206,μmol/L,19.2204588977852,°C,1024,hPa,Humid,36,0,0,22.818,127453.366557451,263795.186259186,27.3,49.2,FALSE
