Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3196626,2018-12-02 10:05:38,0,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.818295575462,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.947,102653.150758519,252155.013734493,26.6,20.1,FALSE
3196631,2018-12-02 10:05:39,0.0243987783333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.759582861108,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.952,102631.354084034,252012.42439308,26.6,20.1,FALSE
3196636,2018-12-02 10:05:40,0.04159419,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.818295575462,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.947,102614.854909279,251906.918544778,26.6,20.1,FALSE
3196645,2018-12-02 10:05:41,0.057696455,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.858301242108,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.947,102599.959821254,251840.750447429,26.6,20.1,FALSE
3196650,2018-12-02 10:05:42,0.0745388666666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.71908143611,μmol/L,19.6775246686384,°C,1024,hPa,Humid,36,0,0,21.95,102595.271667482,251771.147108627,26.6,20.1,FALSE
3196664,2018-12-02 10:05:43,0.0914736233333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.818295575462,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.947,102592.67163912,251716.131095591,26.6,20.1,FALSE
3196669,2018-12-02 10:05:44,0.107545718333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.6998606056,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.953,102580.568558341,251678.876327016,26.6,20.1,FALSE
3196683,2018-12-02 10:05:45,0.12441003,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.798551106874,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.948,102579.701496955,251652.829267447,26.6,20.1,FALSE
3196686,2018-12-02 10:05:46,0.141192526666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.719594461335,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.952,102567.543572781,251601.497697136,26.6,20.1,FALSE
3196696,2018-12-02 10:05:47,0.158014416666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.6998606056,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.953,102568.399047258,251578.331295484,26.6,20.1,FALSE
3196705,2018-12-02 10:05:48,0.174860346666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.70037730282,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.955,102562.641093701,251544.993707287,26.6,20.1,FALSE
3196716,2018-12-02 10:05:49,0.19086909,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.759068538964,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.95,102551.447300604,251532.115432432,26.6,20.1,FALSE
3196724,2018-12-02 10:05:50,0.207662843333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.640671766987,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.956,102554.281926614,251510.443511266,26.6,20.1,FALSE
3196735,2018-12-02 10:05:51,0.224452463333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.779322291427,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.951,102550.512823697,251499.808181196,26.6,20.1,FALSE
3196741,2018-12-02 10:05:52,0.241249433333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.640671766987,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.956,102545.496211854,251479.651155974,26.6,20.1,FALSE
3196752,2018-12-02 10:05:53,0.258037323333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.562305234232,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.962,102535.448529167,251460.083952,26.6,20.1,FALSE
3196765,2018-12-02 10:05:54,0.274843883333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.621466256413,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.959,102546.091697117,251437.748445247,26.6,20.1,FALSE
3196769,2018-12-02 10:05:55,0.290831186666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.621466256413,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.959,102538.412855439,251419.805590634,26.6,20.1,FALSE
3196779,2018-12-02 10:05:56,0.307615048333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.621466256413,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.959,102539.409073454,251409.638056415,26.6,20.1,FALSE
3196785,2018-12-02 10:05:57,0.324394681666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.601743795953,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.96,102538.412238112,251396.854057134,26.6,20.1,FALSE
3196797,2018-12-02 10:05:58,0.341216376666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.601223145302,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.958,102536.263215838,251380.306977023,26.6,20.1,FALSE
3196806,2018-12-02 10:05:59,0.358068605,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.660399258737,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.955,102529.392836369,251364.367202282,26.6,20.1,FALSE
3196818,2018-12-02 10:06:00,0.374866796666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.621466256413,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.959,102542.976112984,251350.903141425,26.6,20.1,FALSE
3196827,2018-12-02 10:06:01,0.390848046666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.66143869911,μmol/L,19.6592344522255,°C,1024,hPa,Humid,36,0,0,21.959,102524.00799208,251321.622750437,26.6,20.1,FALSE
3196833,2018-12-02 10:06:02,0.407664505,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.562305234232,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.962,102520.070602326,251313.130225914,26.6,20.1,FALSE
3196840,2018-12-02 10:06:03,0.424477208333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.562305234232,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.962,102528.861552555,251302.127366441,26.6,20.1,FALSE
3196848,2018-12-02 10:06:04,0.441319751666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.562305234232,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.962,102518.916269525,251291.233859859,26.6,20.1,FALSE
3196863,2018-12-02 10:06:05,0.458190658333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.581502014745,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.959,102524.802486795,251287.464858001,26.6,20.1,FALSE
3196868,2018-12-02 10:06:06,0.474109141666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.543115030911,μmol/L,19.6592344522255,°C,1024,hPa,Humid,36,0,0,21.965,102514.230489487,251263.84726796,26.6,20.1,FALSE
3196877,2018-12-02 10:06:07,0.49091669,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.482928152422,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.964,102508.714297792,251248.742523616,26.6,20.1,FALSE
3196884,2018-12-02 10:06:08,0.507814745,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.483453538906,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.966,102508.444539364,251247.279246372,26.6,20.1,FALSE
3196892,2018-12-02 10:06:09,0.524624401666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.482928152422,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.964,102500.906699038,251236.021657542,26.6,20.1,FALSE
3196906,2018-12-02 10:06:10,0.54144901,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.562305234232,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.962,102511.866651901,251235.030945995,26.6,20.1,FALSE
3196917,2018-12-02 10:06:11,0.558267578333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.483453538906,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.966,102500.556726562,251220.147820884,26.6,20.1,FALSE
3196922,2018-12-02 10:06:12,0.57420978,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.5223513405,μmol/L,19.671427918785,°C,1024,hPa,Humid,36,0,0,21.962,102501.136336501,251196.240109716,26.6,20.1,FALSE
3196931,2018-12-02 10:06:13,0.591032223333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.562830343831,μmol/L,19.6592344522255,°C,1024,hPa,Humid,36,0,0,21.964,102491.554543438,251195.449390818,26.6,20.1,FALSE
3196943,2018-12-02 10:06:14,0.607806368333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.523401836646,μmol/L,19.6592344522255,°C,1024,hPa,Humid,36,0,0,21.966,102490.427337604,251174.936667937,26.6,20.1,FALSE
3196949,2018-12-02 10:06:15,0.62471236,OXY1 (PSt7-10),2018-06-27 09:55:33,default,226.503163284998,μmol/L,19.6653311799805,°C,1024,hPa,Humid,36,0,0,21.965,102494.433457026,251178.285093,26.6,20.1,FALSE
