Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3196639,2018-12-02 10:05:40,0,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.833168287119,μmol/L,19.3971910016453,°C,1025,hPa,Humid,36,0,0,22.529,116826.237053806,264251.245536426,27.3,49.2,FALSE
3196643,2018-12-02 10:05:41,0.0138687133333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.871459284065,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.529,116798.599315775,264195.541356795,27.3,49.2,FALSE
3196651,2018-12-02 10:05:42,0.03074933,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.871459284065,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.529,116795.380231289,264163.100733314,27.3,49.2,FALSE
3196666,2018-12-02 10:05:43,0.047654055,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.890129059716,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.528,116796.502580018,264148.378222248,27.3,49.2,FALSE
3196674,2018-12-02 10:05:44,0.0644900416666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.928431315726,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.528,116789.535255917,264133.342457887,27.3,49.2,FALSE
3196677,2018-12-02 10:05:45,0.0804482333333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.947106325389,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.527,116780.9709131,264120.820394541,27.3,49.2,FALSE
3196688,2018-12-02 10:05:46,0.0972572866666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.928431315726,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.528,116790.309258162,264105.54888455,27.3,49.2,FALSE
3196697,2018-12-02 10:05:47,0.114203193333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.871459284065,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.529,116786.194719465,264104.338113897,27.3,49.2,FALSE
3196708,2018-12-02 10:05:48,0.131016355,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.796799814007,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.533,116790.872350433,264086.478030638,27.3,49.2,FALSE
3196714,2018-12-02 10:05:49,0.147087758333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.8910871886,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.53,116788.696165753,264087.025856668,27.3,49.2,FALSE
3196726,2018-12-02 10:05:50,0.163909555,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.871459284065,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.529,116792.275213769,264071.813606369,27.3,49.2,FALSE
3196734,2018-12-02 10:05:51,0.18070502,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.815461737203,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.532,116793.391364123,264078.985702639,27.3,49.2,FALSE
3196742,2018-12-02 10:05:52,0.19749617,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.947106325389,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.527,116793.284173537,264064.850687947,27.3,49.2,FALSE
3196749,2018-12-02 10:05:53,0.214355188333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.965783299494,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.526,116791.177856515,264063.73902374,27.3,49.2,FALSE
3196757,2018-12-02 10:05:54,0.2303666,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.85279147195,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.53,116787.870544853,264059.810404565,27.3,49.2,FALSE
3196772,2018-12-02 10:05:55,0.247168845,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.909758270224,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.529,116787.657787707,264066.412785515,27.3,49.2,FALSE
3196780,2018-12-02 10:05:56,0.263994466666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.85279147195,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.53,116793.088225496,264059.482124072,27.3,49.2,FALSE
3196790,2018-12-02 10:05:57,0.280801165,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.872418070572,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.531,116793.986881032,264055.05437922,27.3,49.2,FALSE
3196795,2018-12-02 10:05:58,0.297663615,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.872418070572,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.531,116787.595739948,264040.74044555,27.3,49.2,FALSE
3196807,2018-12-02 10:05:59,0.314463466666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.872418070572,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.531,116794.696391595,264049.543960948,27.3,49.2,FALSE
3196815,2018-12-02 10:06:00,0.330404616666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.85279147195,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.53,116793.489519444,264043.85005587,27.3,49.2,FALSE
3196825,2018-12-02 10:06:01,0.347201636666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.85279147195,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.53,116794.322045707,264041.254968672,27.3,49.2,FALSE
3196830,2018-12-02 10:06:02,0.364127053333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.853750915861,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.532,116792.797311313,264026.210968579,27.3,49.2,FALSE
3196846,2018-12-02 10:06:03,0.380947063333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.816422495258,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.534,116791.433862859,264033.715927858,27.3,49.2,FALSE
3196855,2018-12-02 10:06:04,0.397781356666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.74178920146,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.538,116787.875133765,264024.717607688,27.3,49.2,FALSE
3196857,2018-12-02 10:06:05,0.413772606666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.815461737203,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.532,116788.719513738,264011.316271111,27.3,49.2,FALSE
3196865,2018-12-02 10:06:06,0.430563075,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.778139853223,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.534,116789.502336969,264013.276278013,27.3,49.2,FALSE
3196874,2018-12-02 10:06:07,0.447359673333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.815461737203,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.532,116785.593731174,264019.540134008,27.3,49.2,FALSE
3196885,2018-12-02 10:06:08,0.464151766666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.759481854567,μmol/L,19.3910966366238,°C,1025,hPa,Humid,36,0,0,22.535,116788.878625567,264003.565404339,27.3,49.2,FALSE
3196893,2018-12-02 10:06:09,0.481019161666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.816422495258,μmol/L,19.3850022826405,°C,1025,hPa,Humid,36,0,0,22.534,116791.679885011,264000.139777324,27.3,49.2,FALSE
