Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3213109,2018-12-02 11:01:33,0,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.453273780325,μmol/L,19.5969957364109,°C,1024,hPa,Humid,36,0,0,22.475,123534.529971188,275920.638381784,31.5,36,FALSE
3213117,2018-12-02 11:01:34,0.01903478,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.416130740275,μmol/L,19.5969957364109,°C,1024,hPa,Humid,36,0,0,22.477,123497.09949687,275831.888980841,31.5,36,FALSE
3213121,2018-12-02 11:01:35,0.0358726166666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.47302174215,μmol/L,19.5908441937436,°C,1024,hPa,Humid,36,0,0,22.476,123464.295886806,275781.96330587,31.5,36,FALSE
3213129,2018-12-02 11:01:36,0.0525661183333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.434701281458,μmol/L,19.5969957364109,°C,1024,hPa,Humid,36,0,0,22.476,123446.596602953,275742.033766375,31.5,36,FALSE
3213131,2018-12-02 11:01:37,0.069322485,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.360430860021,μmol/L,19.5969957364109,°C,1024,hPa,Humid,36,0,0,22.48,123424.710905018,275710.367567384,31.5,36,FALSE
3213138,2018-12-02 11:01:38,0.08611534,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.453273780325,μmol/L,19.5969957364109,°C,1024,hPa,Humid,36,0,0,22.475,123417.296232014,275689.475181059,31.5,36,FALSE
3213148,2018-12-02 11:01:39,0.102375998333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.416130740275,μmol/L,19.5969957364109,°C,1024,hPa,Humid,36,0,0,22.477,123404.055684598,275684.340647243,31.5,36,FALSE
3213161,2018-12-02 11:01:40,0.11946431,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.397562156495,μmol/L,19.5969957364109,°C,1024,hPa,Humid,36,0,0,22.478,123396.686748911,275666.301924402,31.5,36,FALSE
3213167,2018-12-02 11:01:41,0.136315961666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.416130740275,μmol/L,19.5969957364109,°C,1024,hPa,Humid,36,0,0,22.477,123388.264376435,275654.729116177,31.5,36,FALSE
3213177,2018-12-02 11:01:42,0.152776763333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,215.528754942722,μmol/L,19.5908441937436,°C,1024,hPa,Humid,36,0,0,22.473,123376.508887538,275643.353677707,31.5,36,FALSE
