Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3213144,2018-12-02 11:01:38,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.931442706104,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.499,117208.575529762,258646.884434388,23.1,41.6,FALSE
3213147,2018-12-02 11:01:39,0.014437225,OXY9 (PSt7-10),2018-06-22 13:46:20,default,217.024904967105,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.494,117177.32061504,258583.896777367,23.1,41.6,FALSE
3213159,2018-12-02 11:01:40,0.0313767316666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.988842176239,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.498,117173.162627091,258565.371695202,23.1,41.6,FALSE
3213168,2018-12-02 11:01:41,0.0482283833333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.950131221337,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.498,117163.625477797,258545.178889553,23.1,41.6,FALSE
3213175,2018-12-02 11:01:42,0.064689185,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.911428362651,μmol/L,19.5362280546433,°C,1024,hPa,Humid,36,0,0,22.498,117164.466755121,258530.485650849,23.1,41.6,FALSE
3213185,2018-12-02 11:01:43,0.081517935,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.912756158789,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.5,117162.892405917,258511.915963561,23.1,41.6,FALSE
3213192,2018-12-02 11:01:44,0.097503275,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.911428362651,μmol/L,19.5362280546433,°C,1024,hPa,Humid,36,0,0,22.498,117156.570716461,258519.754385393,23.1,41.6,FALSE
3213204,2018-12-02 11:01:45,0.114371495,OXY9 (PSt7-10),2018-06-22 13:46:20,default,217.007535967141,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.497,117158.018409126,258513.987545677,23.1,41.6,FALSE
3213212,2018-12-02 11:01:46,0.13122239,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.892743153849,μmol/L,19.5362280546433,°C,1024,hPa,Humid,36,0,0,22.499,117165.206402405,258521.138743326,23.1,41.6,FALSE
3213222,2018-12-02 11:01:47,0.148043575,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.950131221337,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.498,117164.235953618,258503.226792218,23.1,41.6,FALSE
3213233,2018-12-02 11:01:48,0.16484546,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.894071579109,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.501,117168.367726925,258501.685996024,23.1,41.6,FALSE
3213241,2018-12-02 11:01:49,0.18099832,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.875388966784,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.502,117165.622998141,258496.298276012,23.1,41.6,FALSE
3213252,2018-12-02 11:01:50,0.197764951666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.912756158789,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.5,117167.812382753,258489.560161885,23.1,41.6,FALSE
3213258,2018-12-02 11:01:51,0.214588585,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.89540274429,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.503,117171.835705307,258485.021512535,23.1,41.6,FALSE
3213267,2018-12-02 11:01:52,0.231407826666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.875388966784,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.502,117171.435593112,258485.910449986,23.1,41.6,FALSE
3213279,2018-12-02 11:01:53,0.248200951666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.838029643064,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.504,117176.558069591,258493.446675073,23.1,41.6,FALSE
3213288,2018-12-02 11:01:54,0.26469164,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.838029643064,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.504,117178.849845595,258494.289861441,23.1,41.6,FALSE
3213293,2018-12-02 11:01:55,0.281201195,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.894071579109,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.501,117187.043720299,258486.329353587,23.1,41.6,FALSE
3213303,2018-12-02 11:01:56,0.29794716,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.89540274429,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.503,117192.488177537,258482.674433099,23.1,41.6,FALSE
3213312,2018-12-02 11:01:57,0.314160231666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.819352931106,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.505,117184.7734479,258490.394530605,23.1,41.6,FALSE
3213322,2018-12-02 11:01:58,0.330940726666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.876720760437,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.504,117191.883410703,258483.964945177,23.1,41.6,FALSE
3213329,2018-12-02 11:01:59,0.348177043333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.914086695279,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.502,117193.092114737,258490.692851455,23.1,41.6,FALSE
3213336,2018-12-02 11:02:00,0.364214333333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.839362693007,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.506,117185.962105727,258468.904292417,23.1,41.6,FALSE
3213349,2018-12-02 11:02:01,0.380922036666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.820686608866,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.507,117185.32937889,258477.148422066,23.1,41.6,FALSE
3213359,2018-12-02 11:02:02,0.398187961666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.78200540558,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.507,117179.19509827,258477.776078219,23.1,41.6,FALSE
3213368,2018-12-02 11:02:03,0.414554653333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.800678185372,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.506,117184.876726511,258459.046609486,23.1,41.6,FALSE
3213374,2018-12-02 11:02:04,0.431398525,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.783340338322,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.509,117184.949891446,258469.363663715,23.1,41.6,FALSE
3213381,2018-12-02 11:02:05,0.447413273333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.783340338322,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.509,117183.032863592,258460.9731065,23.1,41.6,FALSE
3213394,2018-12-02 11:02:06,0.46424875,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.802012490732,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.508,117197.118507827,258465.892041263,23.1,41.6,FALSE
3213402,2018-12-02 11:02:07,0.481078525,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.746001929549,μmol/L,19.5239131339708,°C,1024,hPa,Humid,36,0,0,22.511,117186.820804824,258457.067987161,23.1,41.6,FALSE
3213413,2018-12-02 11:02:08,0.497899206666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,216.688670985887,μmol/L,19.5300705886716,°C,1024,hPa,Humid,36,0,0,22.512,117188.898265255,258447.721283132,23.1,41.6,FALSE
