Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2804120,2018-11-27 14:48:32,0,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.650843671984,μmol/L,21.4197669000982,°C,1007,hPa,Humid,36,1,0,23.254,128385.353808118,387164.776723664,58.084829600876,24,0
2804126,2018-11-27 14:48:33,0.0185288783333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.66983506452,μmol/L,21.4075055149365,°C,1007,hPa,Humid,36,1,0,23.257,128336.052650697,387096.102489929,58.084829600876,24,0
2804131,2018-11-27 14:48:34,0.03450235,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.570314819267,μmol/L,21.4136362019285,°C,1007,hPa,Humid,36,1,0,23.261,128334.043809705,387044.808653131,58.084829600876,24,0
2804135,2018-11-27 14:48:35,0.0513461783333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.522546472794,μmol/L,21.4075055149365,°C,1007,hPa,Humid,36,1,0,23.266,128317.466586136,387018.856572316,58.084829600876,24,0
2804141,2018-11-27 14:48:36,0.0682274166666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.391737082224,μmol/L,21.4075055149365,°C,1007,hPa,Humid,36,1,0,23.274,128292.354385043,386997.486354655,58.084829600876,24,0
2804146,2018-11-27 14:48:37,0.0851130366666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.310035548087,μmol/L,21.4075055149365,°C,1007,hPa,Humid,36,1,0,23.279,128342.121511735,386990.705516435,58.084829600876,24,0
2804153,2018-11-27 14:48:38,0.101962478333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.25971277987,μmol/L,21.4136362019285,°C,1007,hPa,Humid,36,1,0,23.28,128333.531741048,386973.357277916,58.084829600876,24,0
2804154,2018-11-27 14:48:39,0.117959586666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.212048829204,μmol/L,21.4075055149365,°C,1007,hPa,Humid,36,1,0,23.285,128347.643538984,386954.310106643,58.084829600876,24,0
2804165,2018-11-27 14:48:40,0.13481466,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.14675773394,μmol/L,21.4075055149365,°C,1007,hPa,Humid,36,1,0,23.289,128357.128536836,386958.208447821,58.084829600876,24,0
2804172,2018-11-27 14:48:41,0.151673993333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,192.164404208606,μmol/L,21.4013748391235,°C,1007,hPa,Humid,36,1,0,23.29,128372.245374351,386939.19479767,58.084829600876,24,0
