Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2812433,2018-11-27 15:07:29,0,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.139468466123,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.267,129506.718950684,265475.043031665,57.5574474756351,49.2,0
2812447,2018-11-27 15:07:30,0.0254508816666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.179942530618,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.265,129485.586628654,265464.929305811,57.5574474756351,49.2,0
2812457,2018-11-27 15:07:31,0.0414547183333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.055740950928,μmol/L,21.2320969014559,°C,1007,hPa,Humid,0,1,0,23.269,129455.560762902,265444.875552985,57.5574474756351,49.2,0
2812467,2018-11-27 15:07:32,0.0582489633333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.156902708046,μmol/L,21.2320969014559,°C,1007,hPa,Humid,0,1,0,23.264,129431.855279589,265417.767202633,57.5574474756351,49.2,0
2812471,2018-11-27 15:07:33,0.07507106,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.119234539207,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.268,129423.345609718,265410.814583465,57.5574474756351,49.2,0
2812483,2018-11-27 15:07:34,0.09195198,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.179942530618,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.265,129424.124851249,265405.370410744,57.5574474756351,49.2,0
2812491,2018-11-27 15:07:35,0.107987846666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.200182668775,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.264,129415.955258882,265399.641729881,57.5574474756351,49.2,0
2812499,2018-11-27 15:07:36,0.124782431666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.099002682126,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.269,129408.47528201,265402.778586864,57.5574474756351,49.2,0
2812505,2018-11-27 15:07:37,0.141614491666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.116431795362,μmol/L,21.2320969014559,°C,1007,hPa,Humid,0,1,0,23.266,129404.569448971,265396.979622906,57.5574474756351,49.2,0
2812522,2018-11-27 15:07:38,0.158479526666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.182748927092,μmol/L,21.2199015312817,°C,1007,hPa,Humid,0,1,0,23.267,129372.507891267,265388.630807893,57.5574474756351,49.2,0
2812531,2018-11-27 15:07:39,0.175339741666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.179942530618,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.265,129404.079341751,265399.853110414,57.5574474756351,49.2,0
2812539,2018-11-27 15:07:40,0.191333463333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.223230285696,μmol/L,21.2199015312817,°C,1007,hPa,Humid,0,1,0,23.265,129383.082508729,265397.354610937,57.5574474756351,49.2,0
2812548,2018-11-27 15:07:41,0.208169463333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.179942530618,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.265,129390.899848972,265388.140592173,57.5574474756351,49.2,0
2812557,2018-11-27 15:07:42,0.22505512,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.177141270175,μmol/L,21.2320969014559,°C,1007,hPa,Humid,0,1,0,23.263,129393.903737322,265382.645799102,57.5574474756351,49.2,0
2812567,2018-11-27 15:07:43,0.241911276666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.136666216538,μmol/L,21.2320969014559,°C,1007,hPa,Humid,0,1,0,23.265,129386.789191289,265382.219589324,57.5574474756351,49.2,0
2812576,2018-11-27 15:07:44,0.258816606666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.202988571001,μmol/L,21.2199015312817,°C,1007,hPa,Humid,0,1,0,23.266,129384.796970504,265377.125108862,57.5574474756351,49.2,0
2812584,2018-11-27 15:07:45,0.27481489,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.159704463164,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.266,129379.129230581,265374.759823548,57.5574474756351,49.2,0
2812593,2018-11-27 15:07:46,0.291682191666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.220424877925,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.263,129382.521667755,265377.32991329,57.5574474756351,49.2,0
2812603,2018-11-27 15:07:47,0.308544678333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.179942530618,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.265,129379.617881443,265378.231475355,57.5574474756351,49.2,0
2812611,2018-11-27 15:07:48,0.325378173333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.159704463164,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.266,129371.328454281,265372.317734395,57.5574474756351,49.2,0
2812614,2018-11-27 15:07:49,0.341518553333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.177141270175,μmol/L,21.2320969014559,°C,1007,hPa,Humid,0,1,0,23.263,129356.822701979,265353.027309441,57.5574474756351,49.2,0
2812626,2018-11-27 15:07:50,0.358331898333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.243474071466,μmol/L,21.2199015312817,°C,1007,hPa,Humid,0,1,0,23.264,129357.973526248,265352.56633488,57.5574474756351,49.2,0
2812634,2018-11-27 15:07:51,0.375265395,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.136666216538,μmol/L,21.2320969014559,°C,1007,hPa,Humid,0,1,0,23.265,129354.24114393,265364.924716725,57.5574474756351,49.2,0
2812640,2018-11-27 15:07:52,0.392064493333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.200182668775,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.264,129391.547052076,265362.965561714,57.5574474756351,49.2,0
2812653,2018-11-27 15:07:53,0.408083205,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.283967857388,μmol/L,21.2199015312817,°C,1007,hPa,Humid,0,1,0,23.262,129339.285314468,265351.148111649,57.5574474756351,49.2,0
2812665,2018-11-27 15:07:54,0.424945175,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.197381903215,μmol/L,21.2320969014559,°C,1007,hPa,Humid,0,1,0,23.262,129335.104963258,265358.473432929,57.5574474756351,49.2,0
2812674,2018-11-27 15:07:55,0.441808448333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.240669158357,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.262,129325.19098862,265359.469442836,57.5574474756351,49.2,0
2812683,2018-11-27 15:07:56,0.45864419,OXY8 (PSt7-10),2018-06-27 09:57:01,default,238.179942530618,μmol/L,21.2259992108402,°C,1007,hPa,Humid,0,1,0,23.265,129328.679404229,265359.34594003,57.5574474756351,49.2,0
