Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2812441,2018-11-27 15:07:29,0,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.946528689444,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.288,128036.668427762,372772.250447971,55.1842279120512,57.3,0
2812443,2018-11-27 15:07:30,0.009256815,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.85634556943,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.293,128004.1625109,372655.200057193,55.1842279120512,57.3,0
2812453,2018-11-27 15:07:31,0.0261327316666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.85634556943,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.293,127987.511614772,372650.989778979,55.1842279120512,57.3,0
2812466,2018-11-27 15:07:32,0.042980455,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.874378641272,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.292,127985.361716765,372624.961166529,55.1842279120512,57.3,0
2812477,2018-11-27 15:07:33,0.05980531,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.874378641272,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.292,127968.373525363,372597.354084191,55.1842279120512,57.3,0
2812478,2018-11-27 15:07:34,0.0757911716666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.838314273187,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.294,127963.982715567,372587.396230209,55.1842279120512,57.3,0
2812487,2018-11-27 15:07:35,0.092646125,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.85634556943,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.293,127961.112186098,372591.584006991,55.1842279120512,57.3,0
2812496,2018-11-27 15:07:36,0.109516943333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.838314273187,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.294,127953.02036651,372578.01385455,55.1842279120512,57.3,0
2812510,2018-11-27 15:07:37,0.126336235,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.8171219225,μmol/L,21.3911528496305,°C,1006,hPa,Humid,2,1,0,24.293,127949.250435994,372575.382524521,55.1842279120512,57.3,0
2812519,2018-11-27 15:07:38,0.142430268333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.838314273187,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.294,127937.867570885,372567.32664547,55.1842279120512,57.3,0
2812526,2018-11-27 15:07:39,0.159222348333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.835151746306,μmol/L,21.3911528496305,°C,1006,hPa,Humid,2,1,0,24.292,127988.26279,372569.294543306,55.1842279120512,57.3,0
2812533,2018-11-27 15:07:40,0.17603957,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.835151746306,μmol/L,21.3911528496305,°C,1006,hPa,Humid,2,1,0,24.292,127915.702643404,372559.679528076,55.1842279120512,57.3,0
2812547,2018-11-27 15:07:41,0.192876853333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.8171219225,μmol/L,21.3911528496305,°C,1006,hPa,Humid,2,1,0,24.293,127909.323259846,372560.027240224,55.1842279120512,57.3,0
2812558,2018-11-27 15:07:42,0.209729156666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.85634556943,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.293,127918.739783201,372555.782850442,55.1842279120512,57.3,0
2812562,2018-11-27 15:07:43,0.22578372,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.85634556943,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.293,127917.058140552,372541.132057577,55.1842279120512,57.3,0
2812568,2018-11-27 15:07:44,0.242656383333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.85634556943,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.293,127925.40646786,372533.274594469,55.1842279120512,57.3,0
2812583,2018-11-27 15:07:45,0.259535181666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.85634556943,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.293,127907.591818478,372529.547244538,55.1842279120512,57.3,0
2812594,2018-11-27 15:07:46,0.276393401666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.8171219225,μmol/L,21.3911528496305,°C,1006,hPa,Humid,2,1,0,24.293,127905.635169443,372535.736151242,55.1842279120512,57.3,0
2812597,2018-11-27 15:07:47,0.292414026666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.781067600492,μmol/L,21.3911528496305,°C,1006,hPa,Humid,2,1,0,24.295,127907.395710372,372535.938011925,55.1842279120512,57.3,0
2812606,2018-11-27 15:07:48,0.309371298333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.799093873975,μmol/L,21.3911528496305,°C,1006,hPa,Humid,2,1,0,24.294,127898.275126009,372538.206832318,55.1842279120512,57.3,0
2812615,2018-11-27 15:07:49,0.326461938333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,215.910450112718,μmol/L,21.3850390888401,°C,1006,hPa,Humid,2,1,0,24.29,127902.292567887,372519.122844781,55.1842279120512,57.3,0
