Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2804188,2018-11-27 14:48:44,0,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.906807647538,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.047,120270.636915887,376103.852725451,55.1842279120512,57.3,0
2804201,2018-11-27 14:48:45,0.0202087816666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.833063162987,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.051,120221.369757705,376026.495167947,55.1842279120512,57.3,0
2804211,2018-11-27 14:48:46,0.03708415,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.851496536659,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.05,120189.865741143,375961.488604031,55.1842279120512,57.3,0
2804215,2018-11-27 14:48:47,0.0539199733333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.851496536659,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.05,120176.577243022,375943.163426674,55.1842279120512,57.3,0
2804226,2018-11-27 14:48:48,0.0707639466666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.851496536659,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.05,120159.692970062,375909.816610761,55.1842279120512,57.3,0
2804230,2018-11-27 14:48:49,0.08673093,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.854543196182,μmol/L,21.4461771969923,°C,1006,hPa,Humid,2,1,0,24.052,120143.580107391,375912.246879645,55.1842279120512,57.3,0
2804239,2018-11-27 14:48:50,0.103564121666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.774730440194,μmol/L,21.458404952024,°C,1006,hPa,Humid,2,1,0,24.052,120129.299118246,375901.593270102,55.1842279120512,57.3,0
2804248,2018-11-27 14:48:51,0.120402323333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.759347978089,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.055,120127.824626473,375862.669285153,55.1842279120512,57.3,0
2804255,2018-11-27 14:48:52,0.137294476666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.796201909078,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.053,120120.133949454,375870.385396264,55.1842279120512,57.3,0
2804266,2018-11-27 14:48:53,0.154080866666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.796201909078,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.053,120104.966203105,375863.776093876,55.1842279120512,57.3,0
2804271,2018-11-27 14:48:54,0.170070278333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.701035840758,μmol/L,21.458404952024,°C,1006,hPa,Humid,2,1,0,24.056,120084.989722765,375835.49891382,55.1842279120512,57.3,0
2804279,2018-11-27 14:48:55,0.186944778333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.799249603365,μmol/L,21.4461771969923,°C,1006,hPa,Humid,2,1,0,24.055,120094.084037587,375834.544913185,55.1842279120512,57.3,0
2804287,2018-11-27 14:48:56,0.203834715,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.743972485584,μmol/L,21.4461771969923,°C,1006,hPa,Humid,2,1,0,24.058,120100.229741221,375848.633728814,55.1842279120512,57.3,0
2804296,2018-11-27 14:48:57,0.220667026666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.578239915195,μmol/L,21.4461771969923,°C,1006,hPa,Humid,2,1,0,24.067,125645.18617461,375826.837784176,55.1842279120512,57.3,0
2804306,2018-11-27 14:48:58,0.237502788333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.593595856316,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.064,125174.375827966,375832.82560523,55.1842279120512,57.3,0
2804308,2018-11-27 14:48:59,0.253490581666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.6488301027,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.061,121659.787787628,375826.888315953,55.1842279120512,57.3,0
2804316,2018-11-27 14:49:00,0.270345215,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.685662076892,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.059,120206.528230224,375823.399609166,55.1842279120512,57.3,0
2804324,2018-11-27 14:49:01,0.287201905,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.6488301027,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.061,120093.156399456,375820.34592745,55.1842279120512,57.3,0
2804338,2018-11-27 14:49:02,0.304061126666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.722501368025,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.057,120186.66373834,375822.394905852,55.1842279120512,57.3,0
2804340,2018-11-27 14:49:03,0.320055988333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.645784103421,μmol/L,21.458404952024,°C,1006,hPa,Humid,2,1,0,24.059,120164.798174471,375813.023575396,55.1842279120512,57.3,0
2804349,2018-11-27 14:49:04,0.336922678333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.722501368025,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.057,120213.279549574,375819.096131299,55.1842279120512,57.3,0
2804358,2018-11-27 14:49:05,0.353778035,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.667245175303,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.06,120201.842334334,375786.960133065,55.1842279120512,57.3,0
2804365,2018-11-27 14:49:06,0.370630811666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.6488301027,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.061,120234.712499906,375802.573271271,55.1842279120512,57.3,0
2804378,2018-11-27 14:49:07,0.387495783333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.667245175303,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.06,120213.890427549,375784.013597259,55.1842279120512,57.3,0
2804380,2018-11-27 14:49:08,0.403556193333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,219.612005443455,μmol/L,21.4522910689498,°C,1006,hPa,Humid,2,1,0,24.063,120235.095080554,375770.562405798,55.1842279120512,57.3,0
