Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2812432,2018-11-27 15:07:28,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.749248244399,μmol/L,21.4815350664276,°C,1007,hPa,Humid,0,1,0,22.973,119757.429911837,254982.739519531,56.7663742877738,50.3,0
2812439,2018-11-27 15:07:29,0.0147214683333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.618577589572,μmol/L,21.4815350664276,°C,1006,hPa,Humid,0,1,0,22.979,119740.018338281,254942.004254829,56.7663742877738,50.3,0
2812449,2018-11-27 15:07:30,0.0316656833333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.600578808438,μmol/L,21.4754076110617,°C,1006,hPa,Humid,0,1,0,22.982,119729.111935976,254917.746891125,56.7663742877738,50.3,0
2812458,2018-11-27 15:07:31,0.0485078566666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.597859104472,μmol/L,21.4815350664276,°C,1006,hPa,Humid,0,1,0,22.98,119712.487376755,254892.440747665,56.7663742877738,50.3,0
2812464,2018-11-27 15:07:32,0.0645272466666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.597859104472,μmol/L,21.4815350664276,°C,1006,hPa,Humid,0,1,0,22.98,119703.102614961,254875.754516576,56.7663742877738,50.3,0
2812474,2018-11-27 15:07:33,0.0813885066666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.533000457288,μmol/L,21.4876625329607,°C,1006,hPa,Humid,0,1,0,22.981,119713.486264069,254873.601226706,56.7663742877738,50.3,0
2812484,2018-11-27 15:07:34,0.0982322083333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.535716502556,μmol/L,21.4815350664276,°C,1006,hPa,Humid,0,1,0,22.983,119700.567921086,254864.155012452,56.7663742877738,50.3,0
2812494,2018-11-27 15:07:35,0.115037881666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.660020988278,μmol/L,21.4815350664276,°C,1006,hPa,Humid,0,1,0,22.977,119698.882894214,254855.394065551,56.7663742877738,50.3,0
2812502,2018-11-27 15:07:36,0.131923295,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.477185579488,μmol/L,21.4876625329607,°C,1007,hPa,Humid,0,1,0,22.984,119687.487656,254848.421380448,56.7663742877738,50.3,0
2812508,2018-11-27 15:07:37,0.14792803,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.597859104472,μmol/L,21.4815350664276,°C,1006,hPa,Humid,0,1,0,22.98,119696.049243906,254848.256792995,56.7663742877738,50.3,0
2812520,2018-11-27 15:07:38,0.16478871,OXY7 (PSt7-10),2018-06-27 09:56:49,default,242.491581673368,μmol/L,21.4876625329607,°C,1006,hPa,Humid,0,1,0,22.983,119676.905415749,254842.1971263,56.7663742877738,50.3,0
