Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2820818,2018-11-27 15:47:05,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.686906715964,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.35,114782.142503799,194180.858062541,26.25,55.3,0
2820820,2018-11-27 15:47:06,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.686906715964,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.35,114745.322444213,194124.00695552,26.25,55.3,0
2820822,2018-11-27 15:47:07,0.016734505,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.607582972531,μmol/L,21.3236760357991,°C,1007,hPa,Humid,36,0,0,21.352,114722.708997983,194108.318725705,26.25,55.3,0
2820829,2018-11-27 15:47:08,0.0335861433333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.666631082795,μmol/L,21.3115010930646,°C,1007,hPa,Humid,36,0,0,21.353,114704.880168911,194096.414400517,26.25,55.3,0
2820837,2018-11-27 15:47:09,0.0504472766666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.647064154491,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.352,114707.446193605,194090.239723574,26.25,55.3,0
2820845,2018-11-27 15:47:10,0.0665701,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.527938002256,μmol/L,21.3236760357991,°C,1007,hPa,Humid,36,0,0,21.356,114683.242411906,194079.802947042,26.25,55.3,0
2820848,2018-11-27 15:47:11,0.08375017,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.647064154491,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.352,114674.575520966,194076.026141667,26.25,55.3,0
2820860,2018-11-27 15:47:12,0.100624733333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.627146165456,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.353,114681.821176426,194078.328585691,26.25,55.3,0
2820873,2018-11-27 15:47:13,0.116630431666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.607230370451,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.354,114676.069067815,194070.05556381,26.25,55.3,0
2820880,2018-11-27 15:47:14,0.13350451,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.527589124158,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.358,114669.266561904,194071.189564535,26.25,55.3,0
2820884,2018-11-27 15:47:15,0.150323575,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.527589124158,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.358,114668.116572082,194067.456619342,26.25,55.3,0
2820895,2018-11-27 15:47:16,0.167196338333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.607582972531,μmol/L,21.3236760357991,°C,1007,hPa,Humid,36,0,0,21.352,114668.323821292,194065.871250755,26.25,55.3,0
2820909,2018-11-27 15:47:17,0.18402695,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.448328114634,μmol/L,21.3236760357991,°C,1007,hPa,Humid,36,0,0,21.36,114655.722568452,194065.40113552,26.25,55.3,0
2820918,2018-11-27 15:47:18,0.20005787,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.626794773731,μmol/L,21.3115010930646,°C,1007,hPa,Humid,36,0,0,21.355,114649.896098477,194064.158094487,26.25,55.3,0
2820922,2018-11-27 15:47:19,0.216935598333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.567405361216,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.356,114652.578112434,194059.648111598,26.25,55.3,0
2820932,2018-11-27 15:47:20,0.233783315,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.606879909991,μmol/L,21.3115010930646,°C,1007,hPa,Humid,36,0,0,21.356,114643.283756614,194062.699192819,26.25,55.3,0
2820941,2018-11-27 15:47:21,0.250716303333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.507684294375,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.359,114638.569783954,194057.954527311,26.25,55.3,0
2820954,2018-11-27 15:47:22,0.266722756666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.527589124158,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.358,114623.554572218,194053.132062056,26.25,55.3,0
2820961,2018-11-27 15:47:23,0.283597728333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.547496146329,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.357,114626.491620919,194054.680004908,26.25,55.3,0
2820973,2018-11-27 15:47:24,0.300477753333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.507684294375,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.359,114626.508071303,194060.140992791,26.25,55.3,0
2820978,2018-11-27 15:47:25,0.317361221666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.547496146329,μmol/L,21.3175885589212,°C,1007,hPa,Humid,36,0,0,21.357,114623.722289993,194052.761284531,26.25,55.3,0
2820983,2018-11-27 15:47:26,0.333349645,OXY2 (PSt7-10),2018-06-27 09:55:47,default,225.448328114634,μmol/L,21.3236760357991,°C,1007,hPa,Humid,36,0,0,21.36,114614.418342962,194043.110581962,26.25,55.3,0
