Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2829177,2018-11-27 16:07:03,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.449924084933,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.955,117030.05658977,253252.320157979,56.7663742877738,50.3,0
2829186,2018-11-27 16:07:04,0.0171007033333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.344258605795,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.958,117004.749472935,253200.417483043,56.7663742877738,50.3,0
2829197,2018-11-27 16:07:05,0.0339639083333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.385502406654,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.956,116983.847847538,253175.762623108,56.7663742877738,50.3,0
2829207,2018-11-27 16:07:06,0.0508201516666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.406127509092,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.955,116964.463519973,253155.284867199,56.7663742877738,50.3,0
2829214,2018-11-27 16:07:07,0.0677185216666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.364879438989,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.957,116955.170433625,253145.381970429,56.7663742877738,50.3,0
2829224,2018-11-27 16:07:08,0.0837389066666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.344258605795,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.958,116947.064181123,253133.704136684,56.7663742877738,50.3,0
2829235,2018-11-27 16:07:09,0.100593551666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.323639906771,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.959,116933.955296796,253138.098520204,56.7663742877738,50.3,0
2829244,2018-11-27 16:07:10,0.11742132,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.344258605795,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.958,116928.151254313,253133.900178791,56.7663742877738,50.3,0
2829253,2018-11-27 16:07:11,0.134313265,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.385502406654,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.956,116931.755987788,253126.640460533,56.7663742877738,50.3,0
2829259,2018-11-27 16:07:12,0.151146765,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.364879438989,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.957,116920.466111009,253123.287098472,56.7663742877738,50.3,0
2829265,2018-11-27 16:07:13,0.167132955,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.491188117228,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.953,116912.072256736,253122.696375429,56.7663742877738,50.3,0
2829274,2018-11-27 16:07:14,0.184009488333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.470555033201,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.954,116907.047906208,253126.548627218,56.7663742877738,50.3,0
2829284,2018-11-27 16:07:15,0.200902993333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.491188117228,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.953,116901.829071738,253116.97559526,56.7663742877738,50.3,0
2829300,2018-11-27 16:07:16,0.217722498333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.493732208617,μmol/L,21.7082587656218,°C,1007,hPa,Humid,0,1,0,22.955,116899.234462581,253113.310087856,56.7663742877738,50.3,0
2829307,2018-11-27 16:07:17,0.23375552,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.449924084933,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.955,116885.895046055,253105.174459851,56.7663742877738,50.3,0
2829316,2018-11-27 16:07:18,0.25062087,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.491188117228,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.953,116882.68654434,253111.629723181,56.7663742877738,50.3,0
2829325,2018-11-27 16:07:19,0.26747018,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.491188117228,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.953,116877.950917594,253114.612004646,56.7663742877738,50.3,0
2829335,2018-11-27 16:07:20,0.284328846666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.59438558431,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.948,116870.854858112,253099.975435565,56.7663742877738,50.3,0
2829344,2018-11-27 16:07:21,0.301161251666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.617572216788,μmol/L,21.7082587656218,°C,1007,hPa,Humid,0,1,0,22.949,116861.836295983,253109.537722946,56.7663742877738,50.3,0
2829352,2018-11-27 16:07:22,0.317153986666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.573741816961,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.949,116863.227265715,253110.451067732,56.7663742877738,50.3,0
2829362,2018-11-27 16:07:23,0.3339976,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.573741816961,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.949,116852.490909074,253103.601586881,56.7663742877738,50.3,0
2829370,2018-11-27 16:07:24,0.350879531666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.638219698167,μmol/L,21.7082587656218,°C,1007,hPa,Humid,0,1,0,22.948,116845.203832628,253092.673427209,56.7663742877738,50.3,0
2829381,2018-11-27 16:07:25,0.3678096,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.491188117228,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.953,116850.547787835,253106.040902694,56.7663742877738,50.3,0
2829385,2018-11-27 16:07:26,0.383791963333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.679521075088,μmol/L,21.7082587656218,°C,1007,hPa,Humid,0,1,0,22.946,116828.930896564,253101.794689181,56.7663742877738,50.3,0
2829396,2018-11-27 16:07:27,0.400645821666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.656329712987,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.945,116828.628203446,253092.135994866,56.7663742877738,50.3,0
2829405,2018-11-27 16:07:28,0.41748079,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.571205216626,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.947,116834.865482589,253091.233585377,56.7663742877738,50.3,0
2829414,2018-11-27 16:07:29,0.434318481666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.59438558431,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.948,116814.862920928,253097.080156817,56.7663742877738,50.3,0
2829422,2018-11-27 16:07:30,0.450359891666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.612496012366,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.945,116820.055219984,253101.092717814,56.7663742877738,50.3,0
2829432,2018-11-27 16:07:31,0.467248898333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.697636490653,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.943,116818.48753909,253107.150310204,56.7663742877738,50.3,0
2829441,2018-11-27 16:07:32,0.484147223333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.656329712987,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.945,116807.323054808,253098.383197293,56.7663742877738,50.3,0
2829445,2018-11-27 16:07:33,0.500986395,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.653795360482,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.943,116795.70876374,253087.185376512,56.7663742877738,50.3,0
2829457,2018-11-27 16:07:34,0.51779142,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.656329712987,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.945,116790.807531236,253101.433009168,56.7663742877738,50.3,0
2829464,2018-11-27 16:07:35,0.533768163333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.612496012366,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.945,116777.897870791,253076.806731357,56.7663742877738,50.3,0
2829474,2018-11-27 16:07:36,0.550678451666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.865483164766,μmol/L,21.7082587656218,°C,1007,hPa,Humid,0,1,0,22.937,116785.400916846,253080.033663987,56.7663742877738,50.3,0
2829487,2018-11-27 16:07:37,0.567599035,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.738951824646,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.941,116771.084119138,253080.674295838,56.7663742877738,50.3,0
2829496,2018-11-27 16:07:38,0.58445837,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.800940874039,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.938,116763.395130049,253080.968977754,56.7663742877738,50.3,0
2829499,2018-11-27 16:07:39,0.600497515,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.738951824646,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.941,116749.9745599,253074.117378354,56.7663742877738,50.3,0
2829509,2018-11-27 16:07:40,0.617357678333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.800940874039,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.938,116752.811464641,253074.145015619,56.7663742877738,50.3,0
2829517,2018-11-27 16:07:41,0.634170318333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.927509060144,μmol/L,21.7082587656218,°C,1007,hPa,Humid,0,1,0,22.934,116743.690026033,253080.64190683,56.7663742877738,50.3,0
2829534,2018-11-27 16:07:42,0.65107145,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.9068316199,μmol/L,21.7082587656218,°C,1007,hPa,Humid,0,1,0,22.935,116735.308742182,253076.864164738,56.7663742877738,50.3,0
2829538,2018-11-27 16:07:43,0.667073455,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.86042047136,μmol/L,21.7205145362714,°C,1007,hPa,Humid,0,1,0,22.933,116730.971994285,253075.960204452,56.7663742877738,50.3,0
2829552,2018-11-27 16:07:44,0.683943795,OXY7 (PSt7-10),2018-06-27 09:56:49,default,241.86294918878,μmol/L,21.7143866453616,°C,1007,hPa,Humid,0,1,0,22.935,116721.714346453,253077.049916824,56.7663742877738,50.3,0
