Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2829174,2018-11-27 16:07:02,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.569836272171,μmol/L,21.2480306694029,°C,1007,hPa,Humid,37,0,0,24.897,132347.462794216,426353.648016505,28.35,51.6,0
2829181,2018-11-27 16:07:03,0.0172349816666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.595635316103,μmol/L,21.2541645706424,°C,1007,hPa,Humid,37,0,0,24.893,132315.317169825,426269.573816943,28.35,51.6,0
2829190,2018-11-27 16:07:04,0.033313415,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.552397859892,μmol/L,21.2602984830714,°C,1007,hPa,Humid,37,0,0,24.894,132282.699518101,426208.718666419,28.35,51.6,0
2829195,2018-11-27 16:07:05,0.0502064983333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.552397859892,μmol/L,21.2602984830714,°C,1007,hPa,Humid,37,0,0,24.894,132274.904042137,426174.879808331,28.35,51.6,0
2829203,2018-11-27 16:07:06,0.06704998,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.552397859892,μmol/L,21.2602984830714,°C,1007,hPa,Humid,37,0,0,24.894,132256.336522417,426155.234918281,28.35,51.6,0
2829217,2018-11-27 16:07:07,0.0839312333333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.581826798753,μmol/L,21.2541645706424,°C,1007,hPa,Humid,37,0,0,24.894,132247.171712372,426143.269073534,28.35,51.6,0
2829220,2018-11-27 16:07:08,0.099921205,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.595635316103,μmol/L,21.2541645706424,°C,1007,hPa,Humid,37,0,0,24.893,132240.179543698,426129.21290989,28.35,51.6,0
2829232,2018-11-27 16:07:09,0.116793061666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.580011391631,μmol/L,21.2602984830714,°C,1007,hPa,Humid,37,0,0,24.892,132233.995016891,426135.311488449,28.35,51.6,0
2829241,2018-11-27 16:07:10,0.133634031666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.566203960498,μmol/L,21.2602984830714,°C,1007,hPa,Humid,37,0,0,24.893,132219.621248172,426128.358023064,28.35,51.6,0
2829250,2018-11-27 16:07:11,0.150525976666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.609445164212,μmol/L,21.2541645706424,°C,1007,hPa,Humid,37,0,0,24.892,132211.301285949,426125.415255293,28.35,51.6,0
