Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2829184,2018-11-27 16:07:04,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.301483216545,μmol/L,21.3408512423184,°C,1007,hPa,Humid,3,0,0,22.954,127142.414110947,257482.276169475,23.1,41.6,0
2829193,2018-11-27 16:07:05,0.0194183916666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.363098393997,μmol/L,21.3408512423184,°C,1007,hPa,Humid,3,0,0,22.951,127105.908746608,257443.981565136,23.1,41.6,0
2829202,2018-11-27 16:07:06,0.036240175,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.404185812445,μmol/L,21.3408512423184,°C,1007,hPa,Humid,3,0,0,22.949,127088.74246507,257424.653819791,23.1,41.6,0
2829212,2018-11-27 16:07:07,0.0531044866666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.339655866268,μmol/L,21.3470120242582,°C,1007,hPa,Humid,3,0,0,22.95,127072.212799901,257406.663006131,23.1,41.6,0
2829223,2018-11-27 16:07:08,0.0699758583333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.275146990089,μmol/L,21.3531728174862,°C,1007,hPa,Humid,3,0,0,22.951,127060.083949817,257397.98375901,23.1,41.6,0
2829229,2018-11-27 16:07:09,0.08604988,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.339655866268,μmol/L,21.3470120242582,°C,1007,hPa,Humid,3,0,0,22.95,127048.192566375,257377.650118115,23.1,41.6,0
2829238,2018-11-27 16:07:10,0.102924411666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.383641039672,μmol/L,21.3408512423184,°C,1007,hPa,Humid,3,0,0,22.95,127047.167485923,257374.393744955,23.1,41.6,0
2829247,2018-11-27 16:07:11,0.119775143333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.383641039672,μmol/L,21.3408512423184,°C,1007,hPa,Humid,3,0,0,22.95,127033.922937214,257369.765917462,23.1,41.6,0
2829258,2018-11-27 16:07:12,0.136632803333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.489289594804,μmol/L,21.3346904716668,°C,1007,hPa,Humid,3,0,0,22.947,127035.319657215,257381.150776429,23.1,41.6,0
2829271,2018-11-27 16:07:13,0.1526392,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.448186207916,μmol/L,21.3346904716668,°C,1007,hPa,Humid,3,0,0,22.949,127027.049745873,257371.829923581,23.1,41.6,0
2829275,2018-11-27 16:07:14,0.16946272,OXY9 (PSt7-10),2018-06-22 13:46:20,default,240.424732712615,μmol/L,21.3408512423184,°C,1007,hPa,Humid,3,0,0,22.948,127026.478016104,257372.567781323,23.1,41.6,0
