Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2820826,2018-11-27 15:47:08,0,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.873813412639,μmol/L,21.2481115764813,°C,1007,hPa,Humid,36,1,0,23.672,128180.763555226,383876.290629221,58.084829600876,24,0
2820833,2018-11-27 15:47:09,0.0219165816666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.873813412639,μmol/L,21.2481115764813,°C,1007,hPa,Humid,36,1,0,23.672,128148.235303997,383827.66409824,58.084829600876,24,0
2820840,2018-11-27 15:47:10,0.0381873416666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.793476742629,μmol/L,21.2542419728629,°C,1007,hPa,Humid,36,1,0,23.675,128102.91623357,383771.824093895,58.084829600876,24,0
2820856,2018-11-27 15:47:11,0.0553840383333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.74619957725,μmol/L,21.2542419728629,°C,1007,hPa,Humid,36,1,0,23.678,128079.346776654,383765.026651584,58.084829600876,24,0
2820862,2018-11-27 15:47:12,0.0722586016666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.793476742629,μmol/L,21.2542419728629,°C,1007,hPa,Humid,36,1,0,23.675,128064.10994221,383735.338286289,58.084829600876,24,0
2820868,2018-11-27 15:47:13,0.088247605,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.794988441315,μmol/L,21.2481115764813,°C,1007,hPa,Humid,36,1,0,23.677,128042.680810107,383708.534826449,58.084829600876,24,0
2820875,2018-11-27 15:47:14,0.105075335,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.730443697133,μmol/L,21.2542419728629,°C,1007,hPa,Humid,36,1,0,23.679,128040.425646273,383706.947443889,58.084829600876,24,0
2820885,2018-11-27 15:47:15,0.121957443333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.826513664748,μmol/L,21.2481115764813,°C,1007,hPa,Humid,36,1,0,23.675,128033.203493869,383688.198429675,58.084829600876,24,0
2820893,2018-11-27 15:47:16,0.138830206666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.763469569302,μmol/L,21.2481115764813,°C,1007,hPa,Humid,36,1,0,23.679,128013.506866799,383684.786836282,58.084829600876,24,0
2820903,2018-11-27 15:47:17,0.155660818333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.779228211491,μmol/L,21.2481115764813,°C,1007,hPa,Humid,36,1,0,23.678,128008.515209181,383688.579849996,58.084829600876,24,0
2820915,2018-11-27 15:47:18,0.171691738333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.812262958247,μmol/L,21.2419811912769,°C,1007,hPa,Humid,36,1,0,23.678,127996.941597763,383682.80904378,58.084829600876,24,0
2820926,2018-11-27 15:47:19,0.188569466666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.731957046956,μmol/L,21.2481115764813,°C,1007,hPa,Humid,36,1,0,23.681,127998.505134104,383678.484240541,58.084829600876,24,0
2820937,2018-11-27 15:47:20,0.205417183333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.698936698099,μmol/L,21.2542419728629,°C,1007,hPa,Humid,36,1,0,23.681,127991.685839468,383672.725104238,58.084829600876,24,0
2820943,2018-11-27 15:47:21,0.22230086,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.716203166361,μmol/L,21.2481115764813,°C,1007,hPa,Humid,36,1,0,23.682,127976.363519821,383670.517583838,58.084829600876,24,0
2820947,2018-11-27 15:47:22,0.238294468333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,186.698936698099,μmol/L,21.2542419728629,°C,1007,hPa,Humid,36,1,0,23.681,127962.678613238,383653.199117408,58.084829600876,24,0
