Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2838369,2018-11-27 16:44:27,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.706787225118,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.691,121186.283689028,426222.798600009,28.35,51.6,0
2838373,2018-11-27 16:44:28,0.0168526566666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.7778268277,μmol/L,21.8062615100648,°C,1006,hPa,Humid,37,0,0,24.688,121152.949750042,426151.40745883,28.35,51.6,0
2838386,2018-11-27 16:44:29,0.0337228083333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.718917657771,μmol/L,21.8185313607028,°C,1006,hPa,Humid,37,0,0,24.688,121134.372271525,426113.700442584,28.35,51.6,0
2838391,2018-11-27 16:44:30,0.0497690516666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.736237094102,μmol/L,21.8062615100648,°C,1006,hPa,Humid,37,0,0,24.691,121124.02856109,426062.095326531,28.35,51.6,0
2838397,2018-11-27 16:44:31,0.0668109333333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.706787225118,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.691,121109.512029403,426040.792543639,28.35,51.6,0
2838413,2018-11-27 16:44:32,0.08377132,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.74836968116,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.688,121110.112104759,426032.648946791,28.35,51.6,0
2838420,2018-11-27 16:44:33,0.0997719016666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.720646698113,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.69,121096.405902233,426006.346679267,28.35,51.6,0
2838432,2018-11-27 16:44:34,0.11660042,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.691199525823,μmol/L,21.8185313607028,°C,1006,hPa,Humid,37,0,0,24.69,121093.588788077,426008.924851722,28.35,51.6,0
2838440,2018-11-27 16:44:35,0.133497876666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.720646698113,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.69,121080.796920379,425984.229801549,28.35,51.6,0
2838450,2018-11-27 16:44:36,0.150392665,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.720646698113,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.69,121082.576297564,425985.596380747,28.35,51.6,0
2838456,2018-11-27 16:44:37,0.166382416666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.691199525823,μmol/L,21.8185313607028,°C,1006,hPa,Humid,37,0,0,24.69,121081.670747186,425982.178184949,28.35,51.6,0
2838465,2018-11-27 16:44:38,0.18324051,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.708517333741,μmol/L,21.8062615100648,°C,1006,hPa,Humid,37,0,0,24.693,121076.936318075,425990.28573118,28.35,51.6,0
2838475,2018-11-27 16:44:39,0.200087686666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.7778268277,μmol/L,21.8062615100648,°C,1006,hPa,Humid,37,0,0,24.688,121072.382700019,425986.894202809,28.35,51.6,0
2838486,2018-11-27 16:44:40,0.216943571666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.69292909757,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.692,121071.921266484,425988.207324902,28.35,51.6,0
2838495,2018-11-27 16:44:41,0.233780243333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.679072315289,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.693,121067.369570139,425974.404342126,28.35,51.6,0
2838496,2018-11-27 16:44:42,0.249766981666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.722376541171,μmol/L,21.8062615100648,°C,1006,hPa,Humid,37,0,0,24.692,121053.708977807,425970.557238661,28.35,51.6,0
2838509,2018-11-27 16:44:43,0.266640228333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.724107189297,μmol/L,21.8001266015381,°C,1006,hPa,Humid,37,0,0,24.694,121065.892175457,425968.763076597,28.35,51.6,0
2838516,2018-11-27 16:44:44,0.283490463333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.706787225118,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.691,121059.784028338,425949.621245794,28.35,51.6,0
2838524,2018-11-27 16:44:45,0.30037405,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.708517333741,μmol/L,21.8062615100648,°C,1006,hPa,Humid,37,0,0,24.693,121009.008271893,425970.536829084,28.35,51.6,0
2838532,2018-11-27 16:44:46,0.316378848333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.665216878095,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.694,121036.125884594,425953.286440917,28.35,51.6,0
2838541,2018-11-27 16:44:47,0.333254235,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.69292909757,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.692,121043.012392004,425972.595982592,28.35,51.6,0
2838551,2018-11-27 16:44:48,0.350085741666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.696390650368,μmol/L,21.8001266015381,°C,1006,hPa,Humid,37,0,0,24.696,121032.762145599,425946.983952669,28.35,51.6,0
2838563,2018-11-27 16:44:49,0.367025695,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.736237094102,μmol/L,21.8062615100648,°C,1006,hPa,Humid,37,0,0,24.691,121043.029115653,425950.035803434,28.35,51.6,0
2838571,2018-11-27 16:44:50,0.383057043333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.65136278581,μmol/L,21.8123964297861,°C,1006,hPa,Humid,37,0,0,24.695,121036.522466212,425956.851036842,28.35,51.6,0
2838583,2018-11-27 16:44:51,0.399882433333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.68080295467,μmol/L,21.8062615100648,°C,1006,hPa,Humid,37,0,0,24.695,121032.905140922,425952.942156605,28.35,51.6,0
2838588,2018-11-27 16:44:52,0.416728728333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.696390650368,μmol/L,21.8001266015381,°C,1006,hPa,Humid,37,0,0,24.696,121030.572519881,425943.453154085,28.35,51.6,0
2838598,2018-11-27 16:44:53,0.433557578333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,166.666947782668,μmol/L,21.8062615100648,°C,1006,hPa,Humid,37,0,0,24.696,121027.718235658,425934.135306334,28.35,51.6,0
