Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3027484,2018-11-29 14:45:08,0,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.631536175014,μmol/L,23.0777388648085,°C,1011,hPa,Humid,36,0,0,24.127,126076.880717687,266604.53470745,25.2,46,FALSE
3027489,2018-11-29 14:45:09,0.0245330833333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.545750776567,μmol/L,23.0777388648085,°C,1011,hPa,Humid,36,0,0,24.133,126044.255490906,266552.769726682,25.2,46,FALSE
3027492,2018-11-29 14:45:10,0.0413413183333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.47094263485,μmol/L,23.090030340833,°C,1011,hPa,Humid,36,0,0,24.134,126028.819389231,266532.590010461,25.2,46,FALSE
3027495,2018-11-29 14:45:11,0.0574970033333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.558366869204,μmol/L,23.0838845972016,°C,1011,hPa,Humid,36,0,0,24.13,126008.61019805,266499.419495103,25.2,46,FALSE
3027498,2018-11-29 14:45:12,0.0742857666666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.572662629853,μmol/L,23.0838845972016,°C,1011,hPa,Humid,36,0,0,24.129,126000.451622246,266491.110184549,25.2,46,FALSE
3027504,2018-11-29 14:45:13,0.0911469016666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.513809631528,μmol/L,23.090030340833,°C,1011,hPa,Humid,36,0,0,24.131,126000.4367023,266483.62657504,25.2,46,FALSE
3027512,2018-11-29 14:45:14,0.10814443,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.572662629853,μmol/L,23.0838845972016,°C,1011,hPa,Humid,36,0,0,24.129,125993.820329925,266477.832124802,25.2,46,FALSE
3027513,2018-11-29 14:45:15,0.124114351666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.544072525102,μmol/L,23.0838845972016,°C,1011,hPa,Humid,36,0,0,24.131,125994.146612045,266471.366027472,25.2,46,FALSE
3027522,2018-11-29 14:45:16,0.140887755,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.574340242462,μmol/L,23.0777388648085,°C,1011,hPa,Humid,36,0,0,24.131,125985.535736626,266469.854639711,25.2,46,FALSE
3027527,2018-11-29 14:45:17,0.158038221666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,170.544072525102,μmol/L,23.0838845972016,°C,1011,hPa,Humid,36,0,0,24.131,125996.871459844,266472.242872651,25.2,46,FALSE
