Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3027559,2018-11-29 14:45:21,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.595199603263,μmol/L,23.238906050758,°C,1011,hPa,Humid,36,0,0,24.862,139755.583322563,257576.280408112,23.1,41.6,FALSE
3027562,2018-11-29 14:45:22,0.0125781583333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.555485826391,μmol/L,23.238906050758,°C,1011,hPa,Humid,36,0,0,24.865,139714.269470221,257516.997344032,23.1,41.6,FALSE
3027575,2018-11-29 14:45:23,0.0296625316666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.553525003695,μmol/L,23.2450703123222,°C,1011,hPa,Humid,36,0,0,24.863,139700.652360993,257512.170270295,23.1,41.6,FALSE
3027583,2018-11-29 14:45:24,0.0464581666666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.63492487782,μmol/L,23.238906050758,°C,1011,hPa,Humid,36,0,0,24.859,139689.721308826,257485.896656108,23.1,41.6,FALSE
3027586,2018-11-29 14:45:25,0.06239164,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.580000013493,μmol/L,23.2450703123222,°C,1011,hPa,Humid,36,0,0,24.861,139676.459111885,257472.406487454,23.1,41.6,FALSE
3027594,2018-11-29 14:45:26,0.0791768916666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.595199603263,μmol/L,23.238906050758,°C,1011,hPa,Humid,36,0,0,24.862,139676.784609622,257474.759940351,23.1,41.6,FALSE
3027606,2018-11-29 14:45:27,0.0959564116666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.63492487782,μmol/L,23.238906050758,°C,1011,hPa,Humid,36,0,0,24.859,139673.440492523,257471.251567602,23.1,41.6,FALSE
3027618,2018-11-29 14:45:28,0.112731166666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.511860835302,μmol/L,23.2512345851928,°C,1011,hPa,Humid,36,0,0,24.864,139666.250295892,257469.280303602,23.1,41.6,FALSE
3027626,2018-11-29 14:45:29,0.129514638333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.580000013493,μmol/L,23.2450703123222,°C,1011,hPa,Humid,36,0,0,24.861,139667.230569748,257467.863936856,23.1,41.6,FALSE
3027636,2018-11-29 14:45:30,0.146317385,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.5383286183,μmol/L,23.2512345851928,°C,1011,hPa,Humid,36,0,0,24.862,139663.655087178,257472.907143947,23.1,41.6,FALSE
3027643,2018-11-29 14:45:31,0.163110988333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.568722474777,μmol/L,23.238906050758,°C,1011,hPa,Humid,36,0,0,24.864,139667.84358797,257465.330922579,23.1,41.6,FALSE
3027649,2018-11-29 14:45:32,0.179116806666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.606480133154,μmol/L,23.2450703123222,°C,1011,hPa,Humid,36,0,0,24.859,139663.032498775,257462.808195733,23.1,41.6,FALSE
3027660,2018-11-29 14:45:33,0.195979701666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.580000013493,μmol/L,23.2450703123222,°C,1011,hPa,Humid,36,0,0,24.861,139662.853967143,257451.193007515,23.1,41.6,FALSE
3027673,2018-11-29 14:45:34,0.212761908333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.608440083702,μmol/L,23.238906050758,°C,1011,hPa,Humid,36,0,0,24.861,139658.36795547,257451.330823344,23.1,41.6,FALSE
3027678,2018-11-29 14:45:35,0.229575416666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.581960400345,μmol/L,23.238906050758,°C,1011,hPa,Humid,36,0,0,24.863,139652.731075017,257459.59135464,23.1,41.6,FALSE
3027688,2018-11-29 14:45:36,0.246354351666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.593239434506,μmol/L,23.2450703123222,°C,1011,hPa,Humid,36,0,0,24.86,139645.808047236,257458.108276129,23.1,41.6,FALSE
3027698,2018-11-29 14:45:37,0.26314888,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.597160019193,μmol/L,23.2327418005011,°C,1011,hPa,Humid,36,0,0,24.864,139641.627947442,257461.547605493,23.1,41.6,FALSE
3027702,2018-11-29 14:45:38,0.279098846666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.580000013493,μmol/L,23.2450703123222,°C,1011,hPa,Humid,36,0,0,24.861,139638.360292458,257447.047699437,23.1,41.6,FALSE
3027714,2018-11-29 14:45:39,0.295913695,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.578039871255,μmol/L,23.2512345851928,°C,1011,hPa,Humid,36,0,0,24.859,139634.581294391,257450.9813514,23.1,41.6,FALSE
3027724,2018-11-29 14:45:40,0.312763463333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,159.593239434506,μmol/L,23.2450703123222,°C,1011,hPa,Humid,36,0,0,24.86,139635.299795841,257457.252768961,23.1,41.6,FALSE
