Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3027475,2018-11-29 14:45:02,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.061751472265,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.369,128752.297043097,192653.961438475,26.25,55.3,FALSE
3027476,2018-11-29 14:45:03,0.0143048083333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.138220474695,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.364,128715.193204093,192603.389659113,26.25,55.3,FALSE
3027477,2018-11-29 14:45:04,0.0311134266666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.107628194817,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.366,128694.400175747,192596.096560844,26.25,55.3,FALSE
3027479,2018-11-29 14:45:05,0.0471393116666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.077042153771,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.368,128682.587319542,192572.061210045,26.25,55.3,FALSE
3027481,2018-11-29 14:45:06,0.0639305616666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.077042153771,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.368,128675.099039821,192566.679627199,26.25,55.3,FALSE
3027482,2018-11-29 14:45:07,0.0807363666666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.077042153771,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.368,128676.347817628,192558.457600388,26.25,55.3,FALSE
3027485,2018-11-29 14:45:08,0.0975194733333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.061751472265,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.369,128677.981521041,192555.142514647,26.25,55.3,FALSE
3027487,2018-11-29 14:45:09,0.114338343333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.123937829375,μmol/L,23.0956002848675,°C,1012,hPa,Humid,36,0,0,23.367,128673.069440945,192557.089478548,26.25,55.3,FALSE
3027491,2018-11-29 14:45:10,0.131146578333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.046462349816,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.37,128671.906600982,192557.855526429,26.25,55.3,FALSE
3027497,2018-11-29 14:45:11,0.147302263333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.061751472265,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.369,128675.206942709,192557.337408388,26.25,55.3,FALSE
3027499,2018-11-29 14:45:12,0.164091026666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.030158320909,μmol/L,23.1077816909265,°C,1012,hPa,Humid,36,0,0,23.369,128657.502975063,192555.338089717,26.25,55.3,FALSE
3027505,2018-11-29 14:45:13,0.180952161666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.092334394549,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.367,128665.389124262,192560.41551422,26.25,55.3,FALSE
3027509,2018-11-29 14:45:14,0.19794969,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.078057806678,μmol/L,23.0956002848675,°C,1012,hPa,Humid,36,0,0,23.37,128661.402834557,192548.845642001,26.25,55.3,FALSE
3027515,2018-11-29 14:45:15,0.213919611666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.078057806678,μmol/L,23.0956002848675,°C,1012,hPa,Humid,36,0,0,23.37,128668.00610997,192557.885367647,26.25,55.3,FALSE
3027520,2018-11-29 14:45:16,0.230693015,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.00162228145,μmol/L,23.0956002848675,°C,1012,hPa,Humid,36,0,0,23.375,128664.746111432,192542.428467722,26.25,55.3,FALSE
3027528,2018-11-29 14:45:17,0.247843481666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.061751472265,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.369,128661.832450116,192549.488215948,26.25,55.3,FALSE
3027531,2018-11-29 14:45:18,0.264645983333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,179.99958695185,μmol/L,23.1077816909265,°C,1012,hPa,Humid,36,0,0,23.371,128668.534559912,192541.598632851,26.25,55.3,FALSE
3027538,2018-11-29 14:45:19,0.280593705,OXY2 (PSt7-10),2018-06-27 09:55:47,default,179.970040115795,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.375,128667.870673185,192550.983859683,26.25,55.3,FALSE
3027545,2018-11-29 14:45:20,0.297378716666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,179.970040115795,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.375,128671.98482105,192550.835330394,26.25,55.3,FALSE
3027552,2018-11-29 14:45:21,0.314189248333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.031174786204,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.371,128664.705899137,192544.433578364,26.25,55.3,FALSE
3027566,2018-11-29 14:45:22,0.330946101666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.031174786204,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.371,128661.423426244,192541.372982999,26.25,55.3,FALSE
3027574,2018-11-29 14:45:23,0.347761761666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.062767584285,μmol/L,23.0956002848675,°C,1012,hPa,Humid,36,0,0,23.371,128665.611524881,192554.227996477,26.25,55.3,FALSE
3027578,2018-11-29 14:45:24,0.364557396666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.000604334627,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.373,128656.552267344,192549.202696258,26.25,55.3,FALSE
3027585,2018-11-29 14:45:25,0.380507433333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.000604334627,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.373,128647.71863494,192540.378005873,26.25,55.3,FALSE
3027595,2018-11-29 14:45:26,0.397332513333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.078057806678,μmol/L,23.0956002848675,°C,1012,hPa,Humid,36,0,0,23.37,128661.837798124,192547.151557449,26.25,55.3,FALSE
3027610,2018-11-29 14:45:27,0.41442474,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.000604334627,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.373,128650.421420187,192545.990776892,26.25,55.3,FALSE
3027616,2018-11-29 14:45:28,0.43123434,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.032191815955,μmol/L,23.0956002848675,°C,1012,hPa,Humid,36,0,0,23.373,128649.55325418,192542.52301513,26.25,55.3,FALSE
3027621,2018-11-29 14:45:29,0.447183998333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,179.970040115795,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.375,128657.409647689,192530.504438077,26.25,55.3,FALSE
3027630,2018-11-29 14:45:30,0.46396019,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.015888781214,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.372,128649.107655172,192548.22402917,26.25,55.3,FALSE
3027639,2018-11-29 14:45:31,0.480736366666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.031174786204,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.371,128649.956342482,192543.706855197,26.25,55.3,FALSE
3027648,2018-11-29 14:45:32,0.497509448333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.093349588179,μmol/L,23.0956002848675,°C,1012,hPa,Humid,36,0,0,23.369,128644.647131686,192533.538257384,26.25,55.3,FALSE
3027659,2018-11-29 14:45:33,0.514318545,OXY2 (PSt7-10),2018-06-27 09:55:47,default,179.969021816195,μmol/L,23.1077816909265,°C,1012,hPa,Humid,36,0,0,23.373,128646.599414134,192539.26270406,26.25,55.3,FALSE
3027672,2018-11-29 14:45:34,0.531120078333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,180.000604334627,μmol/L,23.1016909823779,°C,1012,hPa,Humid,36,0,0,23.373,128645.725154479,192541.914482881,26.25,55.3,FALSE
