Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3036142,2018-11-29 15:41:21,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,152.107798473806,μmol/L,23.309651606663,°C,1012,hPa,Humid,36,0,0,25.357,134214.61772309,416065.400823044,28.35,51.6,FALSE
3036146,2018-11-29 15:41:22,0.01172621,OXY5 (PSt7-10),2018-06-27 09:56:23,default,152.107798473806,μmol/L,23.309651606663,°C,1012,hPa,Humid,36,0,0,25.357,134156.691216079,415972.542845844,28.35,51.6,FALSE
3036149,2018-11-29 15:41:23,0.0279804516666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,152.107798473806,μmol/L,23.309651606663,°C,1012,hPa,Humid,36,0,0,25.357,134140.669336823,415940.363385781,28.35,51.6,FALSE
3036153,2018-11-29 15:41:24,0.04482881,OXY5 (PSt7-10),2018-06-27 09:56:23,default,152.134767481999,μmol/L,23.3035139535618,°C,1012,hPa,Humid,36,0,0,25.357,134126.605840683,415894.488177581,28.35,51.6,FALSE
3036158,2018-11-29 15:41:25,0.061208005,OXY5 (PSt7-10),2018-06-27 09:56:23,default,152.107798473806,μmol/L,23.309651606663,°C,1012,hPa,Humid,36,0,0,25.357,134103.972011612,415883.395390888,28.35,51.6,FALSE
3036164,2018-11-29 15:41:26,0.0781970383333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,152.070183680721,μmol/L,23.309651606663,°C,1012,hPa,Humid,36,0,0,25.36,134099.830162378,415885.780054657,28.35,51.6,FALSE
3036169,2018-11-29 15:41:27,0.0950028633333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,152.097146084695,μmol/L,23.3035139535618,°C,1012,hPa,Humid,36,0,0,25.36,134089.733759576,415873.991225556,28.35,51.6,FALSE
3036175,2018-11-29 15:41:28,0.111779035,OXY5 (PSt7-10),2018-06-27 09:56:23,default,152.084607995871,μmol/L,23.3035139535618,°C,1012,hPa,Humid,36,0,0,25.361,134080.44354706,415872.848887151,28.35,51.6,FALSE
3036179,2018-11-29 15:41:29,0.127847491666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,152.04511309306,μmol/L,23.309651606663,°C,1012,hPa,Humid,36,0,0,25.362,134065.123134115,415853.915554163,28.35,51.6,FALSE
3036185,2018-11-29 15:41:30,0.144672566666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,151.993097849821,μmol/L,23.3157892709755,°C,1012,hPa,Humid,36,0,0,25.364,134068.18122066,415851.322323607,28.35,51.6,FALSE
