Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3036170,2018-11-29 15:41:28,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.865743143105,μmol/L,23.5655176191358,°C,1012,hPa,Humid,36,0,0,23.524,118029.403011673,254212.228299087,26.25,50.3,FALSE
3036180,2018-11-29 15:41:29,0.0235867066666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.820840085695,μmol/L,23.5655176191358,°C,1012,hPa,Humid,36,0,0,23.527,118009.224455004,254180.571818008,26.25,50.3,FALSE
3036187,2018-11-29 15:41:30,0.04043796,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.822239009772,μmol/L,23.5593863636032,°C,1012,hPa,Humid,36,0,0,23.529,117998.174278936,254143.372709235,26.25,50.3,FALSE
3036193,2018-11-29 15:41:31,0.0572101483333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.744631347515,μmol/L,23.5716488858566,°C,1012,hPa,Humid,36,0,0,23.53,117989.056686022,254140.862494194,26.25,50.3,FALSE
3036199,2018-11-29 15:41:32,0.0740000516666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.805875433271,μmol/L,23.5655176191358,°C,1012,hPa,Humid,36,0,0,23.528,117975.546161863,254121.679335551,26.25,50.3,FALSE
3036206,2018-11-29 15:41:33,0.0904592433333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.835806254668,μmol/L,23.5655176191358,°C,1012,hPa,Humid,36,0,0,23.526,117957.317993088,254104.619451858,26.25,50.3,FALSE
3036214,2018-11-29 15:41:34,0.107234306666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.837204773414,μmol/L,23.5593863636032,°C,1012,hPa,Humid,36,0,0,23.528,117949.691773753,254096.405099094,26.25,50.3,FALSE
3036224,2018-11-29 15:41:35,0.124062553333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.746031984866,μmol/L,23.5655176191358,°C,1012,hPa,Humid,36,0,0,23.532,117945.737112544,254092.212769354,26.25,50.3,FALSE
3036232,2018-11-29 15:41:36,0.140874651666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.701165312036,μmol/L,23.5655176191358,°C,1012,hPa,Humid,36,0,0,23.535,117933.979011668,254089.284812839,26.25,50.3,FALSE
3036239,2018-11-29 15:41:37,0.15691909,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.716119354497,μmol/L,23.5655176191358,°C,1012,hPa,Humid,36,0,0,23.534,117924.112359491,254092.900259328,26.25,50.3,FALSE
3036249,2018-11-29 15:41:38,0.173711351666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.762391117043,μmol/L,23.5593863636032,°C,1012,hPa,Humid,36,0,0,23.533,117905.468010267,254091.225594656,26.25,50.3,FALSE
3036256,2018-11-29 15:41:39,0.190591698333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.746031984866,μmol/L,23.5655176191358,°C,1012,hPa,Humid,36,0,0,23.532,117905.249900693,254074.519692012,26.25,50.3,FALSE
3036267,2018-11-29 15:41:40,0.207408441666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.702567473174,μmol/L,23.5593863636032,°C,1012,hPa,Humid,36,0,0,23.537,117889.940416798,254084.620428092,26.25,50.3,FALSE
3036273,2018-11-29 15:41:41,0.223453413333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.746031984866,μmol/L,23.5655176191358,°C,1012,hPa,Humid,36,0,0,23.532,117902.49842664,254082.268676459,26.25,50.3,FALSE
3036284,2018-11-29 15:41:42,0.240234821666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.717521111545,μmol/L,23.5593863636032,°C,1012,hPa,Humid,36,0,0,23.536,117907.476846923,254067.580756703,26.25,50.3,FALSE
