Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3036121,2018-11-29 15:41:15,0,OXY3 (PSt7-10),2018-06-27 09:55:59,default,173.138262011641,μmol/L,23.5239754894887,°C,1012,hPa,Humid,36,0,0,23.709,135663.141835073,277576.775547863,31.5,36,FALSE
3036124,2018-11-29 15:41:16,0.017639165,OXY3 (PSt7-10),2018-06-27 09:55:59,default,173.05058667037,μmol/L,23.5239754894887,°C,1012,hPa,Humid,36,0,0,23.715,135621.323116409,277503.972233399,31.5,36,FALSE
3036127,2018-11-29 15:41:17,0.034411845,OXY3 (PSt7-10),2018-06-27 09:55:59,default,173.006768852132,μmol/L,23.5239754894887,°C,1012,hPa,Humid,36,0,0,23.718,135574.463910904,277457.176855103,31.5,36,FALSE
3036130,2018-11-29 15:41:18,0.051231835,OXY3 (PSt7-10),2018-06-27 09:55:59,default,173.05058667037,μmol/L,23.5239754894887,°C,1012,hPa,Humid,36,0,0,23.715,135543.638137239,277434.440559943,31.5,36,FALSE
3036134,2018-11-29 15:41:19,0.0680251416666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,173.01983030166,μmol/L,23.5301342323974,°C,1012,hPa,Humid,36,0,0,23.715,135502.72511093,277412.917077775,31.5,36,FALSE
3036136,2018-11-29 15:41:20,0.0847951266666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,173.034436608613,μmol/L,23.5301342323974,°C,1012,hPa,Humid,36,0,0,23.714,135479.690087754,277393.36217115,31.5,36,FALSE
3036139,2018-11-29 15:41:21,0.100729091666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,173.035979260882,μmol/L,23.5239754894887,°C,1012,hPa,Humid,36,0,0,23.716,135461.446258517,277379.148050039,31.5,36,FALSE
3036143,2018-11-29 15:41:22,0.11761524,OXY3 (PSt7-10),2018-06-27 09:55:59,default,172.976020200512,μmol/L,23.5301342323974,°C,1012,hPa,Humid,36,0,0,23.718,135449.528450034,277365.009166608,31.5,36,FALSE
3036147,2018-11-29 15:41:23,0.134392903333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,173.008312526662,μmol/L,23.5178167578679,°C,1012,hPa,Humid,36,0,0,23.72,135477.842435913,277353.275939753,31.5,36,FALSE
3036152,2018-11-29 15:41:24,0.151183201666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,173.006768852132,μmol/L,23.5239754894887,°C,1012,hPa,Humid,36,0,0,23.718,135473.985722539,277357.304795356,31.5,36,FALSE
3036157,2018-11-29 15:41:25,0.167545808333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,172.962964261532,μmol/L,23.5239754894887,°C,1012,hPa,Humid,36,0,0,23.721,135529.770834404,277331.678521036,31.5,36,FALSE
3036161,2018-11-29 15:41:26,0.184534841666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,172.977564322332,μmol/L,23.5239754894887,°C,1012,hPa,Humid,36,0,0,23.72,135536.299253638,277325.608971855,31.5,36,FALSE
3036167,2018-11-29 15:41:27,0.201340666666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,172.979108731005,μmol/L,23.5178167578679,°C,1012,hPa,Humid,36,0,0,23.722,135532.432937608,277323.546720335,31.5,36,FALSE
