Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3052589,2018-11-29 16:41:05,0,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.127384597832,μmol/L,23.751856495277,°C,1012,hPa,Humid,36,0,0,23.909,133911.634431763,277361.241241433,31.5,36,FALSE
3052593,2018-11-29 16:41:06,0.0184189516666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.200197120352,μmol/L,23.745697345968,°C,1012,hPa,Humid,36,0,0,23.906,133866.295926865,277302.990805699,31.5,36,FALSE
3052603,2018-11-29 16:41:07,0.0355399116666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.171719296638,μmol/L,23.745697345968,°C,1012,hPa,Humid,36,0,0,23.908,133848.042516403,277264.279063031,31.5,36,FALSE
3052611,2018-11-29 16:41:08,0.0518728033333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.113151752689,μmol/L,23.751856495277,°C,1012,hPa,Humid,36,0,0,23.91,133841.027229415,277219.744151212,31.5,36,FALSE
3052621,2018-11-29 16:41:09,0.06874062,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.185957496969,μmol/L,23.745697345968,°C,1012,hPa,Humid,36,0,0,23.907,133834.936011696,277211.708610853,31.5,36,FALSE
3052631,2018-11-29 16:41:10,0.0856543816666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.129013232004,μmol/L,23.745697345968,°C,1012,hPa,Humid,36,0,0,23.911,133822.382002094,277211.171372819,31.5,36,FALSE
3052633,2018-11-29 16:41:11,0.101533558333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.171719296638,μmol/L,23.745697345968,°C,1012,hPa,Humid,36,0,0,23.908,133804.155128847,277187.450016988,31.5,36,FALSE
3052645,2018-11-29 16:41:12,0.118316451666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.173347075268,μmol/L,23.739538207949,°C,1012,hPa,Humid,36,0,0,23.91,133806.587327477,277175.592107837,31.5,36,FALSE
3052651,2018-11-29 16:41:13,0.135121885,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.127384597832,μmol/L,23.751856495277,°C,1012,hPa,Humid,36,0,0,23.909,133803.47407542,277154.761114094,31.5,36,FALSE
3052662,2018-11-29 16:41:14,0.151937533333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.129013232004,μmol/L,23.745697345968,°C,1012,hPa,Humid,36,0,0,23.911,133808.956615115,277150.885006292,31.5,36,FALSE
3052669,2018-11-29 16:41:15,0.168742218333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.114780721931,μmol/L,23.745697345968,°C,1012,hPa,Humid,36,0,0,23.912,133809.703625015,277148.514234,31.5,36,FALSE
3052681,2018-11-29 16:41:16,0.185565971666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.129013232004,μmol/L,23.745697345968,°C,1012,hPa,Humid,36,0,0,23.911,133793.353498459,277140.647353593,31.5,36,FALSE
3052686,2018-11-29 16:41:17,0.201614223333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.129013232004,μmol/L,23.745697345968,°C,1012,hPa,Humid,36,0,0,23.911,133795.43385626,277123.996906119,31.5,36,FALSE
3052701,2018-11-29 16:41:18,0.218549463333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,169.127384597832,μmol/L,23.751856495277,°C,1012,hPa,Humid,36,0,0,23.909,133805.321624805,277135.310887429,31.5,36,FALSE
