Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3052605,2018-11-29 16:41:08,0,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.868257518914,μmol/L,23.6478899536337,°C,1012,hPa,Humid,36,0,0,25.028,135522.639216408,363048.043823979,24.15,57.3,FALSE
3052614,2018-11-29 16:41:09,0.0185249966666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.842469989259,μmol/L,23.6478899536337,°C,1012,hPa,Humid,36,0,0,25.03,135488.307782239,362974.045927289,24.15,57.3,FALSE
3052625,2018-11-29 16:41:10,0.0353027283333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.827771320306,μmol/L,23.6540078316534,°C,1012,hPa,Humid,36,0,0,25.029,135468.651444273,362935.192523477,24.15,57.3,FALSE
3052639,2018-11-29 16:41:11,0.051616495,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.763329248771,μmol/L,23.6540078316534,°C,1012,hPa,Humid,36,0,0,25.034,135450.698074972,362896.67094396,24.15,57.3,FALSE
3052647,2018-11-29 16:41:12,0.0683993883333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.790909763271,μmol/L,23.6478899536337,°C,1012,hPa,Humid,36,0,0,25.034,135456.503560075,362871.955161769,24.15,57.3,FALSE
3052655,2018-11-29 16:41:13,0.0852048216666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.831384889545,μmol/L,23.6417720867535,°C,1012,hPa,Humid,36,0,0,25.033,135430.470505724,362871.452310805,24.15,57.3,FALSE
3052665,2018-11-29 16:41:14,0.10202047,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.763329248771,μmol/L,23.6540078316534,°C,1012,hPa,Humid,36,0,0,25.034,135437.257445568,362854.374361803,24.15,57.3,FALSE
3052676,2018-11-29 16:41:15,0.118807988333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.726487279806,μmol/L,23.6478899536337,°C,1012,hPa,Humid,36,0,0,25.039,135433.512045785,362862.340423814,24.15,57.3,FALSE
3052684,2018-11-29 16:41:16,0.135624038333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.711797828829,μmol/L,23.6540078316534,°C,1012,hPa,Humid,36,0,0,25.038,135425.323972906,362828.833708132,24.15,57.3,FALSE
3052693,2018-11-29 16:41:17,0.15169716,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.686039527701,μmol/L,23.6540078316534,°C,1012,hPa,Humid,36,0,0,25.04,135424.098510817,362838.88669784,24.15,57.3,FALSE
3052698,2018-11-29 16:41:18,0.1686324,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.713606488019,μmol/L,23.6478899536337,°C,1012,hPa,Humid,36,0,0,25.04,135421.002768544,362835.484374865,24.15,57.3,FALSE
3052710,2018-11-29 16:41:19,0.185475385,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,155.70072693082,μmol/L,23.6478899536337,°C,1012,hPa,Humid,36,0,0,25.041,135430.326503962,362828.00603393,24.15,57.3,FALSE
