Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3052604,2018-11-29 16:41:07,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.799249161606,μmol/L,23.9478702639199,°C,1012,hPa,Humid,36,0,0,23.464,132308.085258409,258361.638151001,23.1,41.6,FALSE
3052613,2018-11-29 16:41:08,0.00928463666666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.69181122764,μmol/L,23.9602013998069,°C,1012,hPa,Humid,36,0,0,23.467,132269.227428275,258299.344220889,23.1,41.6,FALSE
3052616,2018-11-29 16:41:09,0.026149345,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.754556434428,μmol/L,23.9478702639199,°C,1012,hPa,Humid,36,0,0,23.467,132266.638822816,258292.492365173,23.1,41.6,FALSE
3052624,2018-11-29 16:41:10,0.0421019866666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.754556434428,μmol/L,23.9478702639199,°C,1012,hPa,Humid,36,0,0,23.467,132242.673455786,258269.182408954,23.1,41.6,FALSE
3052637,2018-11-29 16:41:11,0.058809395,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.817320106447,μmol/L,23.9355391732884,°C,1012,hPa,Humid,36,0,0,23.467,132236.905777652,258244.566578096,23.1,41.6,FALSE
3052648,2018-11-29 16:41:12,0.075583905,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.785935960514,μmol/L,23.9417047129464,°C,1012,hPa,Humid,36,0,0,23.467,132227.99578857,258238.828804789,23.1,41.6,FALSE
3052652,2018-11-29 16:41:13,0.0923893383333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.769452496804,μmol/L,23.9478702639199,°C,1012,hPa,Humid,36,0,0,23.466,132223.646254219,258238.389604814,23.1,41.6,FALSE
3052664,2018-11-29 16:41:14,0.109204986666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.771038775847,μmol/L,23.9417047129464,°C,1012,hPa,Humid,36,0,0,23.468,132223.322760991,258232.504390864,23.1,41.6,FALSE
3052673,2018-11-29 16:41:15,0.126009671666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.696575545209,μmol/L,23.9417047129464,°C,1012,hPa,Humid,36,0,0,23.473,132207.028254334,258217.889619964,23.1,41.6,FALSE
3052679,2018-11-29 16:41:16,0.142808555,OXY9 (PSt7-10),2018-06-22 13:46:20,default,175.709877324883,μmol/L,23.9478702639199,°C,1012,hPa,Humid,36,0,0,23.47,132208.76844391,258211.686398954,23.1,41.6,FALSE
