Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3060809,2018-11-29 16:57:37,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.140628667252,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.893,140137.839118372,414900.397402137,28.35,51.6,FALSE
3060819,2018-11-29 16:57:38,0.0205267233333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.093072804343,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.897,140115.091447099,414823.158656985,28.35,51.6,FALSE
3060823,2018-11-29 16:57:39,0.0374194733333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.128738043299,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.894,140086.692019985,414757.484544063,28.35,51.6,FALSE
3060837,2018-11-29 16:57:40,0.0537238633333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.140628667252,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.893,140077.789329118,414736.686706154,28.35,51.6,FALSE
3060842,2018-11-29 16:57:41,0.0705902466666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.128738043299,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.894,140072.845203601,414732.36253922,28.35,51.6,FALSE
3060848,2018-11-29 16:57:42,0.0874387933333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.116848524925,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.895,140075.803906862,414717.792189475,28.35,51.6,FALSE
3060863,2018-11-29 16:57:43,0.103871201666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.128738043299,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.894,140071.625302629,414705.160370438,28.35,51.6,FALSE
3060868,2018-11-29 16:57:44,0.120746263333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.104960111987,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.896,140069.266091395,414696.072252362,28.35,51.6,FALSE
3060882,2018-11-29 16:57:45,0.137527436666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.118818586554,μmol/L,23.4017177484125,°C,1012,hPa,Humid,36,0,0,25.897,140058.4648035,414698.95104475,28.35,51.6,FALSE
3060885,2018-11-29 16:57:46,0.15443996,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.08118660185,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.898,140061.540919165,414697.22611317,28.35,51.6,FALSE
3060901,2018-11-29 16:57:47,0.170399416666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.116848524925,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.895,140062.496596285,414694.981397611,28.35,51.6,FALSE
3060910,2018-11-29 16:57:48,0.187188205,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.08118660185,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.898,140059.780767299,414692.454123918,28.35,51.6,FALSE
3060919,2018-11-29 16:57:49,0.204018761666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.095043110798,μmol/L,23.4017177484125,°C,1012,hPa,Humid,36,0,0,25.899,140062.535256412,414677.993340611,28.35,51.6,FALSE
3060928,2018-11-29 16:57:50,0.220983528333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.095043110798,μmol/L,23.4017177484125,°C,1012,hPa,Humid,36,0,0,25.899,140062.040162212,414677.761254347,28.35,51.6,FALSE
3060930,2018-11-29 16:57:51,0.237777451666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.057417511752,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.9,140058.985437671,414680.23238799,28.35,51.6,FALSE
3060942,2018-11-29 16:57:52,0.253737028333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.095043110798,μmol/L,23.4017177484125,°C,1012,hPa,Humid,36,0,0,25.899,140058.183112736,414675.543877332,28.35,51.6,FALSE
3060949,2018-11-29 16:57:53,0.270492981666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.093072804343,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.897,140058.212746826,414676.558518055,28.35,51.6,FALSE
3060961,2018-11-29 16:57:54,0.287345058333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.08118660185,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.898,140058.469867768,414665.444704362,28.35,51.6,FALSE
3060969,2018-11-29 16:57:55,0.304168786666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.095043110798,μmol/L,23.4017177484125,°C,1012,hPa,Humid,36,0,0,25.899,140054.037236454,414672.56662148,28.35,51.6,FALSE
3060981,2018-11-29 16:57:56,0.320989985,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.08118660185,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.898,140063.911847229,414669.86597692,28.35,51.6,FALSE
3060985,2018-11-29 16:57:57,0.33697085,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.093072804343,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.897,140063.226804629,414663.05036019,28.35,51.6,FALSE
3061000,2018-11-29 16:57:58,0.353768128333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.069301504367,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.899,140059.947984764,414670.655185569,28.35,51.6,FALSE
3061004,2018-11-29 16:57:59,0.370549203333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.069301504367,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.899,140066.772036486,414658.435084701,28.35,51.6,FALSE
3061016,2018-11-29 16:58:00,0.387501988333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.106930296074,μmol/L,23.4017177484125,°C,1012,hPa,Humid,36,0,0,25.898,140062.39144492,414664.951964329,28.35,51.6,FALSE
3061022,2018-11-29 16:58:01,0.404297335,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.095043110798,μmol/L,23.4017177484125,°C,1012,hPa,Humid,36,0,0,25.899,140065.569584458,414665.221437114,28.35,51.6,FALSE
3061029,2018-11-29 16:58:02,0.42031738,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.02177216169,μmol/L,23.4078555808796,°C,1012,hPa,Humid,36,0,0,25.903,140055.919741328,414643.857635736,28.35,51.6,FALSE
3061042,2018-11-29 16:58:03,0.437109611666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.043563868076,μmol/L,23.4139934245577,°C,1012,hPa,Humid,36,0,0,25.899,140052.032633847,414638.403650022,28.35,51.6,FALSE
3061052,2018-11-29 16:58:04,0.453904788333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,145.095043110798,μmol/L,23.4017177484125,°C,1012,hPa,Humid,36,0,0,25.899,140055.616002293,414635.101611719,28.35,51.6,FALSE
