Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3052597,2018-11-29 16:41:07,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.559698355619,μmol/L,23.7923819391067,°C,1012,hPa,Humid,36,0,0,23.467,116047.922497211,254216.660000893,26.25,50.3,FALSE
3052609,2018-11-29 16:41:08,0.0239084383333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.49847722882,μmol/L,23.798513619804,°C,1012,hPa,Humid,36,0,0,23.469,116046.407276733,254186.841963385,26.25,50.3,FALSE
3052622,2018-11-29 16:41:09,0.0407597233333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.543344769435,μmol/L,23.798513619804,°C,1012,hPa,Humid,36,0,0,23.466,116030.094816241,254150.296214933,26.25,50.3,FALSE
3052630,2018-11-29 16:41:10,0.057673485,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.499873566984,μmol/L,23.7923819391067,°C,1012,hPa,Humid,36,0,0,23.471,116020.729476399,254121.988248156,26.25,50.3,FALSE
3052634,2018-11-29 16:41:11,0.0735526616666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.456418694326,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.476,115990.127933611,254088.891859454,26.25,50.3,FALSE
3052646,2018-11-29 16:41:12,0.090335555,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.469970284624,μmol/L,23.7923819391067,°C,1012,hPa,Humid,36,0,0,23.473,115977.805174725,254098.261955853,26.25,50.3,FALSE
3052653,2018-11-29 16:41:13,0.107140988333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.455020920694,μmol/L,23.7923819391067,°C,1012,hPa,Humid,36,0,0,23.474,115943.310186331,254085.769497346,26.25,50.3,FALSE
3052666,2018-11-29 16:41:14,0.123956636666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.471367649828,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.475,115962.645363645,254093.060275005,26.25,50.3,FALSE
3052675,2018-11-29 16:41:15,0.140761321666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.425126746284,μmol/L,23.7923819391067,°C,1012,hPa,Humid,36,0,0,23.476,115948.985451796,254091.224527704,26.25,50.3,FALSE
3052682,2018-11-29 16:41:16,0.157560205,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.441471256554,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.477,115923.076402481,254084.93130546,26.25,50.3,FALSE
3052691,2018-11-29 16:41:17,0.173663136666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.426525336301,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.478,115930.023112936,254080.745212679,26.25,50.3,FALSE
3052702,2018-11-29 16:41:18,0.190568566666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.350417862204,μmol/L,23.7923819391067,°C,1012,hPa,Humid,36,0,0,23.481,115899.22433566,254075.685836127,26.25,50.3,FALSE
3052704,2018-11-29 16:41:19,0.207411551666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.396638047512,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.48,115881.289084021,254071.472008398,26.25,50.3,FALSE
3052716,2018-11-29 16:41:20,0.224245083333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.366756826273,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.482,115861.785393532,254082.252472097,26.25,50.3,FALSE
3052727,2018-11-29 16:41:21,0.240227956666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.426525336301,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.478,115874.279495338,254057.784768171,26.25,50.3,FALSE
3052732,2018-11-29 16:41:22,0.25709904,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.411580933358,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.479,115851.838999762,254062.304519202,26.25,50.3,FALSE
3052740,2018-11-29 16:41:23,0.27397106,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.412980142742,μmol/L,23.7801186112829,°C,1012,hPa,Humid,36,0,0,23.481,115862.437582618,254068.690281874,26.25,50.3,FALSE
3052752,2018-11-29 16:41:24,0.290803956666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.338282916906,μmol/L,23.7801186112829,°C,1012,hPa,Humid,36,0,0,23.486,115852.930645486,254061.893887739,26.25,50.3,FALSE
3052758,2018-11-29 16:41:25,0.3076582,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.381696678554,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.481,115847.113943331,254044.64595161,26.25,50.3,FALSE
3052774,2018-11-29 16:41:26,0.323665295,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.259414378615,μmol/L,23.798513619804,°C,1012,hPa,Humid,36,0,0,23.485,115825.525255459,254052.735943477,26.25,50.3,FALSE
3052777,2018-11-29 16:41:27,0.340466701666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.427924137894,μmol/L,23.7801186112829,°C,1012,hPa,Humid,36,0,0,23.48,115810.027395348,254037.378366364,26.25,50.3,FALSE
3052785,2018-11-29 16:41:28,0.357288321666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.277149551016,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.488,115789.74936098,254045.919934841,26.25,50.3,FALSE
3052794,2018-11-29 16:41:29,0.374090658333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.277149551016,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.488,115783.516720901,254048.392114082,26.25,50.3,FALSE
3052804,2018-11-29 16:41:30,0.390895048333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.307012579709,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.486,115771.351474292,254043.293425713,26.25,50.3,FALSE
3052816,2018-11-29 16:41:31,0.40687784,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.3368816709,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.484,115770.628976259,254040.130686797,26.25,50.3,FALSE
3052821,2018-11-29 16:41:32,0.423687603333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.20251849167,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.493,115764.25562046,254046.370617411,26.25,50.3,FALSE
3052833,2018-11-29 16:41:33,0.440684263333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.307012579709,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.486,115748.337626134,254049.256902559,26.25,50.3,FALSE
3052843,2018-11-29 16:41:34,0.457447761666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.20251849167,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.493,115736.585733572,254034.123697777,26.25,50.3,FALSE
3052853,2018-11-29 16:41:35,0.473520661666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.217441674394,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.492,115708.764938373,254033.613750681,26.25,50.3,FALSE
3052861,2018-11-29 16:41:36,0.490379373333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.20251849167,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.493,115701.897286734,254034.267756144,26.25,50.3,FALSE
3052872,2018-11-29 16:41:37,0.507184631666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.23236637148,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.491,115708.205419452,254033.079860511,26.25,50.3,FALSE
3052882,2018-11-29 16:41:38,0.524004066666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.263623588317,μmol/L,23.7801186112829,°C,1012,hPa,Humid,36,0,0,23.491,115695.067106832,254039.124524334,26.25,50.3,FALSE
3052884,2018-11-29 16:41:39,0.540814793333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.1875968231,μmol/L,23.7862502695998,°C,1012,hPa,Humid,36,0,0,23.494,115678.294909412,254033.579146255,26.25,50.3,FALSE
3052895,2018-11-29 16:41:40,0.557590688333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,176.248696267955,μmol/L,23.7801186112829,°C,1012,hPa,Humid,36,0,0,23.492,115676.410449812,254028.029562121,26.25,50.3,FALSE
