Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2959536,2018-11-29 08:50:47,0,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.192717539895,μmol/L,26.3285874010926,°C,1011,hPa,Humid,7,0,0,23.972,130665.78616816,370452.548021362,24.15,57.3,FALSE
2959548,2018-11-29 08:50:48,0.0176795666666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.114881159861,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.979,130618.721508414,370362.920358172,24.15,57.3,FALSE
2959551,2018-11-29 08:50:49,0.0338122583333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.114060392186,μmol/L,26.3285874010926,°C,1011,hPa,Humid,7,0,0,23.977,130594.965261115,370324.807461138,24.15,57.3,FALSE
2959565,2018-11-29 08:50:50,0.0506010033333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.146338416979,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.977,130572.679133931,370286.921459035,24.15,57.3,FALSE
2959575,2018-11-29 08:50:51,0.0674818966666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.051162892736,μmol/L,26.3285874010926,°C,1011,hPa,Humid,7,0,0,23.981,130558.082954605,370263.405979643,24.15,57.3,FALSE
2959585,2018-11-29 08:50:52,0.0842819633333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.130609004576,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.978,130533.723443931,370249.276658839,24.15,57.3,FALSE
2959592,2018-11-29 08:50:53,0.10111922,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.147160892359,μmol/L,26.316341909197,°C,1011,hPa,Humid,7,0,0,23.979,130527.805156856,370212.808844694,24.15,57.3,FALSE
2959598,2018-11-29 08:50:54,0.117139606666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.099154882619,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.98,130508.360632005,370209.887062107,24.15,57.3,FALSE
2959611,2018-11-29 08:50:55,0.13401629,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.114881159861,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.979,130508.891815957,370200.435130565,24.15,57.3,FALSE
2959620,2018-11-29 08:50:56,0.150813273333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.036265444104,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.984,130497.789762676,370209.250322846,24.15,57.3,FALSE
2959629,2018-11-29 08:50:57,0.167673041666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.067707029699,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.982,130491.57150926,370200.210428138,24.15,57.3,FALSE
2959639,2018-11-29 08:50:58,0.184481118333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.051985453593,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.983,130481.555104794,370183.197798664,24.15,57.3,FALSE
2959648,2018-11-29 08:50:59,0.200486565,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.020547001019,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.985,130465.928210015,370186.968158333,24.15,57.3,FALSE
2959656,2018-11-29 08:51:00,0.217316943333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.036265444104,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.984,130451.940436339,370177.90492465,24.15,57.3,FALSE
2959665,2018-11-29 08:51:01,0.234138116666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,187.067707029699,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.982,130443.858024996,370154.390901414,24.15,57.3,FALSE
2959674,2018-11-29 08:51:02,0.251015951666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.973401068043,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.988,130437.237108252,370169.512993662,24.15,57.3,FALSE
2959684,2018-11-29 08:51:03,0.267822726666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.973401068043,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.988,130432.746661702,370151.374051218,24.15,57.3,FALSE
2959693,2018-11-29 08:51:04,0.283858933333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.957688888432,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.989,130418.58647471,370146.903313436,24.15,57.3,FALSE
2959701,2018-11-29 08:51:05,0.300689891666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.878323987322,μmol/L,26.3285874010926,°C,1011,hPa,Humid,7,0,0,23.992,130413.326614007,370149.217392929,24.15,57.3,FALSE
2959711,2018-11-29 08:51:06,0.317555015,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.988290461746,μmol/L,26.3285874010926,°C,1011,hPa,Humid,7,0,0,23.985,130404.158645788,370148.83314351,24.15,57.3,FALSE
2959720,2018-11-29 08:51:07,0.334443813333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.957688888432,μmol/L,26.3224646495623,°C,1011,hPa,Humid,7,0,0,23.989,130389.362996774,370145.05569221,24.15,57.3,FALSE
2959721,2018-11-29 08:51:08,0.350401966666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.893204354472,μmol/L,26.3347101637887,°C,1011,hPa,Humid,7,0,0,23.989,130378.721957713,370115.897285093,24.15,57.3,FALSE
2959730,2018-11-29 08:51:09,0.367272565,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.972576269341,μmol/L,26.3285874010926,°C,1011,hPa,Humid,7,0,0,23.986,130386.982964699,370118.179278569,24.15,57.3,FALSE
2959740,2018-11-29 08:51:10,0.384096395,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.925443085526,μmol/L,26.3285874010926,°C,1011,hPa,Humid,7,0,0,23.989,130378.26438487,370111.660646534,24.15,57.3,FALSE
2959756,2018-11-29 08:51:11,0.401023548333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,186.909735154675,μmol/L,26.3285874010926,°C,1011,hPa,Humid,7,0,0,23.99,130366.572716718,370116.426644802,24.15,57.3,FALSE
