Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2968594,2018-11-29 09:12:32,0,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.442545800856,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.669,141034.925110583,381355.754198179,28,24,FALSE
2968597,2018-11-29 09:12:33,0.0126422733333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.483477181078,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.666,141002.258892877,381294.201674397,28,24,FALSE
2968600,2018-11-29 09:12:34,0.02868128,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.45618821844,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.668,140985.568445437,381280.62652486,28,24,FALSE
2968605,2018-11-29 09:12:35,0.04548869,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.526375603253,μmol/L,26.2972139751955,°C,1012,hPa,Humid,36,0,0,23.665,140969.224450571,381271.4298453,28,24,FALSE
2968611,2018-11-29 09:12:36,0.0623191766666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.483477181078,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.666,140953.714368704,381247.735593398,28,24,FALSE
2968618,2018-11-29 09:12:37,0.079187,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.442545800856,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.669,140953.135150305,381228.393712503,28,24,FALSE
2968622,2018-11-29 09:12:38,0.09517672,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.499078990412,μmol/L,26.2972139751955,°C,1012,hPa,Humid,36,0,0,23.667,140931.835195382,381212.193075306,28,24,FALSE
2968628,2018-11-29 09:12:39,0.112052585,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.483477181078,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.666,140934.866308993,381217.000859806,28,24,FALSE
2968636,2018-11-29 09:12:40,0.128898143333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.45618821844,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.668,140929.282813565,381207.335837354,28,24,FALSE
2968644,2018-11-29 09:12:41,0.145740033333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.426946943032,μmol/L,26.3094932172739,°C,1012,hPa,Humid,36,0,0,23.668,140922.262214061,381230.167925465,28,24,FALSE
2968651,2018-11-29 09:12:42,0.162595333333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.471787882353,μmol/L,26.2972139751955,°C,1012,hPa,Humid,36,0,0,23.669,140910.910174755,381205.751683989,28,24,FALSE
2968656,2018-11-29 09:12:43,0.178598105,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.458144392142,μmol/L,26.2972139751955,°C,1012,hPa,Humid,36,0,0,23.67,140904.880199778,381203.935801578,28,24,FALSE
2968666,2018-11-29 09:12:44,0.195426728333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.497123726511,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.665,140899.385641457,381196.287398574,28,24,FALSE
2968673,2018-11-29 09:12:45,0.212279108333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.510771648274,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.664,140896.162392989,381198.994343176,28,24,FALSE
2968684,2018-11-29 09:12:46,0.22930164,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.483477181078,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.666,140889.388979908,381197.482261358,28,24,FALSE
2968689,2018-11-29 09:12:47,0.245354805,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.497123726511,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.665,140895.497263047,381203.329630189,28,24,FALSE
2968698,2018-11-29 09:12:48,0.262179993333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.413306973623,μmol/L,26.3094932172739,°C,1012,hPa,Humid,36,0,0,23.669,140883.112541572,381203.69560687,28,24,FALSE
2968709,2018-11-29 09:12:49,0.279078381666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.495167426588,μmol/L,26.3094932172739,°C,1012,hPa,Humid,36,0,0,23.663,140872.935635741,381189.580293447,28,24,FALSE
2968720,2018-11-29 09:12:50,0.295911216666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.483477181078,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.666,140874.035746128,381193.279756048,28,24,FALSE
2968726,2018-11-29 09:12:51,0.31195038,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.524420946556,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.663,140856.704142913,381193.308896683,28,24,FALSE
2968734,2018-11-29 09:12:52,0.328812885,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.483477181078,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.666,140854.949200094,381182.741983898,28,24,FALSE
2968744,2018-11-29 09:12:53,0.345637268333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.48152057771,μmol/L,26.3094932172739,°C,1012,hPa,Humid,36,0,0,23.664,140853.214884183,381187.364854335,28,24,FALSE
2968755,2018-11-29 09:12:54,0.362521351666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.510771648274,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.664,140840.635717281,381179.491272339,28,24,FALSE
2968760,2018-11-29 09:12:55,0.37858416,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.454231008583,μmol/L,26.3094932172739,°C,1012,hPa,Humid,36,0,0,23.666,140838.522018808,381181.781474622,28,24,FALSE
2968771,2018-11-29 09:12:56,0.39539661,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.483477181078,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.666,140826.543795674,381164.288999869,28,24,FALSE
2968782,2018-11-29 09:12:57,0.412228966666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.551723673441,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.661,140819.683717914,381177.509325001,28,24,FALSE
2968790,2018-11-29 09:12:58,0.429157818333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.524420946556,μmol/L,26.303353590622,°C,1012,hPa,Humid,36,0,0,23.663,140818.730282457,381180.646166584,28,24,FALSE
2968803,2018-11-29 09:12:59,0.446000583333333,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.522465253927,μmol/L,26.3094932172739,°C,1012,hPa,Humid,36,0,0,23.661,140805.135775112,381160.850536783,28,24,FALSE
2968807,2018-11-29 09:13:00,0.462036531666667,OXY6 (PSt7-10),2018-06-27 09:56:38,default,161.4249880881,μmol/L,26.3156328551545,°C,1012,hPa,Humid,36,0,0,23.666,140797.470178227,381155.59797906,28,24,FALSE
