Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2987307,2018-11-29 10:19:05,0,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.8651636566,μmol/L,26.3458547341529,°C,1013,hPa,Humid,0,0,0,23.134,132766.291264668,264468.851550965,27.3,49.2,FALSE
2987313,2018-11-29 10:19:06,0.0135388716666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.900621225244,μmol/L,26.3458547341529,°C,1013,hPa,Humid,0,0,0,23.132,132720.439251375,264425.456397635,27.3,49.2,FALSE
2987323,2018-11-29 10:19:07,0.0297273183333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.847437608078,μmol/L,26.3458547341529,°C,1013,hPa,Humid,0,0,0,23.135,132714.549473852,264400.404309677,27.3,49.2,FALSE
2987330,2018-11-29 10:19:08,0.0465796866666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.865236042727,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.132,132698.692817341,264389.298961062,27.3,49.2,FALSE
2987332,2018-11-29 10:19:09,0.0634217266666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.900694929648,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.13,132689.684597093,264385.988636918,27.3,49.2,FALSE
2987341,2018-11-29 10:19:10,0.080290575,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.865236042727,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.132,132684.616677833,264364.541722022,27.3,49.2,FALSE
2987350,2018-11-29 10:19:11,0.0963425266666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.812061391613,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.135,132677.794825694,264360.30554636,27.3,49.2,FALSE
2987366,2018-11-29 10:19:12,0.113310106666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.918427109731,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.129,132686.835752236,264360.157743738,27.3,49.2,FALSE
2987374,2018-11-29 10:19:13,0.130166741666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.953821261054,μmol/L,26.3458547341529,°C,1013,hPa,Humid,0,0,0,23.129,132686.607247349,264371.708931515,27.3,49.2,FALSE
2987382,2018-11-29 10:19:14,0.147138865,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.776693701321,μmol/L,26.3580687234785,°C,1013,hPa,Humid,0,0,0,23.135,132678.443043792,264373.200637457,27.3,49.2,FALSE
2987393,2018-11-29 10:19:15,0.16306283,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.829784451757,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.134,132671.736149166,264357.819093119,27.3,49.2,FALSE
2987395,2018-11-29 10:19:16,0.17987007,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.794413773807,μmol/L,26.3580687234785,°C,1013,hPa,Humid,0,0,0,23.134,132674.339918025,264349.953681526,27.3,49.2,FALSE
2987411,2018-11-29 10:19:17,0.196782421666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.776693701321,μmol/L,26.3580687234785,°C,1013,hPa,Humid,0,0,0,23.135,132671.962733488,264351.894537124,27.3,49.2,FALSE
2987420,2018-11-29 10:19:18,0.213627445,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.794340154688,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.136,132675.083870084,264351.534237753,27.3,49.2,FALSE
2987424,2018-11-29 10:19:19,0.229615126666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.794340154688,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.136,132671.924519228,264356.190437204,27.3,49.2,FALSE
2987437,2018-11-29 10:19:20,0.246454436666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.847509335377,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.133,132673.394827417,264362.846722737,27.3,49.2,FALSE
2987441,2018-11-29 10:19:21,0.263305866666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.758975451748,μmol/L,26.3580687234785,°C,1013,hPa,Humid,0,0,0,23.136,132670.053153797,264349.967265493,27.3,49.2,FALSE
2987452,2018-11-29 10:19:22,0.280144011666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.829784451757,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.134,132672.648635197,264356.518164689,27.3,49.2,FALSE
2987465,2018-11-29 10:19:23,0.296966361666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.847509335377,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.133,132673.020258507,264341.483976672,27.3,49.2,FALSE
2987472,2018-11-29 10:19:24,0.313032925,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.812061391613,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.135,132663.125582882,264343.166326436,27.3,49.2,FALSE
2987483,2018-11-29 10:19:25,0.329859145,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.847509335377,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.133,132668.80743851,264340.667349329,27.3,49.2,FALSE
2987486,2018-11-29 10:19:26,0.346712325,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.865236042727,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.132,132664.542764772,264349.60033241,27.3,49.2,FALSE
2987496,2018-11-29 10:19:27,0.36353422,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.829784451757,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.134,132651.512234929,264337.806039392,27.3,49.2,FALSE
2987507,2018-11-29 10:19:28,0.380408135,OXY8 (PSt7-10),2018-06-27 09:57:01,default,207.847509335377,μmol/L,26.351961723261,°C,1013,hPa,Humid,0,0,0,23.133,132656.426070705,264337.293817955,27.3,49.2,FALSE
