Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2977495,2018-11-29 09:56:23,0,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.221469891032,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.765,130343.841908703,265125.971691899,27.3,49.2,FALSE
2977501,2018-11-29 09:56:24,0.0143270466666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.221469891032,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.765,130323.294680241,265083.797733717,27.3,49.2,FALSE
2977511,2018-11-29 09:56:25,0.0311938566666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.221469891032,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.765,130318.448542238,265053.793006827,27.3,49.2,FALSE
2977513,2018-11-29 09:56:26,0.04719471,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.176769861598,μmol/L,26.0588387750036,°C,1012,hPa,Humid,0,0,0,22.769,130323.776870333,265043.135258401,27.3,49.2,FALSE
2977527,2018-11-29 09:56:27,0.06403154,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.202909472035,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.766,130313.433204806,265029.040956959,27.3,49.2,FALSE
2977536,2018-11-29 09:56:28,0.0808808233333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.202909472035,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.766,130306.117603073,265011.185113678,27.3,49.2,FALSE
2977545,2018-11-29 09:56:29,0.0976995033333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.17697049535,μmol/L,26.0649452420939,°C,1012,hPa,Humid,0,0,0,22.767,130307.689693087,265012.039534916,27.3,49.2,FALSE
2977556,2018-11-29 09:56:30,0.114517958333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.184147593846,μmol/L,26.0588387750036,°C,1013,hPa,Humid,0,0,0,22.769,130283.090394371,264991.805468628,27.3,49.2,FALSE
2977560,2018-11-29 09:56:31,0.130518678333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.221265030045,μmol/L,26.0588387750036,°C,1013,hPa,Humid,0,0,0,22.767,130283.431309024,264980.094740211,27.3,49.2,FALSE
2977572,2018-11-29 09:56:32,0.147355905,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.221265030045,μmol/L,26.0588387750036,°C,1013,hPa,Humid,0,0,0,22.767,130297.899293228,264989.247657162,27.3,49.2,FALSE
2977583,2018-11-29 09:56:33,0.164198795,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.221265030045,μmol/L,26.0588387750036,°C,1013,hPa,Humid,0,0,0,22.767,130299.953943009,264994.319353123,27.3,49.2,FALSE
2977591,2018-11-29 09:56:34,0.181032315,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.091587607341,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.772,130296.622595552,264979.033730889,27.3,49.2,FALSE
2977600,2018-11-29 09:56:35,0.197854161666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.184350989178,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.767,130297.645366671,264980.659071016,27.3,49.2,FALSE
2977607,2018-11-29 09:56:36,0.213838891666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.128687154688,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.77,130297.187809208,264970.996323947,27.3,49.2,FALSE
2977617,2018-11-29 09:56:37,0.23067766,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.128687154688,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.77,130305.768097084,264973.874329863,27.3,49.2,FALSE
2977628,2018-11-29 09:56:38,0.247510556666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.065864418281,μmol/L,26.0710517202906,°C,1012,hPa,Humid,0,0,0,22.771,130296.151468714,264961.363788977,27.3,49.2,FALSE
2977637,2018-11-29 09:56:39,0.26438403,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.047319382371,μmol/L,26.0710517202906,°C,1012,hPa,Humid,0,0,0,22.772,130292.725321997,264972.910593353,27.3,49.2,FALSE
2977645,2018-11-29 09:56:40,0.281178111666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.110136413634,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.771,130296.211396689,264960.750325557,27.3,49.2,FALSE
2977652,2018-11-29 09:56:41,0.297168285,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.102758453477,μmol/L,26.0649452420939,°C,1012,hPa,Humid,0,0,0,22.771,130299.214373938,264969.593183651,27.3,49.2,FALSE
2977664,2018-11-29 09:56:42,0.313990755,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.091587607341,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.772,130257.90179757,264956.615667464,27.3,49.2,FALSE
2977667,2018-11-29 09:56:43,0.330799235,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.084210280438,μmol/L,26.0649452420939,°C,1012,hPa,Humid,0,0,0,22.772,130269.550579277,264958.911332974,27.3,49.2,FALSE
2977675,2018-11-29 09:56:44,0.347619023333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.10256074729,μmol/L,26.0588387750036,°C,1012,hPa,Humid,0,0,0,22.773,130275.862464213,264951.474061359,27.3,49.2,FALSE
2977686,2018-11-29 09:56:45,0.36451636,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.054495797942,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.774,130269.059349925,264952.741999856,27.3,49.2,FALSE
2977694,2018-11-29 09:56:46,0.380486558333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.017411724288,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.776,130271.197864747,264944.439868563,27.3,49.2,FALSE
2977702,2018-11-29 09:56:47,0.397326555,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.035952794284,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.775,130284.778935913,264939.283922028,27.3,49.2,FALSE
2977712,2018-11-29 09:56:48,0.414175045,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.035952794284,μmol/L,26.0649452420939,°C,1013,hPa,Humid,0,0,0,22.775,130276.92904426,264933.24347372,27.3,49.2,FALSE
2977722,2018-11-29 09:56:49,0.43100791,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.036154468672,μmol/L,26.0710517202906,°C,1013,hPa,Humid,0,0,0,22.773,130294.923712954,264922.033438572,27.3,49.2,FALSE
2977731,2018-11-29 09:56:50,0.447832978333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,215.999072799792,μmol/L,26.0710517202906,°C,1013,hPa,Humid,0,0,0,22.775,130286.343872654,264921.7071529,27.3,49.2,FALSE
2977738,2018-11-29 09:56:51,0.46388797,OXY8 (PSt7-10),2018-06-27 09:57:01,default,216.017612667427,μmol/L,26.0710517202906,°C,1013,hPa,Humid,0,0,0,22.774,130307.385952335,264919.39020834,27.3,49.2,FALSE
2977748,2018-11-29 09:56:52,0.48073816,OXY8 (PSt7-10),2018-06-27 09:57:01,default,215.980534865494,μmol/L,26.0710517202906,°C,1013,hPa,Humid,0,0,0,22.776,130322.714137908,264917.789166096,27.3,49.2,FALSE
2977756,2018-11-29 09:56:53,0.497561731666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,215.888074142895,μmol/L,26.0771582095913,°C,1013,hPa,Humid,0,0,0,22.779,130325.307637861,264906.859815024,27.3,49.2,FALSE
