Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2987271,2018-11-29 10:19:00,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.297846439621,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.503,117563.478463847,254048.350713696,26.25,50.3,FALSE
2987276,2018-11-29 10:19:01,0.0151305466666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.222874358277,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.507,117542.047390129,254000.605823254,26.25,50.3,FALSE
2987282,2018-11-29 10:19:02,0.0319975016666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.316089784992,μmol/L,26.7491502957914,°C,1012,hPa,Humid,0,0,0,22.504,117522.638882625,253976.80990275,26.25,50.3,FALSE
2987290,2018-11-29 10:19:03,0.048812275,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.222874358277,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.507,117520.878560707,253957.738521483,26.25,50.3,FALSE
2987296,2018-11-29 10:19:04,0.06566668,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.297846439621,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.503,117505.332635855,253951.025792893,26.25,50.3,FALSE
2987303,2018-11-29 10:19:05,0.0825012266666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.279100456767,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.504,117502.36780094,253947.034164414,26.25,50.3,FALSE
2987314,2018-11-29 10:19:06,0.0987668833333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.260356449114,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.505,117488.532707644,253935.915779093,26.25,50.3,FALSE
2987316,2018-11-29 10:19:07,0.115262976666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.279100456767,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.504,117495.195861453,253928.341660566,26.25,50.3,FALSE
2987324,2018-11-29 10:19:08,0.132115345,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.260862834727,μmol/L,26.7614244695169,°C,1012,hPa,Humid,0,0,0,22.503,117497.551965118,253927.409973063,26.25,50.3,FALSE
2987336,2018-11-29 10:19:09,0.148957385,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.353590049219,μmol/L,26.7491502957914,°C,1012,hPa,Humid,0,0,0,22.502,117493.411518963,253928.259260506,26.25,50.3,FALSE
2987342,2018-11-29 10:19:10,0.165826233333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.316089784992,μmol/L,26.7491502957914,°C,1012,hPa,Humid,0,0,0,22.504,117497.459807392,253916.063857446,26.25,50.3,FALSE
2987355,2018-11-29 10:19:11,0.181878185,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.260862834727,μmol/L,26.7614244695169,°C,1012,hPa,Humid,0,0,0,22.503,117495.868306994,253930.449764114,26.25,50.3,FALSE
2987360,2018-11-29 10:19:12,0.198845765,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.279100456767,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.504,117488.379579386,253912.016641961,26.25,50.3,FALSE
2987373,2018-11-29 10:19:13,0.2157024,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.223379165075,μmol/L,26.7614244695169,°C,1012,hPa,Humid,0,0,0,22.505,117494.582189908,253925.504688402,26.25,50.3,FALSE
2987378,2018-11-29 10:19:14,0.232595526666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.353590049219,μmol/L,26.7491502957914,°C,1012,hPa,Humid,0,0,0,22.502,117487.891748981,253912.834504335,26.25,50.3,FALSE
2987389,2018-11-29 10:19:15,0.248598488333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.298354404993,μmol/L,26.7614244695169,°C,1012,hPa,Humid,0,0,0,22.501,117478.266174398,253915.637322686,26.25,50.3,FALSE
2987400,2018-11-29 10:19:16,0.265436148333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.279100456767,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.504,117479.198290515,253913.799972087,26.25,50.3,FALSE
2987406,2018-11-29 10:19:17,0.28231808,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.279100456767,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.504,117480.84199594,253910.577217026,26.25,50.3,FALSE
2987418,2018-11-29 10:19:18,0.299163103333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,217.241614416379,μmol/L,26.7552873770442,°C,1012,hPa,Humid,0,0,0,22.506,117475.817036711,253899.440637156,26.25,50.3,FALSE
