Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2977481,2018-11-29 09:56:22,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.366349964039,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.222,115709.819374273,254887.605539266,26.25,50.3,FALSE
2977494,2018-11-29 09:56:23,0.0185733883333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.385726482091,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.221,115688.890073258,254848.519682167,26.25,50.3,FALSE
2977503,2018-11-29 09:56:24,0.0354294383333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.385726482091,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.221,115657.336033449,254814.513153325,26.25,50.3,FALSE
2977506,2018-11-29 09:56:25,0.05227964,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.346290680028,μmol/L,26.6325478835743,°C,1012,hPa,Humid,0,0,0,22.225,115643.418366595,254798.56928673,26.25,50.3,FALSE
2977517,2018-11-29 09:56:26,0.0683268216666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.250819071381,μmol/L,26.6448216309873,°C,1012,hPa,Humid,0,0,0,22.226,115622.910889659,254776.830603248,26.25,50.3,FALSE
2977530,2018-11-29 09:56:27,0.0851510466666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.346975509841,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.223,115614.98132714,254764.329536288,26.25,50.3,FALSE
2977539,2018-11-29 09:56:28,0.102049895,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.250134186156,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.228,115604.254867367,254765.062751806,26.25,50.3,FALSE
2977548,2018-11-29 09:56:29,0.118889481666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.250134186156,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.228,115588.392045519,254751.495947115,26.25,50.3,FALSE
2977552,2018-11-29 09:56:30,0.134940791666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.288864527366,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.226,115593.092115571,254751.255085862,26.25,50.3,FALSE
2977563,2018-11-29 09:56:31,0.151820401666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.173379711614,μmol/L,26.6448216309873,°C,1012,hPa,Humid,0,0,0,22.23,115574.467591925,254753.754351125,26.25,50.3,FALSE
2977575,2018-11-29 09:56:32,0.16866392,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.268816918054,μmol/L,26.6325478835743,°C,1012,hPa,Humid,0,0,0,22.229,115568.747717347,254754.055044601,26.25,50.3,FALSE
2977584,2018-11-29 09:56:33,0.18552888,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.154025025201,μmol/L,26.6448216309873,°C,1012,hPa,Humid,0,0,0,22.231,115564.982171288,254745.833973243,26.25,50.3,FALSE
2977589,2018-11-29 09:56:34,0.201629061666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.250134186156,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.228,115562.664022146,254745.550605235,26.25,50.3,FALSE
2977598,2018-11-29 09:56:35,0.2185045,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.250134186156,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.228,115558.096325101,254743.679908424,26.25,50.3,FALSE
2977611,2018-11-29 09:56:36,0.23536742,OXY7 (PSt7-10),2018-06-27 09:56:49,default,223.19205413902,μmol/L,26.6386847516719,°C,1012,hPa,Humid,0,0,0,22.231,115543.64324783,254728.341042345,26.25,50.3,FALSE
