Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2987194,2018-11-29 10:18:45,0,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.90925845515,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.252,123536.619678398,267591.468502134,25.2,46,FALSE
2987195,2018-11-29 10:18:46,0.0100912583333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.897097506452,μmol/L,26.5703264806898,°C,1012,hPa,Humid,36,0,0,23.255,123498.91934261,267517.346882185,25.2,46,FALSE
2987199,2018-11-29 10:18:47,0.0269592833333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.923378105755,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.251,123493.276401482,267514.412006437,25.2,46,FALSE
2987204,2018-11-29 10:18:48,0.0438255383333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.895140250648,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.253,123476.613322602,267496.966265383,25.2,46,FALSE
2987208,2018-11-29 10:18:49,0.0606735016666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.923378105755,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.251,123473.784415968,267482.544250179,25.2,46,FALSE
2987213,2018-11-29 10:18:50,0.0775240566666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.90925845515,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.252,123466.01250692,267477.667116943,25.2,46,FALSE
2987218,2018-11-29 10:18:51,0.09362493,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.93945542116,μmol/L,26.5703264806898,°C,1012,hPa,Humid,36,0,0,23.252,123468.062295995,267481.713526638,25.2,46,FALSE
2987224,2018-11-29 10:18:52,0.110501726666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.923378105755,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.251,123468.468843876,267474.875091787,25.2,46,FALSE
2987229,2018-11-29 10:18:53,0.127451208333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.864949072925,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.253,123458.885569174,267461.890375477,25.2,46,FALSE
2987233,2018-11-29 10:18:54,0.143483581666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.951621746088,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.249,123455.505074618,267459.94833076,25.2,46,FALSE
2987238,2018-11-29 10:18:55,0.160357465,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.893181835322,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.251,123450.516118654,267454.052581829,25.2,46,FALSE
2987244,2018-11-29 10:18:56,0.177208373333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.90925845515,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.252,123448.308913427,267446.31725023,25.2,46,FALSE
2987247,2018-11-29 10:18:57,0.194150705,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.937499202667,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.25,123444.073470671,267450.146130015,25.2,46,FALSE
2987257,2018-11-29 10:18:58,0.210201536666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.881023492048,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.254,123431.898822035,267448.991478058,25.2,46,FALSE
2987262,2018-11-29 10:18:59,0.227057378333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.937499202667,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.25,123440.364894809,267442.62011059,25.2,46,FALSE
2987268,2018-11-29 10:19:00,0.244021886666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.895140250648,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.253,123439.701030654,267453.02052652,25.2,46,FALSE
2987273,2018-11-29 10:19:01,0.260055658333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.907300385489,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.25,123434.341909624,267452.246628949,25.2,46,FALSE
2987284,2018-11-29 10:19:02,0.276902148333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.864949072925,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.253,123427.434938032,267448.038928193,25.2,46,FALSE
2987291,2018-11-29 10:19:03,0.2936837,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.979871173267,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.247,123431.347726153,267447.528139069,25.2,46,FALSE
2987297,2018-11-29 10:19:04,0.31052148,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.965745736221,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.248,123430.165435269,267452.299449372,25.2,46,FALSE
2987304,2018-11-29 10:19:05,0.327402545,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.967701262446,μmol/L,26.5703264806898,°C,1012,hPa,Humid,36,0,0,23.25,123424.211464991,267462.727661286,25.2,46,FALSE
2987308,2018-11-29 10:19:06,0.34370477,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.90925845515,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.252,123428.06531671,267448.520904007,25.2,46,FALSE
2987320,2018-11-29 10:19:07,0.360200863333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.951621746088,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.249,123425.143407434,267449.760711736,25.2,46,FALSE
2987331,2018-11-29 10:19:08,0.377053231666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.965745736221,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.248,123429.380454353,267440.956575459,25.2,46,FALSE
2987334,2018-11-29 10:19:09,0.393895271666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.895140250648,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.253,123423.773899,267443.463727733,25.2,46,FALSE
2987344,2018-11-29 10:19:10,0.41076412,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.967701262446,μmol/L,26.5703264806898,°C,1012,hPa,Humid,36,0,0,23.25,123420.231806119,267436.521241398,25.2,46,FALSE
2987351,2018-11-29 10:19:11,0.426816071666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.951621746088,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.249,123415.914244562,267431.175928,25.2,46,FALSE
2987363,2018-11-29 10:19:12,0.443783651666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.008126388912,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.245,123422.725676634,267443.882292925,25.2,46,FALSE
2987375,2018-11-29 10:19:13,0.460640286666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.907300385489,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.25,123417.274763414,267443.547648934,25.2,46,FALSE
2987384,2018-11-29 10:19:14,0.47761241,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.921420381905,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.249,123412.616576181,267449.206609591,25.2,46,FALSE
2987391,2018-11-29 10:19:15,0.493536375,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.038341187659,μmol/L,26.5703264806898,°C,1012,hPa,Humid,36,0,0,23.245,123409.989037724,267435.349823496,25.2,46,FALSE
2987397,2018-11-29 10:19:16,0.510343615,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.008126388912,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.245,123407.59137731,267424.685244354,25.2,46,FALSE
2987408,2018-11-29 10:19:17,0.527255966666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.008126388912,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.245,123399.039434856,267436.666091461,25.2,46,FALSE
2987414,2018-11-29 10:19:18,0.54410099,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.949664714295,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.247,123401.323387052,267427.084522676,25.2,46,FALSE
2987427,2018-11-29 10:19:19,0.560088671666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.99399805743,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.246,123396.126073854,267435.44816736,25.2,46,FALSE
2987435,2018-11-29 10:19:20,0.576927981666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.963789050673,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.246,123401.07373163,267427.782550939,25.2,46,FALSE
2987442,2018-11-29 10:19:21,0.593779411666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.949664714295,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.247,123398.669038621,267421.363708489,25.2,46,FALSE
2987451,2018-11-29 10:19:22,0.610617556666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.933583284474,μmol/L,26.5887828922259,°C,1012,hPa,Humid,36,0,0,23.246,123386.60279745,267416.818236882,25.2,46,FALSE
2987463,2018-11-29 10:19:23,0.627439906666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.935541824773,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.248,123385.467737274,267426.606645246,25.2,46,FALSE
2987475,2018-11-29 10:19:24,0.643440601666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.022256167916,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.244,123379.078170296,267413.848405311,25.2,46,FALSE
2987482,2018-11-29 10:19:25,0.660300073333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.008126388912,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.245,123385.788407155,267425.151884726,25.2,46,FALSE
2987487,2018-11-29 10:19:26,0.677135996666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.008126388912,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.245,123378.29878492,267415.519897414,25.2,46,FALSE
2987495,2018-11-29 10:19:27,0.694007765,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.022256167916,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.244,123373.691089787,267409.317570648,25.2,46,FALSE
2987503,2018-11-29 10:19:28,0.71005311,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.992042064812,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.244,123368.828496197,267416.837847078,25.2,46,FALSE
2987514,2018-11-29 10:19:29,0.726914193333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.992042064812,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.244,123363.521639819,267412.288758367,25.2,46,FALSE
2987528,2018-11-29 10:19:30,0.743789045,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.050520069301,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.242,123363.334360153,267417.067389121,25.2,46,FALSE
2987537,2018-11-29 10:19:31,0.760588023333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,165.979871173267,μmol/L,26.5764786065952,°C,1012,hPa,Humid,36,0,0,23.247,123357.094478837,267403.595135004,25.2,46,FALSE
2987543,2018-11-29 10:19:32,0.77739498,OXY4 (PSt7-10),2018-06-27 09:56:10,default,166.020300868808,μmol/L,26.5826307437742,°C,1012,hPa,Humid,36,0,0,23.242,123352.688993975,267401.589383679,25.2,46,FALSE
