Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2995998,2018-11-29 10:55:52,0,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.600599153971,μmol/L,26.5395660202707,°C,1012,hPa,Humid,36,0,0,22.802,119961.584812241,267663.007163367,25.2,46,FALSE
2995999,2018-11-29 10:55:53,0.0115685266666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.615406651992,μmol/L,26.5395660202707,°C,1012,hPa,Humid,36,0,0,22.801,119930.188221923,267605.391507995,25.2,46,FALSE
2996007,2018-11-29 10:55:54,0.0287323483333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.584017301548,μmol/L,26.5457180898075,°C,1012,hPa,Humid,36,0,0,22.801,119912.255859858,267582.736967341,25.2,46,FALSE
2996013,2018-11-29 10:55:55,0.0456109316666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.615406651992,μmol/L,26.5395660202707,°C,1012,hPa,Humid,36,0,0,22.801,119909.817573591,267575.784390147,25.2,46,FALSE
2996018,2018-11-29 10:55:56,0.0620753666666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.615406651992,μmol/L,26.5395660202707,°C,1012,hPa,Humid,36,0,0,22.801,119899.345082984,267555.82649343,25.2,46,FALSE
2996030,2018-11-29 10:55:57,0.0782297483333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.556185914287,μmol/L,26.5395660202707,°C,1012,hPa,Humid,36,0,0,22.805,119900.132813821,267554.104399803,25.2,46,FALSE
2996039,2018-11-29 10:55:58,0.095102645,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.572763978681,μmol/L,26.5334139620072,°C,1012,hPa,Humid,36,0,0,22.806,119890.669877892,267550.435743217,25.2,46,FALSE
2996050,2018-11-29 10:55:59,0.111940815,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.539607440475,μmol/L,26.5457180898075,°C,1012,hPa,Humid,36,0,0,22.804,119886.468214352,267543.355650866,25.2,46,FALSE
2996052,2018-11-29 10:56:00,0.128772616666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.510008575928,μmol/L,26.5457180898075,°C,1012,hPa,Humid,36,0,0,22.806,119882.264565411,267544.711646086,25.2,46,FALSE
2996064,2018-11-29 10:56:01,0.145297545,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.556185914287,μmol/L,26.5395660202707,°C,1012,hPa,Humid,36,0,0,22.805,119879.702862524,267534.325762504,25.2,46,FALSE
2996070,2018-11-29 10:56:02,0.162187935,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.524807237398,μmol/L,26.5457180898075,°C,1012,hPa,Humid,36,0,0,22.805,119879.921009317,267535.627446604,25.2,46,FALSE
2996078,2018-11-29 10:56:03,0.178243983333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,172.496989846737,μmol/L,26.5395660202707,°C,1012,hPa,Humid,36,0,0,22.809,119877.754042781,267520.021433178,25.2,46,FALSE
