Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3137485,2018-11-30 14:01:14,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.427712497939,μmol/L,29.2914916303585,°C,1018,hPa,Humid,36,0,0,23.049,131752.144044369,257367.008859915,23.1,41.6,0
3137494,2018-11-30 14:01:15,0.0105521266666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.411384574469,μmol/L,29.2976670141729,°C,1018,hPa,Humid,36,0,0,23.048,131715.666840023,257301.187429263,23.1,41.6,0
3137500,2018-11-30 14:01:16,0.0273612233333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.427712497939,μmol/L,29.2914916303585,°C,1018,hPa,Humid,36,0,0,23.049,131710.255095457,257291.670863003,23.1,41.6,0
3137509,2018-11-30 14:01:17,0.0435647116666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.401141014201,μmol/L,29.2914916303585,°C,1018,hPa,Humid,36,0,0,23.051,131696.903846688,257270.821783605,23.1,41.6,0
3137518,2018-11-30 14:01:18,0.0606554266666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.331693403924,μmol/L,29.2976670141729,°C,1018,hPa,Humid,36,0,0,23.054,131687.863912471,257274.300928931,23.1,41.6,0
3137525,2018-11-30 14:01:19,0.077465405,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.34497183763,μmol/L,29.2976670141729,°C,1018,hPa,Humid,36,0,0,23.053,131681.163794771,257251.782579738,23.1,41.6,0
3137537,2018-11-30 14:01:20,0.0942943683333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.374575016892,μmol/L,29.2914916303585,°C,1018,hPa,Humid,36,0,0,23.053,131675.824842108,257247.346588501,23.1,41.6,0
3137540,2018-11-30 14:01:21,0.110266481666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.374575016892,μmol/L,29.2914916303585,°C,1018,hPa,Humid,36,0,0,23.053,131673.413232148,257248.496768934,23.1,41.6,0
3137551,2018-11-30 14:01:22,0.127121265,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.430751217794,μmol/L,29.2853162579122,°C,1018,hPa,Humid,36,0,0,23.051,131680.381197296,257237.695909651,23.1,41.6,0
3137560,2018-11-30 14:01:23,0.143975658333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,155.3347363046,μmol/L,29.2914916303585,°C,1018,hPa,Humid,36,0,0,23.056,131685.780044669,257236.057014839,23.1,41.6,0
