Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3129204,2018-11-30 13:43:19,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,157.022095571213,μmol/L,29.358421470617,°C,1018,hPa,Humid,36,0,0,22.907,117348.796085981,253965.902788391,26.25,50.3,0
3129215,2018-11-30 13:43:20,0.0240481683333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.987479589012,μmol/L,29.3461377943313,°C,1018,hPa,Humid,36,0,0,22.914,117345.172730468,253931.846946799,26.25,50.3,0
3129225,2018-11-30 13:43:21,0.0408508766666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.971160576384,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.913,117339.518457573,253910.51572982,26.25,50.3,0
3129232,2018-11-30 13:43:22,0.05696416,OXY7 (PSt7-10),2018-06-27 09:56:49,default,157.000930199906,μmol/L,29.3461377943313,°C,1018,hPa,Humid,36,0,0,22.913,117342.129453471,253882.299593966,26.25,50.3,0
3129243,2018-11-30 13:43:23,0.0740017383333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.984610054978,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.912,117357.888022372,253871.868711017,26.25,50.3,0
3129252,2018-11-30 13:43:24,0.0907844283333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,157.000930199906,μmol/L,29.3461377943313,°C,1018,hPa,Humid,36,0,0,22.913,117354.638548325,253860.152100547,26.25,50.3,0
3129263,2018-11-30 13:43:25,0.10756695,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.933691101116,μmol/L,29.3461377943313,°C,1018,hPa,Humid,36,0,0,22.918,117371.806393057,253856.036938624,26.25,50.3,0
3129270,2018-11-30 13:43:26,0.123582956666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.947136130133,μmol/L,29.3461377943313,°C,1018,hPa,Humid,36,0,0,22.917,117369.450267269,253843.282037117,26.25,50.3,0
3129282,2018-11-30 13:43:27,0.140462125,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.960582554324,μmol/L,29.3461377943313,°C,1018,hPa,Humid,36,0,0,22.916,117407.403384998,253848.00884043,26.25,50.3,0
3129291,2018-11-30 13:43:28,0.157291466666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.920247467072,μmol/L,29.3461377943313,°C,1018,hPa,Humid,36,0,0,22.919,117404.73056138,253833.804807856,26.25,50.3,0
3129294,2018-11-30 13:43:29,0.174100513333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.930820514024,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.916,117416.225404068,253830.876798866,26.25,50.3,0
3129306,2018-11-30 13:43:30,0.190926506666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.890493007645,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.919,117431.965145513,253838.672722242,26.25,50.3,0
3129313,2018-11-30 13:43:31,0.206898518333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.850178051911,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.922,117448.123360013,253838.852705801,26.25,50.3,0
3129321,2018-11-30 13:43:32,0.223869156666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.823308384702,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.924,117458.294275221,253831.562986788,26.25,50.3,0
3129334,2018-11-30 13:43:33,0.24071734,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.853050214563,μmol/L,29.3461377943313,°C,1018,hPa,Humid,36,0,0,22.924,117476.739299091,253841.745675131,26.25,50.3,0
3129344,2018-11-30 13:43:34,0.257524623333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.823308384702,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.924,117475.917705824,253835.590238335,26.25,50.3,0
3129352,2018-11-30 13:43:35,0.274326621666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.866486876695,μmol/L,29.3461377943313,°C,1018,hPa,Humid,36,0,0,22.923,117499.26681196,253835.496820336,26.25,50.3,0
3129356,2018-11-30 13:43:36,0.290332055,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.823308384702,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.924,117508.30428434,253832.724248575,26.25,50.3,0
3129372,2018-11-30 13:43:37,0.307248775,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.796444291608,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.926,117508.961491426,253833.364096542,26.25,50.3,0
3129381,2018-11-30 13:43:38,0.324039143333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,156.756158599981,μmol/L,29.3522796268517,°C,1018,hPa,Humid,36,0,0,22.929,117518.641105031,253841.456479362,26.25,50.3,0
