Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3129198,2018-11-30 13:43:17,0,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.602395798468,μmol/L,20.3378615827532,°C,1018,hPa,Humid,36,0,0,23.326,120134.140071227,265522.519906496,25.2,46,0
3129202,2018-11-30 13:43:18,0.0153854816666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.55210066246,μmol/L,20.3378615827532,°C,1018,hPa,Humid,36,0,0,23.329,120113.620598875,265482.418737958,25.2,46,0
3129207,2018-11-30 13:43:19,0.0317113566666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.500295202614,μmol/L,20.3440023088356,°C,1018,hPa,Humid,36,0,0,23.33,120098.549733142,265448.997001438,25.2,46,0
3129217,2018-11-30 13:43:20,0.0483361433333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.482014025896,μmol/L,20.3501430461292,°C,1018,hPa,Humid,36,0,0,23.329,120089.285638612,265438.375196991,25.2,46,0
3129228,2018-11-30 13:43:21,0.0652718233333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.498771464177,μmol/L,20.3501430461292,°C,1018,hPa,Humid,36,0,0,23.328,120094.348446509,265429.909982255,25.2,46,0
3129236,2018-11-30 13:43:22,0.0813933766666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.411955098977,μmol/L,20.3624245543515,°C,1018,hPa,Humid,36,0,0,23.329,120092.771344563,265430.146504815,25.2,46,0
3129242,2018-11-30 13:43:23,0.098422685,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.39368461448,μmol/L,20.3685653252792,°C,1018,hPa,Humid,36,0,0,23.328,120089.271381688,265413.640198678,25.2,46,0
3129249,2018-11-30 13:43:24,0.115205375,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.308437667955,μmol/L,20.3747061074191,°C,1018,hPa,Humid,36,0,0,23.331,120093.857843638,265416.900140107,25.2,46,0
3129259,2018-11-30 13:43:25,0.131987896666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.290177590295,μmol/L,20.3808469007695,°C,1018,hPa,Humid,36,0,0,23.33,120097.665100721,265414.460831076,25.2,46,0
3129271,2018-11-30 13:43:26,0.148020435,OXY4 (PSt7-10),2018-06-27 09:56:10,default,197.239964840184,μmol/L,20.3808469007695,°C,1018,hPa,Humid,36,0,0,23.333,120097.326271752,265402.61192209,25.2,46,0
