Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3154288,2018-11-30 14:59:29,0,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.592082857414,μmol/L,29.1379071480028,°C,1019,hPa,Humid,36,0,0,23.939,139529.408522606,263480.331337358,27.3,49.2,0
3154292,2018-11-30 14:59:30,0.0102317116666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.540552091096,μmol/L,29.1440192198934,°C,1019,hPa,Humid,36,0,0,23.941,139494.09470061,263426.02955051,27.3,49.2,0
3154306,2018-11-30 14:59:31,0.0271499116666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.592082857414,μmol/L,29.1379071480028,°C,1019,hPa,Humid,36,0,0,23.939,139500.933420689,263421.053257051,27.3,49.2,0
3154316,2018-11-30 14:59:32,0.0440205033333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.592082857414,μmol/L,29.1379071480028,°C,1019,hPa,Humid,36,0,0,23.939,139489.590145807,263418.745210396,27.3,49.2,0
3154325,2018-11-30 14:59:33,0.060845805,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.564897653041,μmol/L,29.1440192198934,°C,1019,hPa,Humid,36,0,0,23.939,139484.296069877,263399.543014359,27.3,49.2,0
3154332,2018-11-30 14:59:34,0.0772821083333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.555559533831,μmol/L,29.1379071480028,°C,1019,hPa,Humid,36,0,0,23.942,139489.266531342,263405.585559579,27.3,49.2,0
3154346,2018-11-30 14:59:35,0.09425006,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.555559533831,μmol/L,29.1379071480028,°C,1019,hPa,Humid,36,0,0,23.942,139485.471842788,263402.318624803,27.3,49.2,0
3154353,2018-11-30 14:59:36,0.110185653333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.479709454192,μmol/L,29.1440192198934,°C,1019,hPa,Humid,36,0,0,23.946,139480.130759272,263398.090134628,27.3,49.2,0
3154365,2018-11-30 14:59:37,0.127272493333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.543387523934,μmol/L,29.1379071480028,°C,1019,hPa,Humid,36,0,0,23.943,139484.633597507,263401.107703609,27.3,49.2,0
3154374,2018-11-30 14:59:38,0.144111463333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.555559533831,μmol/L,29.1379071480028,°C,1019,hPa,Humid,36,0,0,23.942,139499.077125275,263396.664130153,27.3,49.2,0
3154385,2018-11-30 14:59:39,0.160926625,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.555559533831,μmol/L,29.1379071480028,°C,1019,hPa,Humid,36,0,0,23.942,139491.229568716,263399.64755416,27.3,49.2,0
3154396,2018-11-30 14:59:40,0.177047228333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.504042863849,μmol/L,29.1440192198934,°C,1019,hPa,Humid,36,0,0,23.944,139485.21271586,263394.359260567,27.3,49.2,0
3154401,2018-11-30 14:59:41,0.193881093333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.506878785804,μmol/L,29.1379071480028,°C,1019,hPa,Humid,36,0,0,23.946,139497.981730609,263388.417174456,27.3,49.2,0
3154410,2018-11-30 14:59:42,0.210694331666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.540552091096,μmol/L,29.1440192198934,°C,1019,hPa,Humid,36,0,0,23.941,139493.905650509,263391.758223933,27.3,49.2,0
3154421,2018-11-30 14:59:43,0.22748246,OXY8 (PSt7-10),2018-06-27 09:57:01,default,144.516211391064,μmol/L,29.1440192198934,°C,1019,hPa,Humid,36,0,0,23.943,139495.886636552,263398.373321347,27.3,49.2,0
