Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3154275,2018-11-30 14:59:28,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.408700997289,μmol/L,29.2561665114813,°C,1018,hPa,Humid,36,0,0,25.184,137338.303124453,411606.630678177,28.35,51.6,0
3154287,2018-11-30 14:59:29,0.0198892616666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.408700997289,μmol/L,29.2561665114813,°C,1018,hPa,Humid,36,0,0,25.184,137320.744608753,411543.132300003,28.35,51.6,0
3154297,2018-11-30 14:59:30,0.036280645,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.384156790621,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.184,137300.995570838,411486.871246923,28.35,51.6,0
3154305,2018-11-30 14:59:31,0.0532072016666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.36274231962,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.186,137288.795021479,411445.759203024,28.35,51.6,0
3154314,2018-11-30 14:59:32,0.0700694366666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.327500108824,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.187,137286.263758246,411430.510544024,28.35,51.6,0
3154323,2018-11-30 14:59:33,0.0868781866666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.397991239311,μmol/L,29.2561665114813,°C,1018,hPa,Humid,36,0,0,25.185,137278.006224381,411422.457506023,28.35,51.6,0
3154334,2018-11-30 14:59:34,0.10333928,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.376574789227,μmol/L,29.2561665114813,°C,1018,hPa,Humid,36,0,0,25.187,137278.425948675,411398.264020758,28.35,51.6,0
3154347,2018-11-30 14:59:35,0.120294141666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.330628275354,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.189,137275.407626905,411391.044207112,28.35,51.6,0
3154351,2018-11-30 14:59:36,0.136234586666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.341331935324,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.188,137272.900014461,411378.336422934,28.35,51.6,0
3154364,2018-11-30 14:59:37,0.153321426666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.306095789018,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.189,137284.283708673,411391.134905227,28.35,51.6,0
3154371,2018-11-30 14:59:38,0.170122146666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.365868096852,μmol/L,29.2561665114813,°C,1018,hPa,Humid,36,0,0,25.188,137277.347503659,411386.819663193,28.35,51.6,0
3154378,2018-11-30 14:59:39,0.186970531666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.330628275354,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.189,137271.365971191,411374.834307745,28.35,51.6,0
3154388,2018-11-30 14:59:40,0.203096161666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.287823846863,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.193,137272.313632729,411359.304722765,28.35,51.6,0
3154406,2018-11-30 14:59:41,0.219958396666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.330628275354,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.189,137278.82816487,411380.412648956,28.35,51.6,0
3154416,2018-11-30 14:59:42,0.236792866666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.3092240191,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.191,137271.48135041,411376.299923616,28.35,51.6,0
3154424,2018-11-30 14:59:43,0.253647688333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.333754148781,μmol/L,29.2561665114813,°C,1018,hPa,Humid,36,0,0,25.191,137278.646618831,411375.235200252,28.35,51.6,0
3154435,2018-11-30 14:59:44,0.26972777,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.3092240191,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.191,137278.592305493,411354.563127361,28.35,51.6,0
3154447,2018-11-30 14:59:45,0.286568381666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.255731243692,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.196,137278.758655988,411359.390554039,28.35,51.6,0
3154456,2018-11-30 14:59:46,0.30359905,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.287823846863,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.193,137280.080779416,411374.498174494,28.35,51.6,0
3154460,2018-11-30 14:59:47,0.319606503333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.298523422547,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.192,137278.281317115,411348.855400482,28.35,51.6,0
3154468,2018-11-30 14:59:48,0.336421181666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.263299401317,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.193,137284.200278475,411355.83262768,28.35,51.6,0
3154478,2018-11-30 14:59:49,0.353230573333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.290949847464,μmol/L,29.2561665114813,°C,1018,hPa,Humid,36,0,0,25.195,137289.540586816,411361.447762963,28.35,51.6,0
3154496,2018-11-30 14:59:50,0.370084891666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.252602856089,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.194,137291.505777827,411365.151037044,28.35,51.6,0
3154506,2018-11-30 14:59:51,0.386964156666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.298523422547,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.192,137296.34878901,411351.981417212,28.35,51.6,0
3154508,2018-11-30 14:59:52,0.40292046,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.220519342331,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.197,137288.476971506,411342.617594606,28.35,51.6,0
3154519,2018-11-30 14:59:53,0.419848513333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.323051541994,μmol/L,29.2561665114813,°C,1018,hPa,Humid,36,0,0,25.192,137284.653737012,411357.293273547,28.35,51.6,0
3154536,2018-11-30 14:59:54,0.436718261666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.273996967089,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.192,137293.738751154,411348.577466136,28.35,51.6,0
3154546,2018-11-30 14:59:55,0.453564336666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.298523422547,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.192,137290.464403023,411350.245349842,28.35,51.6,0
3154556,2018-11-30 14:59:56,0.470371161666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.23121282673,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.196,137301.713864895,411352.071019548,28.35,51.6,0
3154565,2018-11-30 14:59:57,0.486511328333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.245035750146,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.197,137290.42899346,411340.440928778,28.35,51.6,0
3154576,2018-11-30 14:59:58,0.503459583333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.2343412768,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.198,137300.761505283,411348.296058012,28.35,51.6,0
3154584,2018-11-30 14:59:59,0.520303675,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.26642775757,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.195,137297.988577178,411344.925910306,28.35,51.6,0
3154588,2018-11-30 15:00:00,0.536287801666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.245035750146,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.197,137294.530476714,411339.322864964,28.35,51.6,0
3154598,2018-11-30 15:00:01,0.55307141,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.188445008644,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.2,137296.807046199,411353.965179944,28.35,51.6,0
3154610,2018-11-30 15:00:02,0.56986278,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.2343412768,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.198,137298.51925947,411354.570119552,28.35,51.6,0
3154620,2018-11-30 15:00:03,0.586878515,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.255731243692,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.196,137294.446476908,411346.426870627,28.35,51.6,0
3154628,2018-11-30 15:00:04,0.602914355,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.241907331271,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.195,137306.679782448,411332.511786779,28.35,51.6,0
3154640,2018-11-30 15:00:05,0.619747133333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.220519342331,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.197,137300.895841968,411330.378480207,28.35,51.6,0
3154651,2018-11-30 15:00:06,0.636547626666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.185314140022,μmol/L,29.2746121784385,°C,1018,hPa,Humid,36,0,0,25.198,137302.212132833,411328.248756404,28.35,51.6,0
3154662,2018-11-30 15:00:07,0.653462226666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.220519342331,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.197,137300.991062794,411340.100248718,28.35,51.6,0
3154673,2018-11-30 15:00:08,0.670348941666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.202263976613,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.201,137307.766700939,411333.607249055,28.35,51.6,0
3154682,2018-11-30 15:00:09,0.686322903333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.19157358272,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.202,137308.684519757,411334.958908888,28.35,51.6,0
3154690,2018-11-30 15:00:10,0.703126985,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.199135433422,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.199,137313.792728461,411333.000507019,28.35,51.6,0
3154699,2018-11-30 15:00:11,0.719961341666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.188445008644,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.2,137311.187688926,411335.579689476,28.35,51.6,0
3154714,2018-11-30 15:00:12,0.736793911666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.20982687794,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.198,137306.256204508,411330.530824052,28.35,51.6,0
3154725,2018-11-30 15:00:13,0.753696641666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.19157358272,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.202,137312.115252137,411318.176679845,28.35,51.6,0
3154729,2018-11-30 15:00:14,0.769697751666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.177755603472,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.201,137304.733059947,411324.738468104,28.35,51.6,0
3154738,2018-11-30 15:00:15,0.78656241,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.167067217772,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.202,137299.597057688,411309.171807852,28.35,51.6,0
3154755,2018-11-30 15:00:16,0.803352488333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.199135433422,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.199,137308.181022161,411324.193118969,28.35,51.6,0
3154766,2018-11-30 15:00:17,0.820129843333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.19157358272,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.202,137303.571907873,411320.255123318,28.35,51.6,0
3154776,2018-11-30 15:00:18,0.836916675,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.199135433422,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.199,137305.183487168,411312.268308702,28.35,51.6,0
3154780,2018-11-30 15:00:19,0.853066075,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.167067217772,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.202,137304.235368584,411312.539228746,28.35,51.6,0
3154791,2018-11-30 15:00:20,0.869828118333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.20982687794,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.198,137302.547994569,411302.870301354,28.35,51.6,0
3154802,2018-11-30 15:00:21,0.886602476666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.20982687794,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.198,137305.980030595,411299.186831462,28.35,51.6,0
3154816,2018-11-30 15:00:22,0.903492465,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.202263976613,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.201,137309.159521774,411314.554715714,28.35,51.6,0
3154826,2018-11-30 15:00:23,0.920355391666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.159508517677,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.205,137303.791499975,411304.27937935,28.35,51.6,0
3154828,2018-11-30 15:00:24,0.93639173,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.135008176158,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.205,137297.881161493,411300.502595487,28.35,51.6,0
3154841,2018-11-30 15:00:25,0.953231883333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.202263976613,μmol/L,29.2623150558643,°C,1018,hPa,Humid,36,0,0,25.201,137302.721153799,411299.438761594,28.35,51.6,0
3154854,2018-11-30 15:00:26,0.970174296666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.131877154746,μmol/L,29.2746121784385,°C,1018,hPa,Humid,36,0,0,25.203,137305.511424692,411289.91905507,28.35,51.6,0
3154859,2018-11-30 15:00:27,0.98633576,OXY5 (PSt7-10),2018-06-27 09:56:23,default,129.167067217772,μmol/L,29.2684636115164,°C,1018,hPa,Humid,36,0,0,25.202,137294.88059781,411284.859598997,28.35,51.6,0
