Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3144960,2018-11-30 14:42:34,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.363496907256,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.345,133968.658412225,258047.524334818,23.1,41.6,0
3144964,2018-11-30 14:42:35,0.0161126233333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.3764551341,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.344,133933.070391884,258001.196575299,23.1,41.6,0
3144974,2018-11-30 14:42:36,0.0320964833333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.379477134111,μmol/L,29.1124104447185,°C,1018,hPa,Humid,36,0,0,23.346,133911.962340672,257966.474892004,23.1,41.6,0
3144984,2018-11-30 14:42:37,0.048966415,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.389414684233,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.343,133902.93491173,257948.417532114,23.1,41.6,0
3144992,2018-11-30 14:42:38,0.0657544866666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.324630164613,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.348,133910.304103401,257926.815211404,23.1,41.6,0
3145005,2018-11-30 14:42:39,0.0826383133333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.324630164613,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.348,133903.292773246,257934.606807318,23.1,41.6,0
3145019,2018-11-30 14:42:40,0.09943909,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.324630164613,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.348,133881.575621509,257923.707450407,23.1,41.6,0
3145027,2018-11-30 14:42:41,0.115437445,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.340607044213,μmol/L,29.1124104447185,°C,1018,hPa,Humid,36,0,0,23.349,133881.159888618,257904.801585548,23.1,41.6,0
3145031,2018-11-30 14:42:42,0.132376788333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.311677229078,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.349,133869.041839444,257908.339771563,23.1,41.6,0
3145049,2018-11-30 14:42:43,0.149210245,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.298725615909,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.35,133858.890798898,257900.569012724,23.1,41.6,0
3145057,2018-11-30 14:42:44,0.165989015,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.259878708749,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.353,133857.422818017,257909.033587671,23.1,41.6,0
3145062,2018-11-30 14:42:45,0.182822276666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.246932383197,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.354,133862.462252274,257901.386224722,23.1,41.6,0
3145071,2018-11-30 14:42:46,0.198768675,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.282749448495,μmol/L,29.1247605644007,°C,1018,hPa,Humid,36,0,0,23.349,133855.42612159,257895.90163916,23.1,41.6,0
3145085,2018-11-30 14:42:47,0.215864136666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.233987379087,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.355,133853.061484121,257907.01591968,23.1,41.6,0
3145099,2018-11-30 14:42:48,0.232682691666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.230960677976,μmol/L,29.1247605644007,°C,1018,hPa,Humid,36,0,0,23.353,133859.231960144,257895.317180436,23.1,41.6,0
3145104,2018-11-30 14:42:49,0.248740778333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.233987379087,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.355,133839.031062612,257889.702113443,23.1,41.6,0
3145113,2018-11-30 14:42:50,0.265556105,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.218016789257,μmol/L,29.1247605644007,°C,1018,hPa,Humid,36,0,0,23.354,133832.688319757,257877.948139538,23.1,41.6,0
3145123,2018-11-30 14:42:51,0.282363131666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.166254444487,μmol/L,29.1247605644007,°C,1018,hPa,Humid,36,0,0,23.358,133832.542344868,257880.855601684,23.1,41.6,0
3145131,2018-11-30 14:42:52,0.299227116666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.221043696236,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.356,133842.783265742,257882.87826897,23.1,41.6,0
3145144,2018-11-30 14:42:53,0.316085556666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.195160293571,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.358,133836.0650305,257886.123373688,23.1,41.6,0
3145152,2018-11-30 14:42:54,0.332075705,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.182220573389,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.359,133836.491372732,257873.414555606,23.1,41.6,0
3145165,2018-11-30 14:42:55,0.348905466666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.182220573389,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.359,133831.996744724,257869.55789879,23.1,41.6,0
3145173,2018-11-30 14:42:56,0.365797581666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.12744655136,μmol/L,29.1247605644007,°C,1018,hPa,Humid,36,0,0,23.361,133833.433683992,257877.252875014,23.1,41.6,0
3145190,2018-11-30 14:42:57,0.38259204,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.085619148541,μmol/L,29.1309356412917,°C,1018,hPa,Humid,36,0,0,23.362,133840.753148188,257858.286548753,23.1,41.6,0
3145196,2018-11-30 14:42:58,0.399396706666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.195160293571,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.358,133833.969733807,257872.474745235,23.1,41.6,0
3145201,2018-11-30 14:42:59,0.41543409,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.156345094402,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.361,133834.82678087,257867.164192364,23.1,41.6,0
3145213,2018-11-30 14:43:00,0.43255118,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.156345094402,μmol/L,29.1185854988762,°C,1018,hPa,Humid,36,0,0,23.361,133831.213981018,257864.303162757,23.1,41.6,0
3145225,2018-11-30 14:43:01,0.449478566666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,152.098550038175,μmol/L,29.1309356412917,°C,1018,hPa,Humid,36,0,0,23.361,133830.042796562,257865.814951478,23.1,41.6,0
