Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3163609,2018-11-30 15:45:06,0,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.755999073246,μmol/L,30.1141278903065,°C,1018,hPa,Humid,36,0,0,23.346,134948.751357251,275316.073049848,31.5,36,0
3163617,2018-11-30 15:45:07,0.01802134,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.771901394836,μmol/L,30.1079570565412,°C,1018,hPa,Humid,36,0,0,23.347,134920.716254209,275249.097243047,31.5,36,0
3163626,2018-11-30 15:45:08,0.0339702566666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.743512720113,μmol/L,30.1141278903065,°C,1018,hPa,Humid,36,0,0,23.347,134898.41463843,275209.735302883,31.5,36,0
3163634,2018-11-30 15:45:09,0.0492488016666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.759413922951,μmol/L,30.1079570565412,°C,1018,hPa,Humid,36,0,0,23.348,134888.34174747,275178.914405893,31.5,36,0
3163641,2018-11-30 15:45:10,0.0660485466666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.768486701691,μmol/L,30.1141278903065,°C,1018,hPa,Humid,36,0,0,23.345,134893.981553353,275157.283564208,31.5,36,0
3163646,2018-11-30 15:45:11,0.0828903233333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.771901394836,μmol/L,30.1079570565412,°C,1018,hPa,Humid,36,0,0,23.347,134875.11753643,275131.052440251,31.5,36,0
3163656,2018-11-30 15:45:12,0.09990595,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.771901394836,μmol/L,30.1079570565412,°C,1018,hPa,Humid,36,0,0,23.347,134862.850942869,275137.799510412,31.5,36,0
3163671,2018-11-30 15:45:13,0.116014218333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.76282587914,μmol/L,30.1017862341305,°C,1018,hPa,Humid,36,0,0,23.35,134877.840033288,275124.600312228,31.5,36,0
3163678,2018-11-30 15:45:14,0.132817626666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.746927726267,μmol/L,30.1079570565412,°C,1018,hPa,Humid,36,0,0,23.349,134872.852421283,275117.25191655,31.5,36,0
3163682,2018-11-30 15:45:15,0.149775018333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.746927726267,μmol/L,30.1079570565412,°C,1018,hPa,Humid,36,0,0,23.349,134878.597848228,275106.368043652,31.5,36,0
3163698,2018-11-30 15:45:16,0.167622268333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.718543839073,μmol/L,30.1141278903065,°C,1018,hPa,Humid,36,0,0,23.349,134880.895020375,275106.124775384,31.5,36,0
3163703,2018-11-30 15:45:17,0.18272909,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.750339839037,μmol/L,30.1017862341305,°C,1018,hPa,Humid,36,0,0,23.351,134863.512776276,275076.504301793,31.5,36,0
3163710,2018-11-30 15:45:18,0.199174676666667,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.746927726267,μmol/L,30.1079570565412,°C,1018,hPa,Humid,36,0,0,23.349,134883.598440965,275087.959407962,31.5,36,0
