Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3163610,2018-11-30 15:45:06,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.420416298952,μmol/L,30.0705900397493,°C,1019,hPa,Humid,36,0,0,21.748,121443.055701517,192105.684605412,26.25,55.3,0
3163616,2018-11-30 15:45:07,0.0261392133333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.329194033445,μmol/L,30.0766934045037,°C,1019,hPa,Humid,36,0,0,21.752,121436.564827401,192087.116481416,26.25,55.3,0
3163622,2018-11-30 15:45:08,0.04208813,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.314429673782,μmol/L,30.0766934045037,°C,1019,hPa,Humid,36,0,0,21.753,121415.711399211,192052.850392826,26.25,55.3,0
3163631,2018-11-30 15:45:09,0.057366675,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.346564488449,μmol/L,30.0705900397493,°C,1019,hPa,Humid,36,0,0,21.753,121413.497862591,192038.571518929,26.25,55.3,0
3163639,2018-11-30 15:45:10,0.0741498883333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.317034988533,μmol/L,30.0705900397493,°C,1019,hPa,Humid,36,0,0,21.755,121413.288333714,192024.385419722,26.25,55.3,0
3163651,2018-11-30 15:45:11,0.0910081966666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.270146211426,μmol/L,30.0766934045037,°C,1019,hPa,Humid,36,0,0,21.756,121413.172182402,192023.638243447,26.25,55.3,0
3163659,2018-11-30 15:45:12,0.108015453333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.243239282874,μmol/L,30.0705900397493,°C,1019,hPa,Humid,36,0,0,21.76,121414.14783029,192016.691255711,26.25,55.3,0
3163665,2018-11-30 15:45:13,0.123975018333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.257995219909,μmol/L,30.0705900397493,°C,1019,hPa,Humid,36,0,0,21.759,121412.846918448,192023.602853825,26.25,55.3,0
3163679,2018-11-30 15:45:14,0.1409355,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.228484947415,μmol/L,30.0705900397493,°C,1019,hPa,Humid,36,0,0,21.761,121425.662264839,192013.825102851,26.25,55.3,0
3163688,2018-11-30 15:45:15,0.157892891666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,168.211124024927,μmol/L,30.0766934045037,°C,1019,hPa,Humid,36,0,0,21.76,121429.409098418,192008.016021936,26.25,55.3,0
