Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3171877,2018-11-30 16:01:38,0,OXY1 (PSt7-10),2018-06-27 09:55:33,default,153.024196571819,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.097,111508.564245427,248549.341517676,26.6,20.1,0
3171882,2018-11-30 16:01:39,0.022912,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.893607973991,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.107,111495.881643653,248541.680311616,26.6,20.1,0
3171885,2018-11-30 16:01:40,0.0391833516666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.919714931184,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.105,111484.163019995,248527.095523154,26.6,20.1,0
3171893,2018-11-30 16:01:41,0.0556342433333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.971944986099,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.101,111476.744801447,248490.354154867,26.6,20.1,0
3171904,2018-11-30 16:01:42,0.0723186066666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.948790579652,μmol/L,29.6911065631366,°C,1019,hPa,Humid,36,0,0,23.105,111467.558474949,248494.235982853,26.6,20.1,0
3171907,2018-11-30 16:01:43,0.0891342733333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.903694099375,μmol/L,29.7033364994109,°C,1019,hPa,Humid,36,0,0,23.104,111462.918811407,248481.521983989,26.6,20.1,0
3171918,2018-11-30 16:01:44,0.106082961666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.919714931184,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.105,111473.607481523,248480.778069787,26.6,20.1,0
3171930,2018-11-30 16:01:45,0.12205985,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.932770427063,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.104,111477.963793023,248469.053644543,26.6,20.1,0
3171938,2018-11-30 16:01:46,0.138987023333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.919714931184,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.105,111475.804276018,248481.735164129,26.6,20.1,0
3171947,2018-11-30 16:01:47,0.155993568333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.893607973991,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.107,111482.341841388,248477.755160386,26.6,20.1,0
3171954,2018-11-30 16:01:48,0.171951968333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.887182454289,μmol/L,29.6972215256992,°C,1018,hPa,Humid,36,0,0,23.107,111485.299622567,248464.169145316,26.6,20.1,0
3171961,2018-11-30 16:01:49,0.188855561666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.845063919055,μmol/L,29.7033364994109,°C,1018,hPa,Humid,36,0,0,23.108,111494.663039901,248468.818704868,26.6,20.1,0
3171971,2018-11-30 16:01:50,0.205422458333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.867506394956,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.109,111496.573492266,248475.888725042,26.6,20.1,0
3171982,2018-11-30 16:01:51,0.221909106666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.867506394956,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.109,111505.676294494,248478.047486727,26.6,20.1,0
3171993,2018-11-30 16:01:52,0.23880406,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.84437533948,μmol/L,29.6911065631366,°C,1019,hPa,Humid,36,0,0,23.113,111506.190839005,248472.669492416,26.6,20.1,0
3171998,2018-11-30 16:01:53,0.25584243,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.789233911662,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.115,111506.044778468,248482.59845488,26.6,20.1,0
3172011,2018-11-30 16:01:54,0.27241248,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.8313294829,μmol/L,29.6911065631366,°C,1019,hPa,Humid,36,0,0,23.114,111508.722785004,248494.415704139,26.6,20.1,0
3172015,2018-11-30 16:01:55,0.28962577,OXY1 (PSt7-10),2018-06-27 09:55:33,default,152.789233911662,μmol/L,29.6972215256992,°C,1019,hPa,Humid,36,0,0,23.115,111515.128688697,248477.660567418,26.6,20.1,0
