Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3171894,2018-11-30 16:01:41,0,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.639238236955,μmol/L,29.711443630089,°C,1019,hPa,Humid,36,0,0,23.825,136383.210476391,257309.776410782,23.1,41.6,0
3171903,2018-11-30 16:01:42,0.0166676983333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.651360148263,μmol/L,29.711443630089,°C,1019,hPa,Humid,36,0,0,23.824,136378.139282497,257263.029054877,23.1,41.6,0
3171911,2018-11-30 16:01:43,0.033483365,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.654734723044,μmol/L,29.7052674844535,°C,1019,hPa,Humid,36,0,0,23.826,136326.952521669,257239.466382437,23.1,41.6,0
3171915,2018-11-30 16:01:44,0.0502661683333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.614998061645,μmol/L,29.711443630089,°C,1019,hPa,Humid,36,0,0,23.827,136317.313377471,257220.054081016,23.1,41.6,0
3171923,2018-11-30 16:01:45,0.0662991216666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.578646914443,μmol/L,29.711443630089,°C,1019,hPa,Humid,36,0,0,23.83,136322.281212822,257201.612406337,23.1,41.6,0
3171933,2018-11-30 16:01:46,0.083219825,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.6459849714,μmol/L,29.6990913501904,°C,1019,hPa,Humid,36,0,0,23.829,136323.909204073,257200.042125256,23.1,41.6,0
3171944,2018-11-30 16:01:47,0.09959865,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.582022221107,μmol/L,29.7052674844535,°C,1019,hPa,Humid,36,0,0,23.832,136330.000731295,257200.79102133,23.1,41.6,0
3171958,2018-11-30 16:01:48,0.116524595,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.636573284626,μmol/L,29.7052674844535,°C,1018,hPa,Humid,36,0,0,23.827,136329.726870258,257209.582699274,23.1,41.6,0
3171959,2018-11-30 16:01:49,0.133204653333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.582022221107,μmol/L,29.7052674844535,°C,1019,hPa,Humid,36,0,0,23.832,136333.219861732,257194.397933547,23.1,41.6,0
3171975,2018-11-30 16:01:50,0.149755005,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.621745284659,μmol/L,29.6990913501904,°C,1019,hPa,Humid,36,0,0,23.831,136330.883391573,257184.778722274,23.1,41.6,0
3171985,2018-11-30 16:01:51,0.166916631666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.609627264298,μmol/L,29.6990913501904,°C,1019,hPa,Humid,36,0,0,23.832,136331.822789255,257190.799279487,23.1,41.6,0
3171991,2018-11-30 16:01:52,0.183153151666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.554418891534,μmol/L,29.711443630089,°C,1019,hPa,Humid,36,0,0,23.832,136339.928117836,257189.865592396,23.1,41.6,0
3172000,2018-11-30 16:01:53,0.20019979,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.582022221107,μmol/L,29.7052674844535,°C,1019,hPa,Humid,36,0,0,23.832,136339.404700311,257193.542974828,23.1,41.6,0
3172009,2018-11-30 16:01:54,0.216761571666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.569907723861,μmol/L,29.7052674844535,°C,1019,hPa,Humid,36,0,0,23.833,136339.642208349,257191.905162477,23.1,41.6,0
3172019,2018-11-30 16:01:55,0.233884456666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.567245993957,μmol/L,29.6990913501904,°C,1018,hPa,Humid,36,0,0,23.835,136341.255292068,257188.176336766,23.1,41.6,0
3172026,2018-11-30 16:01:56,0.249697343333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.536944653743,μmol/L,29.6990913501904,°C,1019,hPa,Humid,36,0,0,23.838,136346.082066129,257183.436807735,23.1,41.6,0
3172038,2018-11-30 16:01:57,0.266577695,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.545682373358,μmol/L,29.7052674844535,°C,1019,hPa,Humid,36,0,0,23.835,136346.92956427,257190.871437825,23.1,41.6,0
3172042,2018-11-30 16:01:58,0.283378648333333,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.573280493248,μmol/L,29.6990913501904,°C,1019,hPa,Humid,36,0,0,23.835,136345.376612084,257183.609924266,23.1,41.6,0
3172049,2018-11-30 16:01:59,0.300306155,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.509353455081,μmol/L,29.7052674844535,°C,1019,hPa,Humid,36,0,0,23.838,136349.00786458,257184.747406305,23.1,41.6,0
3172060,2018-11-30 16:02:00,0.316380126666667,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.505977420252,μmol/L,29.711443630089,°C,1019,hPa,Humid,36,0,0,23.836,136348.746124619,257190.803129244,23.1,41.6,0
3172074,2018-11-30 16:02:01,0.333293315,OXY9 (PSt7-10),2018-06-22 13:46:20,default,143.509353455081,μmol/L,29.7052674844535,°C,1019,hPa,Humid,36,0,0,23.838,136357.084660732,257182.576719829,23.1,41.6,0
