Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3163614,2018-11-30 15:45:07,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.752272011381,μmol/L,29.9879224344177,°C,1018,hPa,Humid,36,0,0,25.065,139445.737819987,412558.086477049,28.35,51.6,0
3163624,2018-11-30 15:45:08,0.0220083916666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.784051461311,μmol/L,29.9879224344177,°C,1018,hPa,Humid,36,0,0,25.062,139427.505404479,412504.8450976,28.35,51.6,0
3163633,2018-11-30 15:45:09,0.037304085,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.755688875726,μmol/L,29.981772559785,°C,1018,hPa,Humid,36,0,0,25.067,139402.350476812,412439.071022083,28.35,51.6,0
3163642,2018-11-30 15:45:10,0.0542217116666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.664151926542,μmol/L,29.9940723203276,°C,1018,hPa,Humid,36,0,0,25.071,139386.803109884,412411.708120663,28.35,51.6,0
3163653,2018-11-30 15:45:11,0.0710779116666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.741680892088,μmol/L,29.9879224344177,°C,1018,hPa,Humid,36,0,0,25.066,139383.376294565,412385.176047327,28.35,51.6,0
3163657,2018-11-30 15:45:12,0.087935715,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.713330529917,μmol/L,29.981772559785,°C,1018,hPa,Humid,36,0,0,25.071,139380.550281559,412371.816224008,28.35,51.6,0
3163667,2018-11-30 15:45:13,0.10389528,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.688740519723,μmol/L,29.9879224344177,°C,1018,hPa,Humid,36,0,0,25.071,139376.769544418,412352.190557766,28.35,51.6,0
3163674,2018-11-30 15:45:14,0.120855761666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.688740519723,μmol/L,29.9879224344177,°C,1018,hPa,Humid,36,0,0,25.071,139379.297609656,412340.280950402,28.35,51.6,0
3163685,2018-11-30 15:45:15,0.13782151,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.688740519723,μmol/L,29.9879224344177,°C,1018,hPa,Humid,36,0,0,25.071,139372.523359457,412326.224558166,28.35,51.6,0
3163693,2018-11-30 15:45:16,0.15397403,OXY5 (PSt7-10),2018-06-27 09:56:23,default,127.6040886683,μmol/L,29.9879224344177,°C,1018,hPa,Humid,36,0,0,25.079,139369.273060676,412336.956819296,28.35,51.6,0
