Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3171880,2018-11-30 16:01:39,0,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.462326637854,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.273,129977.745453759,264864.607320511,25.2,46,0
3171884,2018-11-30 16:01:40,0.0162713516666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.439126517953,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.275,129941.371805633,264817.653416181,25.2,46,0
3171892,2018-11-30 16:01:41,0.0327389083333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.45407414512,μmol/L,29.7032174645342,°C,1018,hPa,Humid,36,0,0,24.276,129902.429099314,264796.508673418,25.2,46,0
3171901,2018-11-30 16:01:42,0.0494066066666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.374441157601,μmol/L,29.7216911153105,°C,1018,hPa,Humid,36,0,0,24.276,129896.707284981,264766.825018193,25.2,46,0
3171912,2018-11-30 16:01:43,0.0662222733333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.450726005765,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.274,129916.845087783,264758.850634205,25.2,46,0
3171919,2018-11-30 16:01:44,0.0831709616666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.389388849462,μmol/L,29.7155332204125,°C,1018,hPa,Humid,36,0,0,24.277,129916.708373178,264763.617002261,25.2,46,0
3171928,2018-11-30 16:01:45,0.09914785,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.400983845892,μmol/L,29.7155332204125,°C,1018,hPa,Humid,36,0,0,24.276,129910.468469436,264742.146440158,25.2,46,0
3171939,2018-11-30 16:01:46,0.116075023333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.462326637854,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.273,129921.885949074,264757.57683961,25.2,46,0
3171949,2018-11-30 16:01:47,0.133081568333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.331431018162,μmol/L,29.7155332204125,°C,1018,hPa,Humid,36,0,0,24.282,129920.035329764,264749.497919134,25.2,46,0
3171953,2018-11-30 16:01:48,0.149039968333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.392740006385,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.279,129920.731690309,264743.62101241,25.2,46,0
3171964,2018-11-30 16:01:49,0.165943561666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.404334918635,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.278,129914.873384414,264739.366797832,25.2,46,0
3171968,2018-11-30 16:01:50,0.182493913333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.357962130034,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.282,129916.865950338,264740.260114653,25.2,46,0
3171981,2018-11-30 16:01:51,0.19965554,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.369553612239,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.281,129913.802436514,264736.393615309,25.2,46,0
3171992,2018-11-30 16:01:52,0.21589206,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.334782594585,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.284,129918.760216671,264743.1071857,25.2,46,0
3172003,2018-11-30 16:01:53,0.23293043,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.369553612239,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.281,129928.208975985,264733.764253516,25.2,46,0
3172004,2018-11-30 16:01:54,0.249484626666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.334782594585,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.284,129924.131738388,264736.497393409,25.2,46,0
3172018,2018-11-30 16:01:55,0.266408433333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.308255886483,μmol/L,29.7155332204125,°C,1018,hPa,Humid,36,0,0,24.284,129934.5677422,264749.073259676,25.2,46,0
3172029,2018-11-30 16:01:56,0.282422218333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,138.357962130034,μmol/L,29.7093753368208,°C,1018,hPa,Humid,36,0,0,24.282,129931.120592536,264745.886212816,25.2,46,0
