Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3069673,2018-11-30 10:21:02,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.132237256726,μmol/L,31.9205511428472,°C,1019,hPa,Humid,36,0,0,22.33,118796.230020025,254597.974852502,26.25,50.3,0
3069683,2018-11-30 10:21:03,0.02268036,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.048854116394,μmol/L,31.9266976926015,°C,1019,hPa,Humid,36,0,0,22.334,118760.643315527,254554.101846399,26.25,50.3,0
3069692,2018-11-30 10:21:04,0.039482805,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.075214400559,μmol/L,31.9266976926015,°C,1019,hPa,Humid,36,0,0,22.332,118720.105089466,254527.40459327,26.25,50.3,0
3069701,2018-11-30 10:21:05,0.0562818083333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.079500553188,μmol/L,31.9205511428472,°C,1019,hPa,Humid,36,0,0,22.334,118691.749936638,254500.466192403,26.25,50.3,0
3069710,2018-11-30 10:21:06,0.0730636116666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.026786234466,μmol/L,31.9205511428472,°C,1019,hPa,Humid,36,0,0,22.338,118678.777541766,254485.584724509,26.25,50.3,0
3069720,2018-11-30 10:21:07,0.0898607133333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.075214400559,μmol/L,31.9266976926015,°C,1019,hPa,Humid,36,0,0,22.332,118663.372631425,254473.192452037,26.25,50.3,0
3069729,2018-11-30 10:21:08,0.106636715,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.044245387299,μmol/L,31.9144046043639,°C,1019,hPa,Humid,36,0,0,22.339,118648.804671213,254464.863787567,26.25,50.3,0
3069737,2018-11-30 10:21:09,0.122615718333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.057423103763,μmol/L,31.9144046043639,°C,1019,hPa,Humid,36,0,0,22.338,118633.581281183,254466.432913659,26.25,50.3,0
3069747,2018-11-30 10:21:10,0.139413933333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.026786234466,μmol/L,31.9205511428472,°C,1019,hPa,Humid,36,0,0,22.338,118631.685578577,254455.388887964,26.25,50.3,0
3069756,2018-11-30 10:21:11,0.156213326666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.053140596535,μmol/L,31.9205511428472,°C,1019,hPa,Humid,36,0,0,22.336,118622.40323221,254457.346753095,26.25,50.3,0
3069765,2018-11-30 10:21:12,0.173074246666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.026786234466,μmol/L,31.9205511428472,°C,1019,hPa,Humid,36,0,0,22.338,118611.542129088,254444.230718265,26.25,50.3,0
3069774,2018-11-30 10:21:13,0.189863338333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.070602218746,μmol/L,31.9144046043639,°C,1019,hPa,Humid,36,0,0,22.337,118609.348162964,254435.249180514,26.25,50.3,0
3069785,2018-11-30 10:21:14,0.206671893333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.039962716278,μmol/L,31.9205511428472,°C,1019,hPa,Humid,36,0,0,22.337,118593.432055623,254445.520694023,26.25,50.3,0
3069792,2018-11-30 10:21:15,0.222621091666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.039962716278,μmol/L,31.9205511428472,°C,1019,hPa,Humid,36,0,0,22.337,118588.009634234,254445.44428217,26.25,50.3,0
3069802,2018-11-30 10:21:16,0.239423146666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.083782732451,μmol/L,31.9144046043639,°C,1019,hPa,Humid,36,0,0,22.336,118579.357903488,254434.190941575,26.25,50.3,0
3069811,2018-11-30 10:21:17,0.256229148333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.083782732451,μmol/L,31.9144046043639,°C,1019,hPa,Humid,36,0,0,22.336,118572.12380165,254452.854923036,26.25,50.3,0
3069820,2018-11-30 10:21:18,0.273023625,OXY7 (PSt7-10),2018-06-27 09:56:49,default,152.031069069154,μmol/L,31.9144046043639,°C,1019,hPa,Humid,36,0,0,22.34,118561.728237779,254431.734099358,26.25,50.3,0
3069830,2018-11-30 10:21:19,0.289812773333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,151.987265177668,μmol/L,31.9205511428472,°C,1019,hPa,Humid,36,0,0,22.341,118551.974992983,254430.867389432,26.25,50.3,0
