Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3069648,2018-11-30 10:20:57,0,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.217410663616,μmol/L,31.7930164516442,°C,1019,hPa,Humid,36,0,0,22.762,121414.249407842,277029.969619464,31.5,36,0
3069653,2018-11-30 10:20:58,0.0177500283333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.175363363346,μmol/L,31.7991903874945,°C,1019,hPa,Humid,36,0,0,22.763,121411.18806677,276922.20993818,31.5,36,0
3069659,2018-11-30 10:20:59,0.03456567,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.213087421472,μmol/L,31.7991903874945,°C,1019,hPa,Humid,36,0,0,22.76,121405.183308437,276850.661529415,31.5,36,0
3069663,2018-11-30 10:21:00,0.0513631183333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.229987863309,μmol/L,31.7930164516442,°C,1019,hPa,Humid,36,0,0,22.761,121412.206502887,276808.012221754,31.5,36,0
3069670,2018-11-30 10:21:01,0.06818399,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.179686944432,μmol/L,31.7930164516442,°C,1019,hPa,Humid,36,0,0,22.765,121422.83618132,276777.721854408,31.5,36,0
3069677,2018-11-30 10:21:02,0.084997825,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.192260204365,μmol/L,31.7930164516442,°C,1019,hPa,Humid,36,0,0,22.764,121434.867731734,276733.795826912,31.5,36,0
3069686,2018-11-30 10:21:03,0.100938453333333,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.167114997379,μmol/L,31.7930164516442,°C,1019,hPa,Humid,36,0,0,22.766,121436.91067221,276711.557965401,31.5,36,0
3069695,2018-11-30 10:21:04,0.11773278,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.221730076428,μmol/L,31.7868425271645,°C,1019,hPa,Humid,36,0,0,22.764,121459.503743143,276690.343743127,31.5,36,0
3069703,2018-11-30 10:21:05,0.134523885,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.162791303538,μmol/L,31.7991903874945,°C,1019,hPa,Humid,36,0,0,22.764,121478.333520578,276672.745963587,31.5,36,0
3069711,2018-11-30 10:21:06,0.15135529,OXY3 (PSt7-10),2018-06-27 09:55:59,default,146.15886434127,μmol/L,31.7868425271645,°C,1019,hPa,Humid,36,0,0,22.769,121493.257223495,276657.137060057,31.5,36,0
