Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3069649,2018-11-30 10:20:57,0,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.671959636557,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.807,117146.281479976,266177.094380827,25.2,46,0
3069654,2018-11-30 10:20:58,0.0118404466666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.608980301139,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.812,117113.635483285,266121.398039861,25.2,46,0
3069660,2018-11-30 10:20:59,0.0286560883333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.65500514704,μmol/L,31.8098694278351,°C,1019,hPa,Humid,36,0,0,22.806,117111.536606045,266118.060249073,25.2,46,0
3069666,2018-11-30 10:21:00,0.0454535366666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.571208449022,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.815,117105.632384416,266103.48857677,25.2,46,0
3069672,2018-11-30 10:21:01,0.06225787,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.659361143746,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.808,117097.390179099,266092.236003013,25.2,46,0
3069679,2018-11-30 10:21:02,0.0790716866666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.608980301139,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.812,117097.031675564,266083.892163664,25.2,46,0
3069685,2018-11-30 10:21:03,0.09499572,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.608980301139,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.812,117104.245613293,266071.306275791,25.2,46,0
3069697,2018-11-30 10:21:04,0.111806131666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.566851690128,μmol/L,31.8098694278351,°C,1019,hPa,Humid,36,0,0,22.813,117112.193446012,266066.886834374,25.2,46,0
3069704,2018-11-30 10:21:05,0.128597745,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.529091318735,μmol/L,31.8098694278351,°C,1019,hPa,Humid,36,0,0,22.816,117103.933045201,266060.430405431,25.2,46,0
3069714,2018-11-30 10:21:06,0.14542917,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.579441104055,μmol/L,31.8098694278351,°C,1019,hPa,Humid,36,0,0,22.812,117105.649421204,266067.386112592,25.2,46,0
3069723,2018-11-30 10:21:07,0.162226291666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.596388371712,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.813,117116.702669386,266057.263554579,25.2,46,0
3069734,2018-11-30 10:21:08,0.179034776666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.516507151111,μmol/L,31.8098694278351,°C,1019,hPa,Humid,36,0,0,22.817,117118.728767897,266049.850416457,25.2,46,0
3069735,2018-11-30 10:21:09,0.195012288333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.546033773306,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.817,117117.577780758,266042.877285464,25.2,46,0
3069744,2018-11-30 10:21:10,0.211804281666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.533448402597,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.818,117122.979010108,266049.988910961,25.2,46,0
3069753,2018-11-30 10:21:11,0.228611948333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.520864343071,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.819,117121.445677424,266060.579368497,25.2,46,0
3069762,2018-11-30 10:21:12,0.245456343333333,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.571208449022,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.815,117130.633623424,266051.745117183,25.2,46,0
3069771,2018-11-30 10:21:13,0.262261921666667,OXY4 (PSt7-10),2018-06-27 09:56:10,default,146.546033773306,μmol/L,31.8037076967921,°C,1019,hPa,Humid,36,0,0,22.817,117129.595709513,266058.361705742,25.2,46,0
