Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3103244,2018-11-30 11:58:47,0,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.683236278668,μmol/L,32.183098307421,°C,1019,hPa,Humid,36,0,0,23.545,137697.617757133,263587.936244263,27.3,49.2,0
3103246,2018-11-30 11:58:48,0.00943728666666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.62129204153,μmol/L,32.1892159325739,°C,1019,hPa,Humid,36,0,0,23.548,137640.380101828,263527.01977425,27.3,49.2,0
3103259,2018-11-30 11:58:49,0.0261097233333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.694745616155,μmol/L,32.183098307421,°C,1019,hPa,Humid,36,0,0,23.544,137655.953412297,263536.985943695,27.3,49.2,0
3103268,2018-11-30 11:58:50,0.0429277883333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.667313166518,μmol/L,32.1892159325739,°C,1019,hPa,Humid,36,0,0,23.544,137641.865492737,263525.551243981,27.3,49.2,0
3103271,2018-11-30 11:58:51,0.0597034366666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.648715266269,μmol/L,32.183098307421,°C,1019,hPa,Humid,36,0,0,23.548,137639.188138545,263502.386824423,27.3,49.2,0
3103285,2018-11-30 11:58:52,0.0764953416666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.660221103887,μmol/L,32.183098307421,°C,1019,hPa,Humid,36,0,0,23.547,137642.964199079,263503.982256067,27.3,49.2,0
3103294,2018-11-30 11:58:53,0.0932905116666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.648715266269,μmol/L,32.183098307421,°C,1019,hPa,Humid,36,0,0,23.548,137642.591948175,263495.474895711,27.3,49.2,0
3103302,2018-11-30 11:58:54,0.109245273333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.648715266269,μmol/L,32.183098307421,°C,1019,hPa,Humid,36,0,0,23.548,137635.95432299,263497.860905795,27.3,49.2,0
3103312,2018-11-30 11:58:55,0.126032916666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.61420475056,μmol/L,32.183098307421,°C,1019,hPa,Humid,36,0,0,23.551,137632.500406354,263498.588827108,27.3,49.2,0
3103320,2018-11-30 11:58:56,0.142797666666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.644300271244,μmol/L,32.1892159325739,°C,1019,hPa,Humid,36,0,0,23.546,137636.485799967,263493.512309129,27.3,49.2,0
3103329,2018-11-30 11:58:57,0.159591748333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,135.62129204153,μmol/L,32.1892159325739,°C,1019,hPa,Humid,36,0,0,23.548,137636.658171798,263498.247348643,27.3,49.2,0
