Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3086576,2018-11-30 11:21:29,0,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.324889511896,μmol/L,32.1035701965402,°C,1019,hPa,Humid,36,0,0,22.613,131490.058629252,264808.70050468,27.3,49.2,0
3086577,2018-11-30 11:21:30,0.0102356383333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.316474766685,μmol/L,32.0974527277099,°C,1019,hPa,Humid,36,0,0,22.616,131440.752386306,264698.083032721,27.3,49.2,0
3086592,2018-11-30 11:21:31,0.0270644316666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.316474766685,μmol/L,32.0974527277099,°C,1019,hPa,Humid,36,0,0,22.616,131425.250356317,264669.892318762,27.3,49.2,0
3086599,2018-11-30 11:21:32,0.0430304016666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.384284970957,μmol/L,32.0913352700445,°C,1019,hPa,Humid,36,0,0,22.613,131408.321349745,264626.719342441,27.3,49.2,0
3086605,2018-11-30 11:21:33,0.0598138416666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.346165311799,μmol/L,32.0913352700445,°C,1019,hPa,Humid,36,0,0,22.616,131395.071277527,264604.586835939,27.3,49.2,0
3086616,2018-11-30 11:21:34,0.07687758,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.354586809235,μmol/L,32.0974527277099,°C,1019,hPa,Humid,36,0,0,22.613,131381.933983096,264581.052597443,27.3,49.2,0
3086621,2018-11-30 11:21:35,0.093646665,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.248692661184,μmol/L,32.1035701965402,°C,1019,hPa,Humid,36,0,0,22.619,131372.534103463,264570.749732505,27.3,49.2,0
3086629,2018-11-30 11:21:36,0.109729578333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.33346142708,μmol/L,32.0913352700445,°C,1019,hPa,Humid,36,0,0,22.617,131369.579266651,264548.96567724,27.3,49.2,0
3086641,2018-11-30 11:21:37,0.126536233333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.303773420304,μmol/L,32.0974527277099,°C,1019,hPa,Humid,36,0,0,22.617,131359.635794804,264533.013457344,27.3,49.2,0
3086651,2018-11-30 11:21:38,0.143352761666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.265677381896,μmol/L,32.0974527277099,°C,1019,hPa,Humid,36,0,0,22.62,131359.518622759,264522.908271743,27.3,49.2,0
3086661,2018-11-30 11:21:39,0.160176301666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.308057658996,μmol/L,32.0913352700445,°C,1019,hPa,Humid,36,0,0,22.619,131359.604197725,264509.817373452,27.3,49.2,0
3086671,2018-11-30 11:21:40,0.17701836,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.265677381896,μmol/L,32.0974527277099,°C,1019,hPa,Humid,36,0,0,22.62,131350.295178887,264508.423116642,27.3,49.2,0
3086672,2018-11-30 11:21:41,0.19300292,OXY8 (PSt7-10),2018-06-27 09:57:01,default,147.278374728101,μmol/L,32.0974527277099,°C,1019,hPa,Humid,36,0,0,22.619,131359.040573735,264495.186508501,27.3,49.2,0
