Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3086584,2018-11-30 11:21:30,0,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.126792549811,μmol/L,32.2913248512746,°C,1019,hPa,Humid,36,0,0,23.768,124933.885329624,359687.352305116,24.15,57.3,0
3086587,2018-11-30 11:21:31,0.0151177716666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.077231707126,μmol/L,32.2974585070915,°C,1019,hPa,Humid,36,0,0,23.77,124892.617039777,359639.601286966,24.15,57.3,0
3086600,2018-11-30 11:21:32,0.03197187,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.09971623126,μmol/L,32.2974585070915,°C,1019,hPa,Humid,36,0,0,23.768,124864.108562583,359608.019298396,24.15,57.3,0
3086608,2018-11-30 11:21:33,0.04875638,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.072640644489,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.768,124855.883891424,359569.52795737,24.15,57.3,0
3086612,2018-11-30 11:21:34,0.0647887916666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.027685182828,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.772,124815.358385546,359542.274513841,24.15,57.3,0
3086623,2018-11-30 11:21:35,0.0815640316666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.000619392534,μmol/L,32.3097258524022,°C,1019,hPa,Humid,36,0,0,23.772,124803.596857896,359531.045771024,24.15,57.3,0
3086633,2018-11-30 11:21:36,0.09848298,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.023090331079,μmol/L,32.3097258524022,°C,1019,hPa,Humid,36,0,0,23.77,124783.663542522,359515.087719366,24.15,57.3,0
3086644,2018-11-30 11:21:37,0.115293253333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.027685182828,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.772,124770.980156962,359520.092283632,24.15,57.3,0
3086653,2018-11-30 11:21:38,0.132073018333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.00980524735,μmol/L,32.2974585070915,°C,1019,hPa,Humid,36,0,0,23.776,124762.388528152,359510.712810222,24.15,57.3,0
3086660,2018-11-30 11:21:39,0.14885036,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.978152970529,μmol/L,32.3097258524022,°C,1019,hPa,Humid,36,0,0,23.774,124749.77944272,359483.188453068,24.15,57.3,0
3086665,2018-11-30 11:21:40,0.164800226666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,133.005214228792,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.774,124741.345779713,359489.443592386,24.15,57.3,0
3086678,2018-11-30 11:21:41,0.181585691666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.933233671169,μmol/L,32.3097258524022,°C,1019,hPa,Humid,36,0,0,23.778,124744.311348088,359483.029639428,24.15,57.3,0
3086686,2018-11-30 11:21:42,0.198422521666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.955691063822,μmol/L,32.3097258524022,°C,1019,hPa,Humid,36,0,0,23.776,124730.560820636,359488.147131962,24.15,57.3,0
3086696,2018-11-30 11:21:43,0.215197593333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.926601446619,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.781,124728.976018046,359492.978263121,24.15,57.3,0
3086705,2018-11-30 11:21:44,0.232022358333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.937828458939,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.78,124729.615073244,359464.614284202,24.15,57.3,0
3086716,2018-11-30 11:21:45,0.248819285,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.96028586809,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.778,124703.86806979,359466.335544727,24.15,57.3,0
3086719,2018-11-30 11:21:46,0.264753375,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.937828458939,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.78,124701.697245245,359469.486169575,24.15,57.3,0
3086730,2018-11-30 11:21:47,0.281546675,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.892927176821,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.784,124685.273901268,359447.986127711,24.15,57.3,0
3086743,2018-11-30 11:21:48,0.298333456666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.899556043324,μmol/L,32.3097258524022,°C,1019,hPa,Humid,36,0,0,23.781,124694.859164607,359456.367058015,24.15,57.3,0
3086748,2018-11-30 11:21:49,0.315147255,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.910780791328,μmol/L,32.3097258524022,°C,1019,hPa,Humid,36,0,0,23.78,124683.457114065,359449.991711171,24.15,57.3,0
3086755,2018-11-30 11:21:50,0.331941726666667,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.848043934674,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.788,124690.60294995,359450.7977899,24.15,57.3,0
3086767,2018-11-30 11:21:51,0.348764473333333,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.843449216254,μmol/L,32.3097258524022,°C,1019,hPa,Humid,36,0,0,23.786,124640.411088006,359444.792794706,24.15,57.3,0
3086773,2018-11-30 11:21:52,0.36476788,OXY_10 (PSt7-10),2018-06-22 13:48:41,default,132.904150805716,μmol/L,32.3035921741339,°C,1019,hPa,Humid,36,0,0,23.783,124642.449114195,359438.603587165,24.15,57.3,0
