Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3103239,2018-11-30 11:58:47,0,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.511934127219,μmol/L,32.4061633052715,°C,1019,hPa,Humid,36,0,0,23.846,124033.392635962,253222.282071991,26.25,50.3,0
3103252,2018-11-30 11:58:48,0.0163268816666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.507232756724,μmol/L,32.4123107456512,°C,1019,hPa,Humid,36,0,0,23.844,124018.38419785,253172.316986378,26.25,50.3,0
3103255,2018-11-30 11:58:49,0.0329496416666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.467442741563,μmol/L,32.4123107456512,°C,1018,hPa,Humid,36,0,0,23.847,124012.868537598,253148.312081376,26.25,50.3,0
3103264,2018-11-30 11:58:50,0.049709855,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.380495460742,μmol/L,32.4184581973068,°C,1019,hPa,Humid,36,0,0,23.853,124006.26120177,253123.878824449,26.25,50.3,0
3103275,2018-11-30 11:58:51,0.0666006783333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.396179140387,μmol/L,32.4184581973068,°C,1018,hPa,Humid,36,0,0,23.851,124006.365759293,253124.853308051,26.25,50.3,0
3103288,2018-11-30 11:58:52,0.0834101966666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.407269080008,μmol/L,32.4184581973068,°C,1018,hPa,Humid,36,0,0,23.85,124003.22277201,253112.158031636,26.25,50.3,0
3103295,2018-11-30 11:58:53,0.100246743333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.38509031226,μmol/L,32.4184581973068,°C,1018,hPa,Humid,36,0,0,23.852,124003.147089149,253106.048296532,26.25,50.3,0
3103305,2018-11-30 11:58:54,0.11625185,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.427770635129,μmol/L,32.4061633052715,°C,1018,hPa,Humid,36,0,0,23.853,124012.825647996,253102.37002935,26.25,50.3,0
3103311,2018-11-30 11:58:55,0.133077478333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.400886269786,μmol/L,32.4123107456512,°C,1018,hPa,Humid,36,0,0,23.853,124007.75435473,253097.914932061,26.25,50.3,0
3103316,2018-11-30 11:58:56,0.149885001666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.389797415327,μmol/L,32.4123107456512,°C,1018,hPa,Humid,36,0,0,23.854,124009.125627447,253084.824391735,26.25,50.3,0
3103331,2018-11-30 11:58:57,0.166705143333333,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.347237333282,μmol/L,32.4184581973068,°C,1019,hPa,Humid,36,0,0,23.856,124020.635043599,253093.82271972,26.25,50.3,0
3103336,2018-11-30 11:58:58,0.182869645,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.325070802494,μmol/L,32.4184581973068,°C,1019,hPa,Humid,36,0,0,23.858,124027.048754222,253103.446600712,26.25,50.3,0
3103349,2018-11-30 11:58:59,0.199641405,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.358322264779,μmol/L,32.4184581973068,°C,1019,hPa,Humid,36,0,0,23.855,124019.606604386,253088.668390458,26.25,50.3,0
3103352,2018-11-30 11:59:00,0.216447765,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.374113228505,μmol/L,32.4123107456512,°C,1019,hPa,Humid,36,0,0,23.856,124024.920981308,253091.234331704,26.25,50.3,0
3103368,2018-11-30 11:59:01,0.233402361666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.287120739821,μmol/L,32.4246056602392,°C,1019,hPa,Humid,36,0,0,23.859,124035.521595992,253094.82870899,26.25,50.3,0
3103375,2018-11-30 11:59:02,0.250671201666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.351942201741,μmol/L,32.4123107456512,°C,1019,hPa,Humid,36,0,0,23.858,124035.740792291,253087.663209629,26.25,50.3,0
3103386,2018-11-30 11:59:03,0.266433636666667,OXY7 (PSt7-10),2018-06-27 09:56:49,default,131.296419682725,μmol/L,32.4184581973068,°C,1018,hPa,Humid,36,0,0,23.86,124042.566183793,253095.121842949,26.25,50.3,0
