Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3103237,2018-11-30 11:58:46,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.113234714068,μmol/L,32.054919161832,°C,1018,hPa,Humid,36,0,0,24.81,135480.933943221,411601.314075099,28.35,51.6,0
3103241,2018-11-30 11:58:47,0.0149069483333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.088477710222,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.81,135442.32297962,411518.298648781,28.35,51.6,0
3103247,2018-11-30 11:58:48,0.030546915,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.047835068095,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.814,135423.614037828,411460.901718634,28.35,51.6,0
3103260,2018-11-30 11:58:49,0.0472193516666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.06815442285,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.812,135417.60449807,411446.0528175,28.35,51.6,0
3103265,2018-11-30 11:58:50,0.064020915,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.06815442285,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.812,135423.666389361,411410.539022275,28.35,51.6,0
3103277,2018-11-30 11:58:51,0.0808290616666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.133566019143,μmol/L,32.054919161832,°C,1018,hPa,Humid,36,0,0,24.808,135419.362501891,411419.766315673,28.35,51.6,0
3103284,2018-11-30 11:58:52,0.09763858,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.002775630997,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.816,135417.868560275,411392.529441721,28.35,51.6,0
3103296,2018-11-30 11:58:53,0.114475126666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.037676865121,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.815,135426.75710169,411389.390065025,28.35,51.6,0
3103304,2018-11-30 11:58:54,0.130480233333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.002775630997,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.816,135421.032136527,411375.83738416,28.35,51.6,0
3103309,2018-11-30 11:58:55,0.147305861666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.047835068095,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.814,135415.83031338,411375.289669587,28.35,51.6,0
3103322,2018-11-30 11:58:56,0.164113385,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.062423662317,μmol/L,32.054919161832,°C,1018,hPa,Humid,36,0,0,24.815,135422.145043795,411374.664717068,28.35,51.6,0
3103330,2018-11-30 11:58:57,0.180933526666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.04340224502,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.812,135423.678031464,411377.911626838,28.35,51.6,0
3103341,2018-11-30 11:58:58,0.197102943333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.02751964491,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.816,135429.897753353,411366.037027018,28.35,51.6,0
3103351,2018-11-30 11:58:59,0.213869788333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.02751964491,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.816,135431.217097085,411376.500611913,28.35,51.6,0
3103355,2018-11-30 11:59:00,0.230874516666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.06815442285,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.812,135434.809785434,411360.250697651,28.35,51.6,0
3103369,2018-11-30 11:59:01,0.247680341666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.002775630997,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.816,135429.083530705,411358.525226478,28.35,51.6,0
3103374,2018-11-30 11:59:02,0.264899585,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.06815442285,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.812,135421.403174423,411365.574480077,28.35,51.6,0
3103382,2018-11-30 11:59:03,0.28066202,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.033244117405,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.813,135431.060600954,411366.494626351,28.35,51.6,0
3103391,2018-11-30 11:59:04,0.297503191666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.012930810525,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.815,135426.469485374,411357.943226426,28.35,51.6,0
3103399,2018-11-30 11:59:05,0.313683591666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.057994253961,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.813,135421.694834818,411355.472206416,28.35,51.6,0
3103413,2018-11-30 11:59:06,0.33052723,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.023086972617,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.814,135427.724747935,411351.960558295,28.35,51.6,0
3103417,2018-11-30 11:59:07,0.347316578333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.06815442285,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.812,135421.74143109,411356.014130541,28.35,51.6,0
3103426,2018-11-30 11:59:08,0.364118565,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.037676865121,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.815,135422.769221844,411351.493503713,28.35,51.6,0
3103435,2018-11-30 11:59:09,0.38090931,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.078315574893,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.811,135438.355093582,411353.220518885,28.35,51.6,0
3103444,2018-11-30 11:59:10,0.397720245,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.06815442285,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.812,135438.926297312,411356.516257784,28.35,51.6,0
3103459,2018-11-30 11:59:11,0.413748346666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.072583906227,μmol/L,32.054919161832,°C,1018,hPa,Humid,36,0,0,24.814,135442.204442302,411362.967945615,28.35,51.6,0
3103462,2018-11-30 11:59:12,0.430527368333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.047835068095,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.814,135445.818009929,411345.985574397,28.35,51.6,0
3103472,2018-11-30 11:59:13,0.447298978333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.023086972617,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.814,135436.907814617,411340.698190449,28.35,51.6,0
3103481,2018-11-30 11:59:14,0.464096463333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.084044586362,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.808,135439.365639969,411363.528330531,28.35,51.6,0
3103493,2018-11-30 11:59:15,0.480899436666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.053561355592,μmol/L,32.0672265301214,°C,1018,hPa,Humid,36,0,0,24.811,135445.583036704,411353.55490271,28.35,51.6,0
3103500,2018-11-30 11:59:16,0.497690725,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.057994253961,μmol/L,32.0610728403281,°C,1018,hPa,Humid,36,0,0,24.813,135446.102631031,411352.001913183,28.35,51.6,0
