Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3103233,2018-11-30 11:58:45,0,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.512038070507,μmol/L,32.2685195771514,°C,1019,hPa,Humid,36,0,0,21.926,122757.366944406,191688.198145156,26.25,55.3,0
3103236,2018-11-30 11:58:46,0.0173930516666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.583788219198,μmol/L,32.2624122209522,°C,1019,hPa,Humid,36,0,0,21.923,122733.049147712,191655.245111405,26.25,55.3,0
3103243,2018-11-30 11:58:47,0.0349014283333333,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.525551314125,μmol/L,32.2685195771514,°C,1019,hPa,Humid,36,0,0,21.925,122730.084504197,191641.358530282,26.25,55.3,0
3103249,2018-11-30 11:58:48,0.050541395,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.543235995379,μmol/L,32.2624122209522,°C,1019,hPa,Humid,36,0,0,21.926,122717.015744421,191614.453062844,26.25,55.3,0
3103261,2018-11-30 11:58:49,0.0672138316666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.628518120291,μmol/L,32.2563048758821,°C,1019,hPa,Humid,36,0,0,21.922,122712.983827871,191609.844648248,26.25,55.3,0
3103269,2018-11-30 11:58:50,0.0840318966666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.516208469721,μmol/L,32.2624122209522,°C,1019,hPa,Humid,36,0,0,21.928,122701.971913621,191601.525513629,26.25,55.3,0
3103274,2018-11-30 11:58:51,0.100807545,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.512038070507,μmol/L,32.2685195771514,°C,1019,hPa,Humid,36,0,0,21.926,122698.93549574,191596.981466935,26.25,55.3,0
3103283,2018-11-30 11:58:52,0.11759945,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.543235995379,μmol/L,32.2624122209522,°C,1019,hPa,Humid,36,0,0,21.926,122700.919387069,191589.486810033,26.25,55.3,0
3103290,2018-11-30 11:58:53,0.13439462,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.55675194506,μmol/L,32.2624122209522,°C,1019,hPa,Humid,36,0,0,21.925,122688.758659656,191592.989112713,26.25,55.3,0
3103298,2018-11-30 11:58:54,0.150357745,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.560917547782,μmol/L,32.2563048758821,°C,1019,hPa,Humid,36,0,0,21.927,122693.903281602,191597.290192186,26.25,55.3,0
3103307,2018-11-30 11:58:55,0.167220306666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.502696893317,μmol/L,32.2624122209522,°C,1019,hPa,Humid,36,0,0,21.929,122706.839535599,191594.519591406,26.25,55.3,0
3103317,2018-11-30 11:58:56,0.183993326666667,OXY2 (PSt7-10),2018-06-27 09:55:47,default,154.485015956106,μmol/L,32.2685195771514,°C,1019,hPa,Humid,36,0,0,21.928,122704.507671625,191596.345315076,26.25,55.3,0
