Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3120707,2018-11-30 12:58:37,0,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.196969712066,μmol/L,33.0988687379349,°C,1018,hPa,Humid,36,0,0,22.505,112141.395127396,248991.520292608,26.6,20.1,0
3120709,2018-11-30 12:58:38,0.0201363366666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.129657236243,μmol/L,33.1049899195891,°C,1018,hPa,Humid,36,0,0,22.508,112115.34390459,248963.988333876,26.6,20.1,0
3120713,2018-11-30 12:58:39,0.0362136183333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.104756564978,μmol/L,33.1049899195891,°C,1018,hPa,Humid,36,0,0,22.51,112115.561514804,248935.710631537,26.6,20.1,0
3120718,2018-11-30 12:58:40,0.0534413633333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.12224442629,μmol/L,33.0988687379349,°C,1018,hPa,Humid,36,0,0,22.511,112113.442429562,248941.8818616,26.6,20.1,0
3120723,2018-11-30 12:58:41,0.069896145,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.139728976987,μmol/L,33.0927475674621,°C,1018,hPa,Humid,36,0,0,22.512,112115.789306072,248908.752146162,26.6,20.1,0
3120730,2018-11-30 12:58:42,0.0867092,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.147147602657,μmol/L,33.0988687379349,°C,1018,hPa,Humid,36,0,0,22.509,112121.247258996,248912.737484604,26.6,20.1,0
3120744,2018-11-30 12:58:43,0.103377653333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.159601160142,μmol/L,33.0988687379349,°C,1018,hPa,Humid,36,0,0,22.508,112111.330717171,248912.54835139,26.6,20.1,0
3120751,2018-11-30 12:58:44,0.120166486666667,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.139728976987,μmol/L,33.0927475674621,°C,1018,hPa,Humid,36,0,0,22.512,112104.695733041,248898.69368294,26.6,20.1,0
3120760,2018-11-30 12:58:45,0.136212528333333,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.102380300001,μmol/L,33.0927475674621,°C,1018,hPa,Humid,36,0,0,22.515,112097.332769798,248906.869814577,26.6,20.1,0
3120764,2018-11-30 12:58:46,0.152989305,OXY1 (PSt7-10),2018-06-27 09:55:33,default,144.084899505413,μmol/L,33.0988687379349,°C,1018,hPa,Humid,36,0,0,22.514,112088.65869527,248893.857385518,26.6,20.1,0
