Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3120711,2018-11-30 12:58:39,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.60013621879,μmol/L,32.8303716437686,°C,1018,hPa,Humid,36,0,0,25.055,139699.312517417,411655.37443748,28.35,51.6,0
3120717,2018-11-30 12:58:40,0.0188650766666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.658189751224,μmol/L,32.8180614726348,°C,1018,hPa,Humid,36,0,0,25.054,139672.862312646,411566.857299133,28.35,51.6,0
3120726,2018-11-30 12:58:41,0.0353364333333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.701747661486,μmol/L,32.8119064040266,°C,1018,hPa,Humid,36,0,0,25.052,139648.227114362,411529.648594603,28.35,51.6,0
3120733,2018-11-30 12:58:42,0.0521659883333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.648508657486,μmol/L,32.8180614726348,°C,1018,hPa,Humid,36,0,0,25.055,139636.415356802,411514.24834392,28.35,51.6,0
3120741,2018-11-30 12:58:43,0.0688013666666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.624322188767,μmol/L,32.8242165525489,°C,1018,hPa,Humid,36,0,0,25.055,139629.961405311,411480.021694041,28.35,51.6,0
3120748,2018-11-30 12:58:44,0.0855902,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.595290443897,μmol/L,32.8242165525489,°C,1018,hPa,Humid,36,0,0,25.058,139628.9745539,411462.461521641,28.35,51.6,0
3120761,2018-11-30 12:58:45,0.101619621666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.629149255516,μmol/L,32.8180614726348,°C,1018,hPa,Humid,36,0,0,25.057,139617.516184443,411450.512611577,28.35,51.6,0
3120768,2018-11-30 12:58:46,0.11837996,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.604966764039,μmol/L,32.8242165525489,°C,1018,hPa,Humid,36,0,0,25.057,139620.404455274,411442.981429415,28.35,51.6,0
3120779,2018-11-30 12:58:47,0.135153515,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.629149255516,μmol/L,32.8180614726348,°C,1018,hPa,Humid,36,0,0,25.057,139621.067631839,411443.929925955,28.35,51.6,0
3120781,2018-11-30 12:58:48,0.151923971666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.614644012288,μmol/L,32.8242165525489,°C,1018,hPa,Humid,36,0,0,25.056,139611.044035202,411430.722194943,28.35,51.6,0
3120790,2018-11-30 12:58:49,0.16874213,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.600117114486,μmol/L,32.8180614726348,°C,1018,hPa,Humid,36,0,0,25.06,139609.480900757,411428.487456629,28.35,51.6,0
3120805,2018-11-30 12:58:50,0.185535885,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.609793566736,μmol/L,32.8180614726348,°C,1018,hPa,Humid,36,0,0,25.059,139617.203360876,411444.583796371,28.35,51.6,0
3120815,2018-11-30 12:58:51,0.202427036666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,116.609793566736,μmol/L,32.8180614726348,°C,1018,hPa,Humid,36,0,0,25.059,139617.072481244,411422.566446054,28.35,51.6,0
