Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
3111611,2018-11-30 12:39:44,0,OXY5 (PSt7-10),2018-06-27 09:56:23,default,123.051380966401,μmol/L,33.4151568726084,°C,1018,hPa,Humid,36,0,0,24.172,131609.566080022,412482.351579357,28.35,51.6,0
3111619,2018-11-30 12:39:45,0.019614325,OXY5 (PSt7-10),2018-06-27 09:56:23,default,123.035742925157,μmol/L,33.4213130494609,°C,1018,hPa,Humid,36,0,0,24.171,131562.843753009,412401.538156513,28.35,51.6,0
3111625,2018-11-30 12:39:46,0.0365685183333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,123.072064522131,μmol/L,33.4151568726084,°C,1018,hPa,Humid,36,0,0,24.17,131530.253301233,412361.027614752,28.35,51.6,0
3111634,2018-11-30 12:39:47,0.0529942833333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,123.020363316205,μmol/L,33.4151568726084,°C,1018,hPa,Humid,36,0,0,24.175,131501.883195938,412341.59686925,28.35,51.6,0
3111645,2018-11-30 12:39:48,0.0699412533333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,123.082407837095,μmol/L,33.4151568726084,°C,1018,hPa,Humid,36,0,0,24.169,131492.394556114,412321.963083417,28.35,51.6,0
3111654,2018-11-30 12:39:49,0.0860848066666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,123.010026147822,μmol/L,33.4151568726084,°C,1018,hPa,Humid,36,0,0,24.176,131475.216880757,412291.061043919,28.35,51.6,0
3111662,2018-11-30 12:39:50,0.103176755,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.99464789716,μmol/L,33.4090007070672,°C,1018,hPa,Humid,36,0,0,24.18,131471.407313196,412286.294257627,28.35,51.6,0
3111668,2018-11-30 12:39:51,0.119996455,OXY5 (PSt7-10),2018-06-27 09:56:23,default,123.015319392671,μmol/L,33.4090007070672,°C,1018,hPa,Humid,36,0,0,24.178,131456.64529248,412256.707704791,28.35,51.6,0
3111674,2018-11-30 12:39:52,0.13596948,OXY5 (PSt7-10),2018-06-27 09:56:23,default,123.010026147822,μmol/L,33.4151568726084,°C,1018,hPa,Humid,36,0,0,24.176,131434.276766267,412246.019864432,28.35,51.6,0
3111682,2018-11-30 12:39:53,0.152741253333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.99464789716,μmol/L,33.4090007070672,°C,1018,hPa,Humid,36,0,0,24.18,131443.493533953,412261.491144666,28.35,51.6,0
3111692,2018-11-30 12:39:54,0.169553596666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.968687712326,μmol/L,33.4151568726084,°C,1018,hPa,Humid,36,0,0,24.18,131430.353591032,412256.933692939,28.35,51.6,0
3111701,2018-11-30 12:39:55,0.186399935,OXY5 (PSt7-10),2018-06-27 09:56:23,default,123.030945829689,μmol/L,33.4028445528375,°C,1018,hPa,Humid,36,0,0,24.179,131424.603494219,412246.261344301,28.35,51.6,0
3111710,2018-11-30 12:39:56,0.203257148333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.999936705943,μmol/L,33.4028445528375,°C,1018,hPa,Humid,36,0,0,24.182,131421.236967032,412249.143263698,28.35,51.6,0
3111720,2018-11-30 12:39:57,0.219244018333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.953317188216,μmol/L,33.4090007070672,°C,1018,hPa,Humid,36,0,0,24.184,131415.837465687,412241.666326506,28.35,51.6,0
3111732,2018-11-30 12:39:58,0.23603297,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.932657972558,μmol/L,33.4090007070672,°C,1018,hPa,Humid,36,0,0,24.186,131399.052973909,412250.681936476,28.35,51.6,0
3111740,2018-11-30 12:39:59,0.252876118333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.968936794007,μmol/L,33.4028445528375,°C,1018,hPa,Humid,36,0,0,24.185,131401.090455479,412241.212935557,28.35,51.6,0
3111750,2018-11-30 12:40:00,0.26971724,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.932657972558,μmol/L,33.4090007070672,°C,1018,hPa,Humid,36,0,0,24.186,131384.487734617,412237.319408045,28.35,51.6,0
3111761,2018-11-30 12:40:01,0.28663661,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.917290734603,μmol/L,33.4028445528375,°C,1018,hPa,Humid,36,0,0,24.19,131377.150004057,412235.321189686,28.35,51.6,0
3111770,2018-11-30 12:40:02,0.302600521666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.948275301868,μmol/L,33.4028445528375,°C,1018,hPa,Humid,36,0,0,24.187,131348.26124716,412242.189367377,28.35,51.6,0
3111772,2018-11-30 12:40:03,0.319377228333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.896639468768,μmol/L,33.4028445528375,°C,1018,hPa,Humid,36,0,0,24.192,131306.405267574,412227.729648419,28.35,51.6,0
3111781,2018-11-30 12:40:04,0.336176048333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.932901702685,μmol/L,33.39668840992,°C,1018,hPa,Humid,36,0,0,24.191,131309.789710123,412227.15354763,28.35,51.6,0
3111798,2018-11-30 12:40:05,0.353016886666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.927617901084,μmol/L,33.4028445528375,°C,1018,hPa,Humid,36,0,0,24.189,131308.563876961,412212.812891113,28.35,51.6,0
3111800,2018-11-30 12:40:06,0.369841943333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.932901702685,μmol/L,33.39668840992,°C,1018,hPa,Humid,36,0,0,24.191,131306.935085521,412216.250976745,28.35,51.6,0
3111811,2018-11-30 12:40:07,0.386601495,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.927853910282,μmol/L,33.3905322783135,°C,1018,hPa,Humid,36,0,0,24.194,131304.027530704,412223.186505325,28.35,51.6,0
3111820,2018-11-30 12:40:08,0.402562731666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.88127551636,μmol/L,33.39668840992,°C,1018,hPa,Humid,36,0,0,24.196,131299.084865877,412201.895271404,28.35,51.6,0
3111826,2018-11-30 12:40:09,0.419339068333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.891598709467,μmol/L,33.39668840992,°C,1018,hPa,Humid,36,0,0,24.195,131292.509057256,412200.886044013,28.35,51.6,0
3111837,2018-11-30 12:40:10,0.436141398333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.824392228596,μmol/L,33.4028445528375,°C,1018,hPa,Humid,36,0,0,24.199,131287.258783183,412205.377889403,28.35,51.6,0
3111845,2018-11-30 12:40:11,0.452942698333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.870953345056,μmol/L,33.39668840992,°C,1018,hPa,Humid,36,0,0,24.197,131294.443718417,412198.889547225,28.35,51.6,0
3111854,2018-11-30 12:40:12,0.469804033333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.865910993672,μmol/L,33.3905322783135,°C,1018,hPa,Humid,36,0,0,24.2,131286.480010096,412193.994844432,28.35,51.6,0
3111868,2018-11-30 12:40:13,0.486704693333333,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.870953345056,μmol/L,33.39668840992,°C,1018,hPa,Humid,36,0,0,24.197,131293.589969299,412192.924123001,28.35,51.6,0
3111872,2018-11-30 12:40:14,0.50269999,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.814075280086,μmol/L,33.4028445528375,°C,1018,hPa,Humid,36,0,0,24.2,131286.648971384,412178.183864663,28.35,51.6,0
3111881,2018-11-30 12:40:15,0.519552155,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.876232258649,μmol/L,33.3905322783135,°C,1018,hPa,Humid,36,0,0,24.199,131285.99617288,412184.942812476,28.35,51.6,0
3111890,2018-11-30 12:40:16,0.53634002,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.855590750154,μmol/L,33.3905322783135,°C,1018,hPa,Humid,36,0,0,24.201,131283.826873746,412179.618252379,28.35,51.6,0
3111904,2018-11-30 12:40:17,0.55269532,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.829674875079,μmol/L,33.39668840992,°C,1018,hPa,Humid,36,0,0,24.201,131287.019501357,412193.83660285,28.35,51.6,0
3111911,2018-11-30 12:40:18,0.569478376666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.860865241015,μmol/L,33.3843761580183,°C,1018,hPa,Humid,36,0,0,24.203,131279.731964695,412185.194837427,28.35,51.6,0
3111919,2018-11-30 12:40:19,0.586290631666667,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.804004849598,μmol/L,33.3905322783135,°C,1018,hPa,Humid,36,0,0,24.206,131285.655416042,412164.608341047,28.35,51.6,0
3111930,2018-11-30 12:40:20,0.603083605,OXY5 (PSt7-10),2018-06-27 09:56:23,default,122.845271527957,μmol/L,33.3905322783135,°C,1018,hPa,Humid,36,0,0,24.202,131279.164724724,412162.107842641,28.35,51.6,0
