Id,Date,Delta.T..min.,Sensor,Calibration,User,Oxygen,Oxygen.Unit,Temperature,Temperature.Unit,Pressure,Pressure.Unit,Mode,Salinity..pmil.,User.Signal.Intensity,Error,Phase..�..,Amplitude..µV.,Reference.Amplitude..µV.,Signal.LED.Current,Reference.LED.Current,Battery..V.
2917642,2018-11-28 13:00:52,0,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.135562332224,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.945,140202.214462415,263604.982212302,27.3,49.2,0
2917652,2018-11-28 13:00:53,0.0217413716666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.057658100494,μmol/L,34.2086424504901,°C,1001,hPa,Humid,0,0,0,23.949,140177.148037983,263585.900022304,27.3,49.2,0
2917664,2018-11-28 13:00:54,0.0380575183333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.095815995053,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.948,140156.734618057,263565.674381245,27.3,49.2,0
2917672,2018-11-28 13:00:55,0.0553093216666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.056081567807,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.951,140149.090267856,263544.772215378,27.3,49.2,0
2917685,2018-11-28 13:00:56,0.0713330616666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.107486579681,μmol/L,34.1963998349261,°C,1001,hPa,Humid,0,0,0,23.949,140136.105105093,263528.596565762,27.3,49.2,0
2917690,2018-11-28 13:00:57,0.0881673116666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.069325053866,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.95,140139.929713618,263529.567711941,27.3,49.2,0
2917701,2018-11-28 13:00:58,0.104976351666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.042839404529,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.952,140129.38811765,263519.212719031,27.3,49.2,0
2917704,2018-11-28 13:00:59,0.121908458333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.082569862888,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.949,140125.413358656,263513.63469754,27.3,49.2,0
2917718,2018-11-28 13:01:00,0.138818236666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.042839404529,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.952,140138.988009862,263513.517451092,27.3,49.2,0
2917724,2018-11-28 13:01:01,0.1547867,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.070902156112,μmol/L,34.2086424504901,°C,1001,hPa,Humid,0,0,0,23.948,140124.291960863,263519.841623653,27.3,49.2,0
2917732,2018-11-28 13:01:02,0.171663496666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.056081567807,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.951,140129.13307543,263531.162476233,27.3,49.2,0
2917748,2018-11-28 13:01:03,0.188528343333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.042839404529,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.952,140131.803610026,263524.27698158,27.3,49.2,0
2917749,2018-11-28 13:01:04,0.205366261666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.080994131302,μmol/L,34.1963998349261,°C,1001,hPa,Humid,0,0,0,23.951,140132.536219739,263529.288872796,27.3,49.2,0
2917758,2018-11-28 13:01:05,0.221392538333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.028025108946,μmol/L,34.1963998349261,°C,1001,hPa,Humid,0,0,0,23.955,140127.113741058,263517.99850004,27.3,49.2,0
2917769,2018-11-28 13:01:06,0.238256761666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.016359045592,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.954,140125.393669349,263515.193440697,27.3,49.2,0
2917781,2018-11-28 13:01:07,0.255117875,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.004695105581,μmol/L,34.2086424504901,°C,1001,hPa,Humid,0,0,0,23.953,140131.246007452,263510.91193936,27.3,49.2,0
2917787,2018-11-28 13:01:08,0.271974081666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.029598563851,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.953,140125.827304913,263522.941338087,27.3,49.2,0
2917795,2018-11-28 13:01:09,0.287974821666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.042839404529,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.952,140128.972891482,263522.88828971,27.3,49.2,0
2917803,2018-11-28 13:01:10,0.304826306666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.00312084957,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.955,140130.513191287,263510.872884826,27.3,49.2,0
2917813,2018-11-28 13:01:11,0.321746425,OXY8 (PSt7-10),2018-06-27 09:57:01,default,156.978221542125,μmol/L,34.2086424504901,°C,1001,hPa,Humid,0,0,0,23.955,140128.376998408,263512.339429801,27.3,49.2,0
2917822,2018-11-28 13:01:12,0.338693063333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,157.016359045592,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.954,140122.560127256,263514.266346543,27.3,49.2,0
2917833,2018-11-28 13:01:13,0.354721913333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,156.940094460621,μmol/L,34.2147637750522,°C,1001,hPa,Humid,0,0,0,23.956,140129.088994449,263502.760168385,27.3,49.2,0
2917841,2018-11-28 13:01:14,0.371571146666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,156.989883975606,μmol/L,34.2025211371147,°C,1001,hPa,Humid,0,0,0,23.956,140132.711775654,263521.500873166,27.3,49.2,0
2917854,2018-11-28 13:01:15,0.388408725,OXY8 (PSt7-10),2018-06-27 09:57:01,default,156.95175326607,μmol/L,34.2086424504901,°C,1001,hPa,Humid,0,0,0,23.957,140126.309494467,263508.115384918,27.3,49.2,0
2917859,2018-11-28 13:01:16,0.405336835,OXY8 (PSt7-10),2018-06-27 09:57:01,default,156.964986743263,μmol/L,34.2086424504901,°C,1001,hPa,Humid,0,0,0,23.956,140129.754880767,263505.312367577,27.3,49.2,0
2917867,2018-11-28 13:01:17,0.421334793333333,OXY8 (PSt7-10),2018-06-27 09:57:01,default,156.978221542125,μmol/L,34.2086424504901,°C,1001,hPa,Humid,0,0,0,23.955,140126.829907445,263509.32037019,27.3,49.2,0
2917877,2018-11-28 13:01:18,0.43824656,OXY8 (PSt7-10),2018-06-27 09:57:01,default,156.95175326607,μmol/L,34.2086424504901,°C,1001,hPa,Humid,0,0,0,23.957,140126.898252803,263504.723405028,27.3,49.2,0
2917885,2018-11-28 13:01:19,0.455049376666667,OXY8 (PSt7-10),2018-06-27 09:57:01,default,156.95175326607,μmol/L,34.2086424504901,°C,1001,hPa,Humid,0,0,0,23.957,140106.281457789,263523.380236206,27.3,49.2,0
